PARTS,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B,CDSS Use Only:
Imperial,377.0,449.0,-72.0,3056.0,3433.0,220.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,2908.0,999.0,979.0,15.0,0.0,15.0,5.0,0.0,5.0,3128.0,1125.0,1105.0,15.0,0.0,15.0,5.0,0.0,5.0,94.0,1909.0,2003.0,305.0,0.0,2.0,2.0,
Inyo,21.0,24.0,-3.0,263.0,284.0,19.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,86.0,82.0,4.0,3.0,1.0,0.0,0.0,0.0,255.0,95.0,91.0,4.0,3.0,1.0,0.0,0.0,0.0,10.0,150.0,160.0,29.0,0.0,0.0,0.0,
Kern,913.0,842.0,71.0,14700.0,15613.0,1237.0,611.0,583.0,16.0,6.0,10.0,12.0,2.0,10.0,13603.0,5390.0,4839.0,267.0,142.0,125.0,284.0,143.0,141.0,14840.0,6001.0,5422.0,283.0,148.0,135.0,296.0,145.0,151.0,626.0,8213.0,8839.0,773.0,0.0,1.0,1.0,
Kings,395.0,395.0,0.0,2197.0,2592.0,164.0,82.0,81.0,1.0,1.0,0.0,0.0,0.0,0.0,2034.0,830.0,780.0,23.0,23.0,0.0,27.0,27.0,0.0,2198.0,912.0,861.0,24.0,24.0,0.0,27.0,27.0,0.0,82.0,1204.0,1286.0,394.0,0.0,0.0,0.0,
Lake,127.0,222.0,-95.0,698.0,825.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,328.0,296.0,15.0,8.0,7.0,17.0,4.0,13.0,749.0,330.0,298.0,15.0,8.0,7.0,17.0,4.0,13.0,5.0,414.0,419.0,76.0,0.0,30.0,30.0,
Lassen,25.0,27.0,-2.0,472.0,497.0,26.0,14.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,444.0,191.0,174.0,12.0,1.0,11.0,5.0,1.0,4.0,470.0,205.0,187.0,13.0,1.0,12.0,5.0,1.0,4.0,12.0,253.0,265.0,27.0,0.0,0.0,0.0,
Los Angeles,3382.0,6551.0,-3169.0,77307.0,80689.0,4487.0,2812.0,2525.0,175.0,175.0,0.0,112.0,112.0,0.0,69967.0,29455.0,28082.0,907.0,907.0,0.0,466.0,466.0,0.0,74454.0,32267.0,30607.0,1082.0,1082.0,0.0,578.0,578.0,0.0,1675.0,40512.0,42187.0,6235.0,49.0,1338.0,1387.0,
Madera,81.0,87.0,-6.0,1583.0,1664.0,135.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,862.0,838.0,10.0,0.0,10.0,14.0,0.0,14.0,1539.0,970.0,946.0,10.0,0.0,10.0,14.0,0.0,14.0,27.0,542.0,569.0,125.0,0.0,0.0,0.0,
Marin,113.0,124.0,-11.0,1528.0,1641.0,72.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.0,497.0,470.0,19.0,0.0,19.0,8.0,0.0,8.0,1521.0,534.0,507.0,19.0,0.0,19.0,8.0,0.0,8.0,35.0,952.0,987.0,120.0,0.0,0.0,0.0,
Mariposa,4.0,3.0,1.0,270.0,274.0,18.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,83.0,71.0,8.0,2.0,6.0,4.0,2.0,2.0,269.0,91.0,79.0,8.0,2.0,6.0,4.0,2.0,2.0,10.0,168.0,178.0,5.0,0.0,0.0,0.0,
Mendocino,22.0,26.0,-4.0,1569.0,1591.0,77.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.0,763.0,758.0,2.0,1.0,1.0,3.0,1.0,2.0,1571.0,806.0,801.0,2.0,1.0,1.0,3.0,1.0,2.0,34.0,731.0,765.0,20.0,0.0,0.0,0.0,
Merced,278.0,301.0,-23.0,4211.0,4489.0,386.0,180.0,172.0,3.0,0.0,3.0,5.0,2.0,3.0,3672.0,1677.0,1588.0,40.0,25.0,15.0,49.0,34.0,15.0,4058.0,1857.0,1760.0,43.0,25.0,18.0,54.0,36.0,18.0,206.0,1995.0,2201.0,431.0,3.0,30.0,33.0,
Modoc,20.0,22.0,-2.0,165.0,185.0,14.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,46.0,44.0,2.0,1.0,1.0,0.0,0.0,0.0,172.0,52.0,50.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,112.0,120.0,13.0,0.0,2.0,2.0,
Mono,22.0,24.0,-2.0,380.0,402.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,148.0,143.0,4.0,4.0,0.0,1.0,1.0,0.0,370.0,148.0,143.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,220.0,222.0,32.0,0.0,0.0,0.0,
Monterey,295.0,328.0,-33.0,6676.0,6971.0,687.0,316.0,309.0,4.0,3.0,1.0,3.0,3.0,0.0,5758.0,2388.0,2336.0,24.0,14.0,10.0,28.0,21.0,7.0,6445.0,2704.0,2645.0,28.0,17.0,11.0,31.0,24.0,7.0,371.0,3370.0,3741.0,526.0,0.0,4.0,4.0,
Napa,60.0,67.0,-7.0,1275.0,1335.0,44.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0,432.0,390.0,32.0,1.0,31.0,10.0,1.0,9.0,1292.0,448.0,406.0,32.0,1.0,31.0,10.0,1.0,9.0,28.0,816.0,844.0,43.0,1.0,1.0,2.0,
Nevada,126.0,147.0,-21.0,1091.0,1217.0,50.0,25.0,23.0,1.0,1.0,0.0,1.0,1.0,0.0,1042.0,427.0,365.0,22.0,15.0,7.0,40.0,30.0,10.0,1092.0,452.0,388.0,23.0,16.0,7.0,41.0,31.0,10.0,25.0,615.0,640.0,125.0,0.0,9.0,9.0,
Orange,69.0,69.0,0.0,13977.0,14046.0,976.0,349.0,347.0,2.0,0.0,2.0,0.0,0.0,0.0,13024.0,5116.0,5093.0,20.0,0.0,20.0,3.0,3.0,0.0,14000.0,5465.0,5440.0,22.0,0.0,22.0,3.0,3.0,0.0,627.0,7908.0,8535.0,46.0,2.0,46.0,48.0,
Placer,18.0,18.0,0.0,1218.0,1236.0,12.0,7.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,1199.0,545.0,519.0,16.0,0.0,16.0,10.0,0.0,10.0,1211.0,552.0,523.0,18.0,0.0,18.0,11.0,0.0,11.0,5.0,654.0,659.0,25.0,0.0,1.0,1.0,
Plumas,21.0,24.0,-3.0,296.0,317.0,17.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,122.0,98.0,7.0,7.0,0.0,17.0,15.0,2.0,313.0,130.0,106.0,7.0,7.0,0.0,17.0,15.0,2.0,9.0,174.0,183.0,4.0,0.0,1.0,1.0,
Riverside,2456.0,2805.0,-349.0,30849.0,33305.0,2125.0,998.0,975.0,11.0,0.0,11.0,12.0,0.0,12.0,29204.0,10598.0,10059.0,164.0,0.0,164.0,375.0,0.0,375.0,31329.0,11596.0,11034.0,175.0,0.0,175.0,387.0,0.0,387.0,1127.0,18606.0,19733.0,1976.0,3.0,177.0,180.0,
Sacramento,5849.0,5849.0,0.0,16036.0,21885.0,496.0,206.0,202.0,2.0,0.0,2.0,2.0,0.0,2.0,15846.0,3245.0,3181.0,51.0,0.0,51.0,13.0,0.0,13.0,16342.0,3451.0,3383.0,53.0,0.0,53.0,15.0,0.0,15.0,290.0,12601.0,12891.0,5543.0,0.0,30.0,30.0,
San Benito,64.0,66.0,-2.0,905.0,969.0,78.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,295.0,284.0,4.0,1.0,3.0,7.0,3.0,4.0,925.0,331.0,320.0,4.0,1.0,3.0,7.0,3.0,4.0,42.0,552.0,594.0,44.0,0.0,1.0,1.0,
San Bernardino,2173.0,1729.0,444.0,37733.0,39906.0,2288.0,948.0,894.0,29.0,11.0,18.0,25.0,10.0,15.0,36449.0,15497.0,13831.0,830.0,297.0,533.0,836.0,292.0,544.0,38737.0,16445.0,14725.0,859.0,308.0,551.0,861.0,302.0,559.0,1340.0,20952.0,22292.0,1169.0,5.0,87.0,92.0,
San Diego,400.0,501.0,-101.0,24731.0,25131.0,561.0,347.0,328.0,14.0,0.0,14.0,5.0,0.0,5.0,24453.0,8428.0,8024.0,237.0,0.0,237.0,167.0,1.0,166.0,25014.0,8775.0,8352.0,251.0,0.0,251.0,172.0,1.0,171.0,214.0,16025.0,16239.0,117.0,1.0,220.0,221.0,
San Francisco,596.0,566.0,30.0,4404.0,5000.0,187.0,162.0,154.0,6.0,0.0,6.0,2.0,0.0,2.0,4411.0,1839.0,1235.0,329.0,0.0,329.0,275.0,0.0,275.0,4598.0,2001.0,1389.0,335.0,0.0,335.0,277.0,0.0,277.0,25.0,2572.0,2597.0,402.0,0.0,3.0,3.0,
San Joaquin,1896.0,1964.0,-68.0,6426.0,8322.0,659.0,448.0,436.0,4.0,4.0,0.0,8.0,5.0,3.0,5754.0,3208.0,2989.0,101.0,33.0,68.0,118.0,54.0,64.0,6413.0,3656.0,3425.0,105.0,37.0,68.0,126.0,59.0,67.0,211.0,2546.0,2757.0,1909.0,0.0,2.0,2.0,
San Luis Obispo,361.0,361.0,0.0,1649.0,2010.0,40.0,25.0,23.0,0.0,0.0,0.0,2.0,0.0,2.0,1654.0,584.0,530.0,23.0,0.0,23.0,31.0,0.0,31.0,1694.0,609.0,553.0,23.0,0.0,23.0,33.0,0.0,33.0,15.0,1070.0,1085.0,316.0,0.0,10.0,10.0,
San Mateo,2911.0,2911.0,0.0,3481.0,6392.0,51.0,34.0,31.0,1.0,0.0,1.0,2.0,0.0,2.0,3639.0,1106.0,915.0,117.0,0.0,117.0,74.0,0.0,74.0,3690.0,1140.0,946.0,118.0,0.0,118.0,76.0,0.0,76.0,17.0,2533.0,2550.0,2702.0,0.0,38.0,38.0,
Santa Barbara,45.0,45.0,0.0,1079.0,1124.0,68.0,51.0,39.0,8.0,0.0,8.0,4.0,0.0,4.0,1039.0,601.0,513.0,62.0,0.0,62.0,26.0,0.0,26.0,1107.0,652.0,552.0,70.0,0.0,70.0,30.0,0.0,30.0,17.0,438.0,455.0,17.0,0.0,14.0,14.0,
Santa Clara,786.0,767.0,19.0,5124.0,5910.0,171.0,99.0,84.0,6.0,0.0,6.0,9.0,1.0,8.0,5400.0,1431.0,1326.0,47.0,13.0,34.0,58.0,21.0,37.0,5571.0,1530.0,1410.0,53.0,13.0,40.0,67.0,22.0,45.0,72.0,3969.0,4041.0,339.0,0.0,3.0,3.0,
Santa Cruz,508.0,508.0,0.0,3614.0,4122.0,72.0,40.0,31.0,5.0,5.0,0.0,4.0,4.0,0.0,3542.0,647.0,440.0,116.0,116.0,0.0,91.0,91.0,0.0,3614.0,687.0,471.0,121.0,121.0,0.0,95.0,95.0,0.0,32.0,2895.0,2927.0,508.0,0.0,14.0,14.0,
Shasta,316.0,348.0,-32.0,3166.0,3482.0,178.0,86.0,83.0,2.0,0.0,2.0,1.0,0.0,1.0,3164.0,1226.0,1065.0,41.0,4.0,37.0,120.0,14.0,106.0,3342.0,1312.0,1148.0,43.0,4.0,39.0,121.0,14.0,107.0,92.0,1938.0,2030.0,140.0,0.0,4.0,4.0,
Sierra,2.0,2.0,0.0,43.0,45.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,21.0,3.0,0.0,0.0,0.0,
Siskiyou,60.0,70.0,-10.0,898.0,958.0,71.0,42.0,26.0,9.0,1.0,8.0,7.0,6.0,1.0,811.0,292.0,269.0,9.0,4.0,5.0,14.0,9.0,5.0,882.0,334.0,295.0,18.0,5.0,13.0,21.0,15.0,6.0,29.0,519.0,548.0,76.0,0.0,1.0,1.0,
Solano,79.0,70.0,9.0,2380.0,2459.0,63.0,41.0,37.0,1.0,0.0,1.0,3.0,0.0,3.0,2352.0,1233.0,1187.0,30.0,0.0,30.0,16.0,0.0,16.0,2415.0,1274.0,1224.0,31.0,0.0,31.0,19.0,0.0,19.0,22.0,1119.0,1141.0,44.0,0.0,26.0,26.0,
Sonoma,224.0,223.0,1.0,3361.0,3585.0,43.0,31.0,27.0,3.0,0.0,3.0,1.0,0.0,1.0,3383.0,1089.0,516.0,274.0,3.0,271.0,299.0,4.0,295.0,3426.0,1120.0,543.0,277.0,3.0,274.0,300.0,4.0,296.0,12.0,2294.0,2306.0,159.0,0.0,28.0,28.0,
Stanislaus,281.0,245.0,36.0,9385.0,9666.0,734.0,315.0,297.0,6.0,3.0,3.0,12.0,7.0,5.0,8248.0,3562.0,3300.0,111.0,46.0,65.0,151.0,47.0,104.0,8982.0,3877.0,3597.0,117.0,49.0,68.0,163.0,54.0,109.0,419.0,4686.0,5105.0,684.0,0.0,7.0,7.0,
Sutter,40.0,40.0,0.0,1309.0,1349.0,77.0,43.0,40.0,2.0,0.0,2.0,1.0,0.0,1.0,1223.0,519.0,476.0,34.0,18.0,16.0,9.0,4.0,5.0,1300.0,562.0,516.0,36.0,18.0,18.0,10.0,4.0,6.0,34.0,704.0,738.0,49.0,0.0,0.0,0.0,
Tehama,5.0,7.0,-2.0,647.0,652.0,39.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,455.0,451.0,4.0,0.0,4.0,0.0,0.0,0.0,626.0,485.0,481.0,4.0,0.0,4.0,0.0,0.0,0.0,9.0,132.0,141.0,26.0,0.0,10.0,10.0,
Trinity,16.0,16.0,0.0,240.0,256.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,109.0,100.0,4.0,4.0,0.0,5.0,4.0,1.0,235.0,111.0,102.0,4.0,4.0,0.0,5.0,4.0,1.0,4.0,120.0,124.0,21.0,0.0,0.0,0.0,
Tulare,994.0,994.0,0.0,7524.0,8518.0,330.0,207.0,203.0,2.0,0.0,2.0,2.0,0.0,2.0,7263.0,3544.0,3470.0,47.0,0.0,47.0,27.0,0.0,27.0,7593.0,3751.0,3673.0,49.0,0.0,49.0,29.0,0.0,29.0,123.0,3719.0,3842.0,925.0,0.0,37.0,37.0,
Tuolumne,70.0,77.0,-7.0,806.0,876.0,46.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,298.0,285.0,7.0,7.0,0.0,6.0,4.0,2.0,811.0,317.0,304.0,7.0,7.0,0.0,6.0,4.0,2.0,27.0,467.0,494.0,65.0,0.0,2.0,2.0,
Ventura,199.0,199.0,0.0,3827.0,4026.0,80.0,68.0,62.0,3.0,0.0,3.0,3.0,0.0,3.0,3724.0,2064.0,1926.0,64.0,0.0,64.0,74.0,0.0,74.0,3804.0,2132.0,1988.0,67.0,0.0,67.0,77.0,0.0,77.0,12.0,1660.0,1672.0,222.0,0.0,30.0,30.0,
Yolo,749.0,749.0,0.0,2064.0,2813.0,45.0,31.0,24.0,2.0,0.0,2.0,5.0,0.0,5.0,2058.0,861.0,792.0,28.0,0.0,28.0,41.0,0.0,41.0,2103.0,892.0,816.0,30.0,0.0,30.0,46.0,0.0,46.0,14.0,1197.0,1211.0,710.0,1.0,9.0,10.0,
Yuba,142.0,150.0,-8.0,1587.0,1729.0,94.0,37.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1561.0,697.0,645.0,41.0,1.0,40.0,11.0,1.0,10.0,1655.0,734.0,681.0,42.0,2.0,40.0,11.0,1.0,10.0,57.0,864.0,921.0,74.0,0.0,26.0,26.0,
