,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B,CDSS Use Only:
El Dorado,159.0,174.0,-15.0,1860.0,2019.0,35.0,15.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1806.0,814.0,803.0,8.0,1.0,7.0,3.0,2.0,1.0,1841.0,829.0,817.0,9.0,2.0,7.0,3.0,2.0,1.0,20.0,992.0,1012.0,178.0,0.0,11.0,11.0,
Fresno,125.0,122.0,3.0,9703.0,9828.0,128.0,58.0,56.0,2.0,0.0,2.0,0.0,0.0,0.0,9517.0,4156.0,4026.0,103.0,0.0,103.0,27.0,0.0,27.0,9645.0,4214.0,4082.0,105.0,0.0,105.0,27.0,0.0,27.0,70.0,5361.0,5431.0,183.0,0.0,76.0,76.0,
Glenn,22.0,23.0,-1.0,374.0,396.0,27.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,136.0,134.0,2.0,2.0,0.0,0.0,0.0,0.0,371.0,148.0,146.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,208.0,223.0,25.0,0.0,1.0,1.0,
Humboldt,227.0,243.0,-16.0,3069.0,3296.0,67.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.0,1182.0,1164.0,11.0,3.0,8.0,7.0,2.0,5.0,3088.0,1225.0,1207.0,11.0,3.0,8.0,7.0,2.0,5.0,24.0,1839.0,1863.0,208.0,0.0,26.0,26.0,
Imperial,287.0,302.0,-15.0,3550.0,3837.0,153.0,72.0,63.0,8.0,3.0,5.0,1.0,1.0,0.0,3279.0,1234.0,1159.0,50.0,29.0,21.0,25.0,12.0,13.0,3432.0,1306.0,1222.0,58.0,32.0,26.0,26.0,13.0,13.0,81.0,2045.0,2126.0,405.0,0.0,4.0,4.0,
Inyo,19.0,19.0,0.0,240.0,259.0,8.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,231.0,114.0,102.0,9.0,8.0,1.0,3.0,2.0,1.0,239.0,120.0,107.0,10.0,9.0,1.0,3.0,2.0,1.0,2.0,117.0,119.0,20.0,0.0,0.0,0.0,
Kern,2307.0,2325.0,-18.0,16643.0,18950.0,583.0,362.0,346.0,13.0,5.0,8.0,3.0,2.0,1.0,15575.0,6350.0,5994.0,237.0,135.0,102.0,119.0,86.0,33.0,16158.0,6712.0,6340.0,250.0,140.0,110.0,122.0,88.0,34.0,221.0,9225.0,9446.0,2792.0,0.0,6.0,6.0,
Kings,340.0,342.0,-2.0,2365.0,2705.0,108.0,42.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,2218.0,884.0,854.0,14.0,6.0,8.0,16.0,4.0,12.0,2326.0,926.0,895.0,14.0,6.0,8.0,17.0,4.0,13.0,66.0,1334.0,1400.0,379.0,0.0,1.0,1.0,
Lake,118.0,119.0,-1.0,1123.0,1241.0,46.0,23.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,1060.0,521.0,486.0,24.0,5.0,19.0,11.0,4.0,7.0,1106.0,544.0,508.0,24.0,5.0,19.0,12.0,5.0,7.0,23.0,539.0,562.0,135.0,0.0,1.0,1.0,
Lassen,47.0,48.0,-1.0,344.0,391.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,303.0,153.0,116.0,18.0,2.0,16.0,19.0,2.0,17.0,308.0,154.0,116.0,18.0,2.0,16.0,20.0,3.0,17.0,4.0,150.0,154.0,83.0,0.0,0.0,0.0,
Los Angeles  a/,8130.0,10180.0,-2050.0,63589.0,71719.0,5400.0,4010.0,2931.0,332.0,112.0,220.0,747.0,232.0,515.0,52097.0,25832.0,21921.0,1272.0,576.0,696.0,2639.0,921.0,1718.0,57497.0,29842.0,24852.0,1604.0,688.0,916.0,3386.0,1153.0,2233.0,1390.0,26265.0,27655.0,14222.0,26.0,214.0,240.0,
Madera,241.0,247.0,-6.0,1818.0,2059.0,69.0,48.0,47.0,0.0,0.0,0.0,1.0,1.0,0.0,1704.0,712.0,689.0,10.0,8.0,2.0,13.0,12.0,1.0,1773.0,760.0,736.0,10.0,8.0,2.0,14.0,13.0,1.0,21.0,992.0,1013.0,286.0,0.0,0.0,0.0,
Marin,136.0,141.0,-5.0,1458.0,1594.0,42.0,21.0,19.0,1.0,0.0,1.0,1.0,1.0,0.0,1411.0,600.0,560.0,19.0,15.0,4.0,21.0,11.0,10.0,1453.0,621.0,579.0,20.0,15.0,5.0,22.0,12.0,10.0,21.0,811.0,832.0,141.0,0.0,2.0,2.0,
Mariposa,35.0,36.0,-1.0,177.0,212.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,82.0,79.0,1.0,0.0,1.0,2.0,1.0,1.0,197.0,86.0,83.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0,105.0,111.0,15.0,0.0,4.0,4.0,
Mendocino,212.0,203.0,9.0,1517.0,1729.0,51.0,22.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,1474.0,713.0,696.0,9.0,3.0,6.0,8.0,3.0,5.0,1525.0,735.0,716.0,11.0,5.0,6.0,8.0,3.0,5.0,29.0,761.0,790.0,204.0,0.0,0.0,0.0,
Merced,339.0,344.0,-5.0,4488.0,4827.0,175.0,98.0,95.0,1.0,1.0,0.0,2.0,1.0,1.0,4073.0,1624.0,1555.0,38.0,16.0,22.0,31.0,16.0,15.0,4248.0,1722.0,1650.0,39.0,17.0,22.0,33.0,17.0,16.0,77.0,2449.0,2526.0,579.0,1.0,29.0,30.0,
Modoc,14.0,14.0,0.0,132.0,146.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,73.0,63.0,7.0,5.0,2.0,3.0,3.0,0.0,134.0,75.0,65.0,7.0,5.0,2.0,3.0,3.0,0.0,4.0,55.0,59.0,12.0,0.0,0.0,0.0,
Mono,17.0,17.0,0.0,168.0,185.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,76.0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,175.0,76.0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,97.0,99.0,10.0,0.0,0.0,0.0,
Monterey,494.0,511.0,-17.0,4633.0,5127.0,102.0,47.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,4433.0,1575.0,1529.0,18.0,12.0,6.0,28.0,19.0,9.0,4535.0,1622.0,1575.0,19.0,13.0,6.0,28.0,19.0,9.0,55.0,2858.0,2913.0,592.0,0.0,3.0,3.0,
Napa,92.0,98.0,-6.0,852.0,944.0,23.0,14.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,825.0,266.0,256.0,6.0,4.0,2.0,4.0,4.0,0.0,848.0,280.0,269.0,6.0,4.0,2.0,5.0,4.0,1.0,9.0,559.0,568.0,96.0,0.0,0.0,0.0,
Nevada,112.0,113.0,-1.0,1016.0,1128.0,7.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,975.0,470.0,410.0,21.0,7.0,14.0,39.0,3.0,36.0,982.0,473.0,412.0,21.0,7.0,14.0,40.0,3.0,37.0,4.0,505.0,509.0,146.0,0.0,9.0,9.0,
Orange,218.0,218.0,0.0,14662.0,14880.0,993.0,282.0,281.0,1.0,0.0,1.0,0.0,0.0,0.0,13684.0,5692.0,5663.0,22.0,3.0,19.0,7.0,4.0,3.0,14677.0,5974.0,5944.0,23.0,3.0,20.0,7.0,4.0,3.0,711.0,7992.0,8703.0,203.0,0.0,37.0,37.0,
Placer,25.0,22.0,3.0,935.0,960.0,11.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,928.0,432.0,397.0,15.0,0.0,15.0,20.0,0.0,20.0,939.0,437.0,400.0,17.0,0.0,17.0,20.0,0.0,20.0,6.0,496.0,502.0,21.0,0.0,0.0,0.0,
Plumas,26.0,29.0,-3.0,244.0,270.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,82.0,72.0,4.0,4.0,0.0,6.0,5.0,1.0,238.0,87.0,77.0,4.0,4.0,0.0,6.0,5.0,1.0,2.0,149.0,151.0,32.0,0.0,0.0,0.0,
Riverside,2230.0,2241.0,-11.0,31007.0,33237.0,1014.0,610.0,567.0,28.0,20.0,8.0,15.0,5.0,10.0,29186.0,11924.0,11285.0,367.0,207.0,160.0,272.0,179.0,93.0,30200.0,12534.0,11852.0,395.0,227.0,168.0,287.0,184.0,103.0,404.0,17262.0,17666.0,3037.0,5.0,200.0,205.0,
Sacramento,4425.0,4425.0,0.0,21567.0,25992.0,820.0,402.0,401.0,0.0,0.0,0.0,1.0,0.0,1.0,20649.0,5412.0,5367.0,36.0,0.0,36.0,9.0,0.0,9.0,21469.0,5814.0,5768.0,36.0,0.0,36.0,10.0,0.0,10.0,418.0,15237.0,15655.0,4523.0,1.0,68.0,69.0,
San Benito,64.0,70.0,-6.0,503.0,567.0,24.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,165.0,153.0,7.0,7.0,0.0,5.0,3.0,2.0,509.0,178.0,166.0,7.0,7.0,0.0,5.0,3.0,2.0,11.0,320.0,331.0,58.0,0.0,0.0,0.0,
San Bernardino,3040.0,3083.0,-43.0,36559.0,39599.0,1320.0,760.0,718.0,24.0,13.0,11.0,18.0,13.0,5.0,34660.0,16459.0,15831.0,376.0,213.0,163.0,252.0,184.0,68.0,35980.0,17219.0,16549.0,400.0,226.0,174.0,270.0,197.0,73.0,560.0,18201.0,18761.0,3619.0,5.0,82.0,87.0,
San Diego,268.0,420.0,-152.0,21542.0,21810.0,476.0,263.0,253.0,7.0,0.0,7.0,3.0,0.0,3.0,20861.0,7343.0,7204.0,104.0,0.0,104.0,35.0,0.0,35.0,21337.0,7606.0,7457.0,111.0,0.0,111.0,38.0,0.0,38.0,213.0,13518.0,13731.0,473.0,4.0,201.0,205.0,
San Francisco,219.0,213.0,6.0,4871.0,5090.0,147.0,96.0,81.0,8.0,0.0,8.0,7.0,0.0,7.0,4769.0,2095.0,1890.0,133.0,0.0,133.0,72.0,0.0,72.0,4916.0,2191.0,1971.0,141.0,0.0,141.0,79.0,0.0,79.0,51.0,2674.0,2725.0,174.0,2.0,4.0,6.0,
San Joaquin,1078.0,1136.0,-58.0,9208.0,10286.0,417.0,241.0,213.0,15.0,10.0,5.0,13.0,7.0,6.0,8597.0,3431.0,3116.0,153.0,113.0,40.0,162.0,129.0,33.0,9014.0,3672.0,3329.0,168.0,123.0,45.0,175.0,136.0,39.0,176.0,5166.0,5342.0,1272.0,0.0,4.0,4.0,
San Luis Obispo,270.0,270.0,0.0,948.0,1218.0,33.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,514.0,502.0,9.0,0.0,9.0,3.0,0.0,3.0,943.0,535.0,523.0,9.0,0.0,9.0,3.0,0.0,3.0,12.0,396.0,408.0,275.0,0.0,1.0,1.0,
San Mateo,2511.0,2511.0,0.0,3838.0,6349.0,53.0,25.0,19.0,4.0,0.0,4.0,2.0,0.0,2.0,3727.0,953.0,847.0,62.0,0.0,62.0,44.0,0.0,44.0,3780.0,978.0,866.0,66.0,0.0,66.0,46.0,0.0,46.0,28.0,2774.0,2802.0,2569.0,0.0,22.0,22.0,
Santa Barbara,31.0,20.0,11.0,1545.0,1576.0,45.0,35.0,32.0,3.0,1.0,2.0,0.0,0.0,0.0,1499.0,782.0,729.0,53.0,27.0,26.0,0.0,0.0,0.0,1544.0,817.0,761.0,56.0,28.0,28.0,0.0,0.0,0.0,10.0,717.0,727.0,32.0,0.0,9.0,9.0,
Santa Clara,605.0,602.0,3.0,4767.0,5372.0,109.0,28.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,4686.0,1338.0,1324.0,8.0,0.0,8.0,6.0,0.0,6.0,4795.0,1366.0,1350.0,10.0,0.0,10.0,6.0,0.0,6.0,81.0,3348.0,3429.0,577.0,0.0,2.0,2.0,
Santa Cruz,346.0,346.0,0.0,1790.0,2136.0,29.0,15.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1772.0,553.0,538.0,6.0,6.0,0.0,9.0,9.0,0.0,1801.0,568.0,552.0,7.0,7.0,0.0,9.0,9.0,0.0,14.0,1219.0,1233.0,335.0,0.0,7.0,7.0,
Shasta,288.0,293.0,-5.0,3223.0,3511.0,72.0,42.0,40.0,1.0,1.0,0.0,1.0,0.0,1.0,3034.0,1281.0,1257.0,13.0,4.0,9.0,11.0,6.0,5.0,3106.0,1323.0,1297.0,14.0,5.0,9.0,12.0,6.0,6.0,30.0,1753.0,1783.0,405.0,0.0,7.0,7.0,
Sierra,3.0,3.0,0.0,26.0,29.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,3.0,0.0,0.0,0.0,
Siskiyou,132.0,138.0,-6.0,685.0,817.0,16.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,656.0,230.0,203.0,9.0,3.0,6.0,18.0,5.0,13.0,672.0,235.0,207.0,10.0,4.0,6.0,18.0,5.0,13.0,11.0,426.0,437.0,145.0,0.0,3.0,3.0,
Solano  a/,42.0,17.0,25.0,2274.0,2316.0,45.0,31.0,29.0,2.0,0.0,2.0,0.0,0.0,0.0,2227.0,1166.0,1138.0,20.0,0.0,20.0,8.0,0.0,8.0,2272.0,1197.0,1167.0,22.0,0.0,22.0,8.0,0.0,8.0,14.0,1061.0,1075.0,44.0,0.0,14.0,14.0,
Sonoma,276.0,295.0,-19.0,3782.0,4058.0,28.0,16.0,14.0,1.0,0.0,1.0,1.0,0.0,1.0,3899.0,1010.0,588.0,202.0,0.0,202.0,220.0,0.0,220.0,3927.0,1026.0,602.0,203.0,0.0,203.0,221.0,0.0,221.0,12.0,2889.0,2901.0,131.0,0.0,46.0,46.0,
Stanislaus,633.0,649.0,-16.0,9020.0,9653.0,280.0,152.0,134.0,7.0,5.0,2.0,11.0,3.0,8.0,8537.0,3469.0,3216.0,149.0,75.0,74.0,104.0,57.0,47.0,8817.0,3621.0,3350.0,156.0,80.0,76.0,115.0,60.0,55.0,128.0,5068.0,5196.0,836.0,0.0,2.0,2.0,
Sutter,130.0,139.0,-9.0,1201.0,1331.0,46.0,25.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,1147.0,453.0,410.0,24.0,7.0,17.0,19.0,12.0,7.0,1193.0,478.0,430.0,29.0,12.0,17.0,19.0,12.0,7.0,21.0,694.0,715.0,138.0,0.0,0.0,0.0,
Tehama,122.0,127.0,-5.0,1100.0,1222.0,28.0,16.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,1083.0,419.0,400.0,12.0,9.0,3.0,7.0,7.0,0.0,1111.0,435.0,415.0,12.0,9.0,3.0,8.0,7.0,1.0,12.0,664.0,676.0,111.0,0.0,7.0,7.0,
Trinity,13.0,14.0,-1.0,221.0,234.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,111.0,79.0,27.0,2.0,25.0,5.0,2.0,3.0,214.0,115.0,83.0,27.0,2.0,25.0,5.0,2.0,3.0,1.0,98.0,99.0,20.0,0.0,0.0,0.0,
Tulare,828.0,828.0,0.0,6610.0,7438.0,308.0,162.0,160.0,1.0,0.0,1.0,1.0,0.0,1.0,6254.0,3115.0,3074.0,31.0,0.0,31.0,10.0,0.0,10.0,6562.0,3277.0,3234.0,32.0,0.0,32.0,11.0,0.0,11.0,146.0,3139.0,3285.0,876.0,1.0,21.0,22.0,
Tuolumne,78.0,81.0,-3.0,677.0,755.0,14.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,256.0,252.0,3.0,0.0,3.0,1.0,0.0,1.0,664.0,266.0,262.0,3.0,0.0,3.0,1.0,0.0,1.0,4.0,394.0,398.0,91.0,0.0,1.0,1.0,
Ventura,653.0,653.0,0.0,4177.0,4830.0,52.0,32.0,30.0,1.0,1.0,0.0,1.0,1.0,0.0,4141.0,2056.0,1991.0,30.0,30.0,0.0,35.0,35.0,0.0,4193.0,2088.0,2021.0,31.0,31.0,0.0,36.0,36.0,0.0,20.0,2085.0,2105.0,637.0,0.0,16.0,16.0,
Yolo,519.0,519.0,0.0,1450.0,1969.0,20.0,9.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1448.0,797.0,744.0,22.0,0.0,22.0,31.0,0.0,31.0,1468.0,806.0,752.0,23.0,0.0,23.0,31.0,0.0,31.0,11.0,651.0,662.0,501.0,0.0,3.0,3.0,
Yuba,107.0,107.0,0.0,1299.0,1406.0,21.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0,596.0,584.0,12.0,6.0,6.0,0.0,0.0,0.0,1277.0,606.0,594.0,12.0,6.0,6.0,0.0,0.0,0.0,11.0,660.0,671.0,129.0,0.0,27.0,27.0,
