PARTS,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B,CDSS Use Only:
Sacramento,4968.0,4968.0,0.0,21840.0,26808.0,795.0,363.0,355.0,3.0,0.0,3.0,5.0,0.0,5.0,21147.0,5113.0,4983.0,106.0,0.0,106.0,24.0,0.0,24.0,21942.0,5476.0,5338.0,109.0,0.0,109.0,29.0,0.0,29.0,432.0,16034.0,16466.0,4866.0,0.0,57.0,57.0,
San Benito,126.0,131.0,-5.0,737.0,863.0,22.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,251.0,237.0,7.0,2.0,5.0,7.0,1.0,6.0,788.0,260.0,246.0,7.0,2.0,5.0,7.0,1.0,6.0,13.0,515.0,528.0,75.0,0.0,0.0,0.0,
San Bernardino,2479.0,2513.0,-34.0,36707.0,39186.0,1205.0,663.0,623.0,19.0,9.0,10.0,21.0,10.0,11.0,35098.0,15587.0,14933.0,404.0,187.0,217.0,250.0,162.0,88.0,36303.0,16250.0,15556.0,423.0,196.0,227.0,271.0,172.0,99.0,542.0,19511.0,20053.0,2883.0,2.0,63.0,65.0,
San Diego,480.0,46.0,434.0,24303.0,24783.0,535.0,244.0,236.0,6.0,0.0,6.0,2.0,0.0,2.0,23787.0,7776.0,7610.0,122.0,0.0,122.0,44.0,0.0,44.0,24322.0,8020.0,7846.0,128.0,0.0,128.0,46.0,0.0,46.0,291.0,16011.0,16302.0,461.0,6.0,193.0,199.0,
San Francisco,448.0,428.0,20.0,4784.0,5232.0,189.0,119.0,96.0,9.0,0.0,9.0,14.0,0.0,14.0,4502.0,1947.0,1684.0,90.0,0.0,90.0,173.0,0.0,173.0,4691.0,2066.0,1780.0,99.0,0.0,99.0,187.0,0.0,187.0,70.0,2555.0,2625.0,541.0,0.0,5.0,5.0,
San Joaquin,1147.0,1177.0,-30.0,10289.0,11436.0,454.0,230.0,211.0,11.0,7.0,4.0,8.0,6.0,2.0,9778.0,3470.0,3078.0,174.0,108.0,66.0,218.0,145.0,73.0,10232.0,3700.0,3289.0,185.0,115.0,70.0,226.0,151.0,75.0,224.0,6308.0,6532.0,1204.0,0.0,2.0,2.0,
San Luis Obispo,293.0,293.0,0.0,1266.0,1559.0,47.0,27.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,1218.0,616.0,575.0,24.0,0.0,24.0,17.0,0.0,17.0,1265.0,643.0,600.0,26.0,0.0,26.0,17.0,0.0,17.0,20.0,602.0,622.0,294.0,0.0,6.0,6.0,
San Mateo,2447.0,2447.0,0.0,4376.0,6823.0,62.0,22.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0,4312.0,1018.0,950.0,40.0,0.0,40.0,28.0,0.0,28.0,4374.0,1040.0,970.0,42.0,0.0,42.0,28.0,0.0,28.0,40.0,3294.0,3334.0,2449.0,0.0,27.0,27.0,
Santa Barbara,40.0,30.0,10.0,1607.0,1647.0,96.0,55.0,47.0,4.0,0.0,4.0,4.0,0.0,4.0,1515.0,782.0,710.0,51.0,0.0,51.0,21.0,0.0,21.0,1611.0,837.0,757.0,55.0,0.0,55.0,25.0,0.0,25.0,41.0,733.0,774.0,36.0,0.0,5.0,5.0,
Santa Clara,525.0,509.0,16.0,4317.0,4842.0,57.0,25.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,4259.0,1210.0,1176.0,18.0,2.0,16.0,16.0,2.0,14.0,4316.0,1235.0,1200.0,19.0,2.0,17.0,16.0,2.0,14.0,32.0,3049.0,3081.0,526.0,0.0,1.0,1.0,
Santa Cruz,293.0,293.0,0.0,3158.0,3451.0,39.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3095.0,440.0,433.0,4.0,4.0,0.0,3.0,3.0,0.0,3134.0,456.0,449.0,4.0,4.0,0.0,3.0,3.0,0.0,23.0,2655.0,2678.0,317.0,0.0,3.0,3.0,
Shasta,334.0,336.0,-2.0,3267.0,3601.0,75.0,39.0,34.0,1.0,0.0,1.0,4.0,2.0,2.0,3174.0,1193.0,1153.0,25.0,8.0,17.0,15.0,11.0,4.0,3249.0,1232.0,1187.0,26.0,8.0,18.0,19.0,13.0,6.0,36.0,1981.0,2017.0,352.0,0.0,8.0,8.0,
Sierra,5.0,6.0,-1.0,38.0,43.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,22.0,1.0,0.0,0.0,0.0,
Siskiyou,127.0,130.0,-3.0,819.0,946.0,32.0,13.0,10.0,1.0,0.0,1.0,2.0,1.0,1.0,822.0,264.0,234.0,15.0,6.0,9.0,15.0,8.0,7.0,854.0,277.0,244.0,16.0,6.0,10.0,17.0,9.0,8.0,19.0,558.0,577.0,92.0,0.0,10.0,10.0,
Solano,39.0,30.0,9.0,2576.0,2615.0,53.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2538.0,1394.0,1354.0,33.0,0.0,33.0,7.0,0.0,7.0,2591.0,1420.0,1380.0,33.0,0.0,33.0,7.0,0.0,7.0,27.0,1144.0,1171.0,24.0,0.0,15.0,15.0,
Sonoma,106.0,90.0,16.0,3773.0,3879.0,55.0,24.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,3562.0,1180.0,826.0,143.0,0.0,143.0,211.0,0.0,211.0,3617.0,1204.0,849.0,144.0,0.0,144.0,211.0,0.0,211.0,31.0,2382.0,2413.0,262.0,1.0,50.0,51.0,
Stanislaus,1139.0,1155.0,-16.0,9750.0,10889.0,249.0,138.0,116.0,12.0,5.0,7.0,10.0,3.0,7.0,9595.0,3706.0,3320.0,144.0,49.0,95.0,242.0,91.0,151.0,9844.0,3844.0,3436.0,156.0,54.0,102.0,252.0,94.0,158.0,111.0,5889.0,6000.0,1045.0,0.0,6.0,6.0,
Sutter,115.0,126.0,-11.0,1446.0,1561.0,40.0,30.0,27.0,3.0,0.0,3.0,0.0,0.0,0.0,1365.0,529.0,470.0,36.0,25.0,11.0,23.0,13.0,10.0,1405.0,559.0,497.0,39.0,25.0,14.0,23.0,13.0,10.0,10.0,836.0,846.0,156.0,0.0,0.0,0.0,
Tehama,98.0,103.0,-5.0,1257.0,1355.0,36.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,474.0,454.0,8.0,5.0,3.0,12.0,9.0,3.0,1224.0,491.0,471.0,8.0,5.0,3.0,12.0,9.0,3.0,19.0,714.0,733.0,131.0,0.0,2.0,2.0,
Trinity,27.0,31.0,-4.0,254.0,281.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,124.0,82.0,19.0,3.0,16.0,23.0,1.0,22.0,260.0,127.0,85.0,19.0,3.0,16.0,23.0,1.0,22.0,2.0,131.0,133.0,21.0,0.0,1.0,1.0,
Tulare,793.0,793.0,0.0,6708.0,7501.0,355.0,182.0,175.0,5.0,0.0,5.0,2.0,0.0,2.0,6343.0,3206.0,3139.0,42.0,0.0,42.0,25.0,0.0,25.0,6698.0,3388.0,3314.0,47.0,0.0,47.0,27.0,0.0,27.0,173.0,3137.0,3310.0,803.0,1.0,21.0,22.0,
Tuolumne,96.0,97.0,-1.0,833.0,929.0,32.0,8.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,794.0,316.0,237.0,64.0,6.0,58.0,15.0,2.0,13.0,826.0,324.0,244.0,65.0,6.0,59.0,15.0,2.0,13.0,24.0,478.0,502.0,103.0,0.0,1.0,1.0,
Ventura,307.0,164.0,143.0,4399.0,4706.0,79.0,48.0,43.0,1.0,1.0,0.0,4.0,4.0,0.0,4330.0,1925.0,1845.0,44.0,44.0,0.0,36.0,36.0,0.0,4409.0,1973.0,1888.0,45.0,45.0,0.0,40.0,40.0,0.0,31.0,2405.0,2436.0,297.0,0.0,15.0,15.0,
Yolo,728.0,728.0,0.0,1028.0,1756.0,30.0,22.0,17.0,1.0,0.0,1.0,4.0,0.0,4.0,1239.0,734.0,633.0,61.0,0.0,61.0,40.0,0.0,40.0,1269.0,756.0,650.0,62.0,0.0,62.0,44.0,0.0,44.0,8.0,505.0,513.0,487.0,0.0,1.0,1.0,
Yuba,94.0,95.0,-1.0,1473.0,1567.0,33.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.0,649.0,625.0,15.0,4.0,11.0,9.0,6.0,3.0,1465.0,666.0,642.0,15.0,4.0,11.0,9.0,6.0,3.0,16.0,783.0,799.0,102.0,0.0,17.0,17.0,
