"This data table captures monthly data on unemployment, CalFresh (federal) public assistance households, CalFresh non-assistance households, California Food Assistance Program public assistance households, California Food Assistance Program non-assistance households, the total number of all public assistance households, the total number of all non-public assistance households, CalFresh households, CalFresh persons, CalFresh public assistance persons, CalFresh non-assistance persons, the total number of CalFresh persons, California Food Assistance Program public assistance persons, California Food Assistance Program non-public assistance persons, the total number of California Food Assistance Program persons, CalFresh issuances, State issuances, total number of issuances, Medi-Cal enrollment, timeliness 30 day percentage, timeliness expedited percentage, negative error rate completed cases, negative error rate, active error rate, applications received, online applications received, child only household, and child only persons data. Note, certain cells are blank to meet de-identification guidelines. The data table begins in cell A2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,Unemployment Monthly,Federal Public Assistance Households,Federal Non-Assistance Households,CFAP Public Assistance Households,CFAP Non-Assistance Households,All Public Assistance Households,All Non-Assistance Households,CalFresh Households,CalFresh Persons,Federal Pubic Assistance Persons,Federal Non Assistance Persons,All Federal Persons,CFAP Public Assistance Persons,CFAP Non Assistance Persons,All CFAP Persons,All Public Assistance Persons,All Non-Assistance Persons,Federal Issuances,State Issuances,Total Issuances,Medi-Cal Enrollement ,Timeliness 30 day Percentage,Timeliness Expedited Services Percentage  Monthly,Negative Error Rate on Completed Cases,Negative Error Rate,Active Error Rate,Applications Recevied,Online Applications Received,Child Only Households Monthly,Child Only Persons
Fresno,US-06019,-120.862059,36.74633,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.137,,,,,,,94981.0,226573.0,,,,,,,,,,,,365618.0,0.9046,,,,0.017,,,14621.0,31770.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.129,,,,,,,1472.0,3606.0,,,,,,,,,,,,9437.0,1.0,,,,0.0922,,,213.0,455.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.076,,,,,,,9266.0,17196.0,,,,,,,,,,,,36766.0,0.9569,,,,0.0922,,,694.0,1252.0
Imperial,US-06025,-115.058652,33.02615,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.217,,,,,,,15263.0,38782.0,,,,,,,,,,,,70049.0,0.9535,,,,0.0922,,,1061.0,2149.0
Inyo,US-06027,-117.7797286,36.626,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.078,,,,,,,1052.0,2152.0,,,,,,,,,,,,4452.0,0.9914,,,,0.0922,,,110.0,231.0
Kern,US-06029,-118.4426011,35.29441,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.12,,,,,,,60740.0,147170.0,,,,,,,,,,,,289289.0,0.9768,,,,0.0308,,,10650.0,23974.0
Kings,US-06031,-119.6135104,36.138775,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.145,,,,,,,10051.0,23815.0,,,,,,,,,,,,43811.0,0.9685,,,,0.0922,,,1406.0,3059.0
Lake,US-06033,-122.9624445,39.124455,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.106,,,,,,,5262.0,10622.0,,,,,,,,,,,,22699.0,0.8646,,,,0.0922,,,381.0,718.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.113,,,,,,,1488.0,3149.0,,,,,,,,,,,,6023.0,0.9018,,,,0.0922,,,92.0,142.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,January,41640.0,2014.0,2014.0,2013/14,0.091,,,,,,,573325.0,1177757.0,,,,,,,,,,,,3079489.0,0.9693,,,,0.0237,,,117446.0,239673.0
Madera,US-06039,-119.84174,37.27052,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.125,,,,,,,11221.0,28263.0,,,,,,,,,,,,55378.0,0.9708,,,,0.0922,,,2898.0,6602.0
Marin,US-06041,-122.870429,38.068145,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.047,,,,,,,5920.0,9998.0,,,,,,,,,,,,32290.0,0.9468,,,,0.0922,,,1293.0,2297.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.132,,,,,,,1017.0,2034.0,,,,,,,,,,,,3833.0,0.9118,,,,0.0922,,,38.0,65.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.083,,,,,,,7144.0,13415.0,,,,,,,,,,,,30846.0,0.9941,,,,0.0922,,,656.0,1374.0
Merced,US-06047,-120.1246993,37.18687,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.155,,,,,,,23364.0,55842.0,,,,,,,,,,,,103165.0,0.9614,,,,0.0059,,,4110.0,9197.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.138,,,,,,,437.0,963.0,,,,,,,,,,,,2391.0,0.9667,,,,0.0922,,,34.0,68.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.074,,,,,,,522.0,823.0,,,,,,,,,,,,2452.0,0.9344,,,,0.0922,,,83.0,162.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.134,,,,,,,22399.0,51281.0,,,,,,,,,,,,128366.0,1.0,,,,0.0695,,,8056.0,17061.0
Napa,US-06055,-122.5128064,38.509635,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.07,,,,,,,3420.0,7164.0,,,,,,,,,,,,24287.0,0.72,,,,0.0922,,,894.0,1829.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.074,,,,,,,4004.0,7593.0,,,,,,,,,,,,17927.0,0.9957,,,,0.0922,,,180.0,344.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.06,,,,,,,113508.0,245759.0,,,,,,,,,,,,650834.0,0.984,,,,0.0371,,,30276.0,65248.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.07,,,,,,,9024.0,18465.0,,,,,,,,,,,,45557.0,0.9975,,,,0.0922,,,731.0,1449.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.162,,,,,,,909.0,1844.0,,,,,,,,,,,,4245.0,0.987,,,,0.0922,,,36.0,*
Riverside,US-06065,-115.0250859,33.752845,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.089,,,,,,,121060.0,287272.0,,,,,,,,,,,,569521.0,0.9971,,,,0.0283,,,17102.0,37526.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.082,,,,,,,97098.0,213072.0,,,,,,,,,,,,406197.0,0.9759,,,,0.0057,,,10365.0,20133.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.113,,,,,,,2757.0,6378.0,,,,,,,,,,,,14044.0,1.0,,,,0.0922,,,483.0,1048.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.089,,,,,,,166127.0,382585.0,,,,,,,,,,,,636120.0,0.9974,,,,0.0059,,,21249.0,45436.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.072,,,,,,,128475.0,272951.0,,,,,,,,,,,,611132.0,0.9745,,,,0.0465,,,16822.0,34401.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.049,,,,,,,32282.0,50484.0,,,,,,,,,,,,178528.0,0.9663,,,,0.0524,,,4314.0,6859.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.123,,,,,,,48102.0,114754.0,,,,,,,,,,,,222275.0,0.9913,,,,0.052,,,7109.0,15192.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.061,,,,,,,9399.0,17988.0,,,,,,,,,,,,44462.0,0.9342,,,,0.0922,,,1221.0,2413.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.047,,,,,,,15819.0,32181.0,,,,,,,,,,,,114564.0,0.9843,,,,0.0922,,,4097.0,7977.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.075,,,,,,,15581.0,34841.0,,,,,,,,,,,,104891.0,0.6259,,,,0.0922,,,4968.0,10830.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.057,,,,,,,53489.0,112246.0,,,,,,,,,,,,340568.0,0.9449,,,,0.0312,,,11508.0,23020.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.116,,,,,,,12054.0,23647.0,,,,,,,,,,,,56903.0,0.7205,,,,0.0922,,,2646.0,5372.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.114,,,,,,,11995.0,23916.0,,,,,,,,,,,,51392.0,0.9638,,,,0.0922,,,645.0,1066.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.129,,,,,,,166.0,299.0,,,,,,,,,,,,677.0,1.0,,,,0.0922,,,2.0,*
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.149,,,,,,,3140.0,6927.0,,,,,,,,,,,,13569.0,1.0,,,,0.0922,,,148.0,266.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.086,,,,,,,21494.0,42499.0,,,,,,,,,,,,89128.0,0.9397,,,,0.0,,,2536.0,4961.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.064,,,,,,,18820.0,34735.0,,,,,,,,,,,,94253.0,0.8408,,,,0.0922,,,3469.0,7065.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.129,,,,,,,42193.0,92065.0,,,,,,,,,,,,169234.0,0.953,,,,0.0278,,,5558.0,11747.0
Sutter,US-06101,-121.714735,39.02038,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.151,,,,,,,5424.0,12740.0,,,,,,,,,,,,31403.0,0.9439,,,,0.0922,,,687.0,1476.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.111,,,,,,,4645.0,10409.0,,,,,,,,,,,,21716.0,0.9671,,,,0.0922,,,426.0,903.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.124,,,,,,,850.0,1609.0,,,,,,,,,,,,3640.0,0.9583,,,,0.0922,,,41.0,62.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.153,,,,,,,49187.0,120087.0,,,,,,,,,,,,199851.0,1.0,,,,0.0237,,,8479.0,19421.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.104,,,,,,,2943.0,5409.0,,,,,,,,,,,,11514.0,0.934,,,,0.0922,,,126.0,202.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.074,,,,,,,33751.0,69753.0,,,,,,,,,,,,167543.0,0.9253,,,,0.0292,,,7090.0,15356.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.091,,,,,,,8490.0,17981.0,,,,,,,,,,,,41751.0,0.8528,,,,0.0922,,,968.0,1896.0
Yuba,US-06115,-121.499162,39.278915,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.131,,,,,,,5883.0,13040.0,,,,,,,,,,,,24352.0,0.9944,,,,0.0922,,,529.0,1044.0
Statewide,,,,,February,41671.0,2014.0,2014.0,2013/14,0.084,311049.0,1684778.0,1891.0,15916.0,312940.0,1700694.0,2013634.0,4354213.0,783729.0,3527477.0,4311206.0,6148.0,36859.0,43007.0,789877.0,3564336.0,617880351.11,5316316.8,623196667.91,10246808.0,0.9507,,,,0.0405,,,344695.0,715826.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.064,,,,,,,63674.0,126898.0,,,,,,,,,,,,349927.0,0.8446,,,,0.0261,,,9979.0,18843.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.085,,,,,,,111.0,175.0,,,,,,,,,,,,312.0,1.0,,,,0.0804,,,0.0,0.0
Amador,US-06005,-120.238969,38.46328,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.099,,,,,,,1742.0,3406.0,,,,,,,,,,,,6363.0,0.9821,,,,0.0804,,,63.0,106.0
Butte,US-06007,-121.5660076,39.723785,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.1,,,,,,,14994.0,30431.0,,,,,,,,,,,,66467.0,0.9171,,,,0.0804,,,946.0,1641.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.095,,,,,,,2617.0,4961.0,,,,,,,,,,,,9347.0,1.0,,,,0.0804,,,105.0,178.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.24,,,,,,,737.0,1787.0,,,,,,,,,,,,7021.0,0.8293,,,,0.0804,,,173.0,392.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.069,,,,,,,34460.0,71316.0,,,,,,,,,,,,202295.0,0.9238,,,,0.0436,,,5698.0,11198.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.117,,,,,,,2531.0,5197.0,,,,,,,,,,,,9822.0,1.0,,,,0.0804,,,145.0,251.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.08,,,,,,,6567.0,12021.0,,,,,,,,,,,,28942.0,0.9858,,,,0.0804,,,410.0,795.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.136,,,,,,,95501.0,228624.0,,,,,,,,,,,,382321.0,0.8844,,,,0.0228,,,14656.0,31851.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.127,,,,,,,1478.0,3653.0,,,,,,,,,,,,9653.0,1.0,,,,0.0804,,,218.0,465.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.078,,,,,,,9405.0,17428.0,,,,,,,,,,,,38295.0,0.9425,,,,0.0804,,,678.0,1232.0
Imperial,US-06025,-115.058652,33.02615,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.206,,,,,,,15152.0,38530.0,,,,,,,,,,,,72214.0,0.9378,,,,0.0804,,,1055.0,2135.0
Inyo,US-06027,-117.7797286,36.626,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.079,,,,,,,1062.0,2169.0,,,,,,,,,,,,4608.0,1.0,,,,0.0804,,,114.0,237.0
Kern,US-06029,-118.4426011,35.29441,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.122,,,,,,,60768.0,148083.0,,,,,,,,,,,,300097.0,0.9819,,,,0.0307,,,10548.0,23859.0
Kings,US-06031,-119.6135104,36.138775,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.146,,,,,,,10085.0,23963.0,,,,,,,,,,,,44994.0,0.9654,,,,0.0804,,,1415.0,3086.0
Lake,US-06033,-122.9624445,39.124455,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.102,,,,,,,5238.0,10643.0,,,,,,,,,,,,23406.0,0.8318,,,,0.0804,,,375.0,716.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.122,,,,,,,1489.0,3145.0,,,,,,,,,,,,6234.0,0.8902,,,,0.0804,,,89.0,140.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,February,41671.0,2014.0,2014.0,2013/14,0.088,,,,,,,569557.0,1171149.0,,,,,,,,,,,,3146953.0,0.9598,,,,0.0267,,,116800.0,238266.0
Madera,US-06039,-119.84174,37.27052,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.126,,,,,,,11313.0,28439.0,,,,,,,,,,,,56838.0,0.9649,,,,0.0804,,,2900.0,6631.0
Marin,US-06041,-122.870429,38.068145,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.048,,,,,,,5970.0,10026.0,,,,,,,,,,,,33593.0,0.9397,,,,0.0804,,,1300.0,2310.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.122,,,,,,,1028.0,2065.0,,,,,,,,,,,,3995.0,0.9636,,,,0.0804,,,38.0,67.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.084,,,,,,,7223.0,13571.0,,,,,,,,,,,,31901.0,0.9888,,,,0.0804,,,654.0,1372.0
Merced,US-06047,-120.1246993,37.18687,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.156,,,,,,,23498.0,56298.0,,,,,,,,,,,,107759.0,0.9497,,,,0.0046,,,4076.0,9142.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.14,,,,,,,430.0,961.0,,,,,,,,,,,,2443.0,1.0,,,,0.0804,,,33.0,64.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.079,,,,,,,580.0,893.0,,,,,,,,,,,,2564.0,0.9043,,,,0.0804,,,84.0,167.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.132,,,,,,,22918.0,52512.0,,,,,,,,,,,,133365.0,1.0,,,,0.0677,,,8129.0,17278.0
Napa,US-06055,-122.5128064,38.509635,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.067,,,,,,,3485.0,7304.0,,,,,,,,,,,,25132.0,0.7477,,,,0.0804,,,894.0,1836.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.074,,,,,,,4021.0,7617.0,,,,,,,,,,,,18526.0,0.996,,,,0.0804,,,183.0,354.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.06,,,,,,,113264.0,246178.0,,,,,,,,,,,,676597.0,0.9758,,,,0.0318,,,30166.0,65044.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.071,,,,,,,8948.0,18451.0,,,,,,,,,,,,47466.0,0.9791,,,,0.0804,,,738.0,1461.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.163,,,,,,,914.0,1843.0,,,,,,,,,,,,4367.0,1.0,,,,0.0804,,,34.0,*
Riverside,US-06065,-115.0250859,33.752845,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.089,,,,,,,120536.0,285469.0,,,,,,,,,,,,595759.0,0.9956,,,,0.0314,,,16884.0,37059.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.082,,,,,,,97394.0,213854.0,,,,,,,,,,,,423219.0,0.9707,,,,0.0048,,,10345.0,20165.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.113,,,,,,,2724.0,6328.0,,,,,,,,,,,,14482.0,1.0,,,,0.0804,,,485.0,1055.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.088,,,,,,,166723.0,383499.0,,,,,,,,,,,,664492.0,0.997,,,,0.0081,,,21035.0,44951.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.071,,,,,,,128735.0,273754.0,,,,,,,,,,,,635419.0,0.9248,,,,0.0621,,,16678.0,34125.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.049,,,,,,,32015.0,50326.0,,,,,,,,,,,,186127.0,0.9644,,,,0.0433,,,4314.0,6852.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.122,,,,,,,48366.0,115203.0,,,,,,,,,,,,231489.0,0.9739,,,,0.0478,,,7087.0,15152.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.061,,,,,,,9432.0,18163.0,,,,,,,,,,,,46562.0,0.9812,,,,0.0804,,,1212.0,2416.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.048,,,,,,,15804.0,32099.0,,,,,,,,,,,,118331.0,0.9844,,,,0.0804,,,4159.0,8091.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.073,,,,,,,15874.0,35522.0,,,,,,,,,,,,108628.0,0.7078,,,,0.0804,,,5010.0,10918.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.057,,,,,,,53565.0,111956.0,,,,,,,,,,,,351459.0,0.9013,,,,0.0334,,,11424.0,22899.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.115,,,,,,,12385.0,24353.0,,,,,,,,,,,,59580.0,0.734,,,,0.0804,,,2675.0,5449.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.117,,,,,,,12036.0,23950.0,,,,,,,,,,,,52974.0,0.9552,,,,0.0804,,,659.0,1091.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.135,,,,,,,166.0,290.0,,,,,,,,,,,,684.0,1.0,,,,0.0804,,,2.0,*
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.152,,,,,,,3161.0,6927.0,,,,,,,,,,,,14162.0,1.0,,,,0.0804,,,143.0,261.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.085,,,,,,,21480.0,42705.0,,,,,,,,,,,,92626.0,0.9424,,,,0.0015,,,2524.0,4964.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,February,41671.0,2014.0,2014.0,2013/14,0.064,,,,,,,18734.0,34685.0,,,,,,,,,,,,97976.0,0.8108,,,,0.0804,,,3501.0,7120.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.129,,,,,,,42117.0,92164.0,,,,,,,,,,,,177226.0,0.9171,,,,0.0227,,,5529.0,11703.0
Sutter,US-06101,-121.714735,39.02038,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.156,,,,,,,5421.0,12742.0,,,,,,,,,,,,32288.0,0.944,,,,0.0804,,,689.0,1476.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.113,,,,,,,4710.0,10515.0,,,,,,,,,,,,22304.0,0.9252,,,,0.0804,,,432.0,921.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,February,41671.0,2014.0,2014.0,2013/14,0.126,,,,,,,869.0,1651.0,,,,,,,,,,,,3772.0,0.9778,,,,0.0804,,,38.0,57.0
