county,consortium,month,year,federal_fiscal_year,state_fiscal_year,qtr_medical_rcv_calfresh_pct,qtr_calfresh_persons_rcv_medical,qtr_calfresh_persons_rcv_medical_pct,quarter,fulldate
Los Angeles,LRS,JAN,2012,2012.0,2012.0,0.337046141668,848151.0,0.789294126296,1.0,2012-01-01
Madera,C-IV,JAN,2012,2012.0,2012.0,0.489690410573,24343.0,0.907305255311,1.0,2012-01-01
Marin,C-IV,JAN,2012,2012.0,2012.0,0.303600214938,7910.0,0.866659362332,1.0,2012-01-01
Mariposa,C-IV,JAN,2012,2012.0,2012.0,0.459860648288,1518.0,0.869914040115,1.0,2012-01-01
Mendocino,C-IV,JAN,2012,2012.0,2012.0,0.385901556462,10686.0,0.824600663631,1.0,2012-01-01
Merced,C-IV,JAN,2012,2012.0,2012.0,0.496424164877,43453.0,0.828244129308,1.0,2012-01-01
Modoc,C-IV,JAN,2012,2012.0,2012.0,0.384064080944,911.0,0.895771878073,1.0,2012-01-01
Mono,C-IV,JAN,2012,2012.0,2012.0,0.291250733999,496.0,0.659574468085,1.0,2012-01-01
Monterey,C-IV,JAN,2012,2012.0,2012.0,0.384035831875,38841.0,0.852692586332,1.0,2012-01-01
Napa,C-IV,JAN,2012,2012.0,2012.0,0.323879137283,6292.0,0.843092590111,1.0,2012-01-01
Nevada,C-IV,JAN,2012,2012.0,2012.0,0.38840685381,5327.0,0.817275237803,1.0,2012-01-01
Orange,CalWIN,JAN,2012,2012.0,2012.0,0.349045572833,168063.0,0.782004811249,1.0,2012-01-01
Placer,CalWIN,JAN,2012,2012.0,2012.0,0.370800485143,12229.0,0.680068957847,1.0,2012-01-01
Plumas,C-IV,JAN,2012,2012.0,2012.0,0.359881209503,1333.0,0.857234726688,1.0,2012-01-01
Riverside,C-IV,JAN,2012,2012.0,2012.0,0.422223537209,178381.0,0.705769010117,1.0,2012-01-01
Sacramento,CalWIN,JAN,2012,2012.0,2012.0,0.472082747839,158236.0,0.772987733688,1.0,2012-01-01
San Benito,C-IV,JAN,2012,2012.0,2012.0,0.458891515629,5241.0,0.839500240269,1.0,2012-01-01
San Bernardino,C-IV,JAN,2012,2012.0,2012.0,0.479290655385,238137.0,0.722851739765,1.0,2012-01-01
San Diego,CalWIN,JAN,2012,2012.0,2012.0,0.397241508277,182687.0,0.732030517467,1.0,2012-01-01
San Francisco,CalWIN,JAN,2012,2012.0,2012.0,0.232659273755,33170.0,0.630632343435,1.0,2012-01-01
San Joaquin,C-IV,JAN,2012,2012.0,2012.0,0.478900337766,89608.0,0.835685042014,1.0,2012-01-01
San Luis Obispo,CalWIN,JAN,2012,2012.0,2012.0,0.374144359731,13446.0,0.73187459177,1.0,2012-01-01
San Mateo,CalWIN,JAN,2012,2012.0,2012.0,0.259223719013,21071.0,0.774213697825,1.0,2012-01-01
Santa Barbara,CalWIN,JAN,2012,2012.0,2012.0,0.32847201918,28086.0,0.834824480575,1.0,2012-01-01
Santa Clara,CalWIN,JAN,2012,2012.0,2012.0,0.307625713759,83505.0,0.79537661447,1.0,2012-01-01
Santa Cruz,CalWIN,JAN,2012,2012.0,2012.0,0.372200219284,16634.0,0.750970654628,1.0,2012-01-01
Shasta,C-IV,JAN,2012,2012.0,2012.0,0.433729146632,20747.0,0.850705264884,1.0,2012-01-01
Sierra,C-IV,JAN,2012,2012.0,2012.0,0.358814352574,230.0,0.88122605364,1.0,2012-01-01
Siskiyou,C-IV,JAN,2012,2012.0,2012.0,0.433704453441,5142.0,0.859866220736,1.0,2012-01-01
Solano,CalWIN,JAN,2012,2012.0,2012.0,0.433938397318,34305.0,0.844721873384,1.0,2012-01-01
Sonoma,CalWIN,JAN,2012,2012.0,2012.0,0.373119385586,27206.0,0.812993067177,1.0,2012-01-01
Stanislaus,C-IV,JAN,2012,2012.0,2012.0,0.458612081177,65399.0,0.76321348131,1.0,2012-01-01
Sutter,C-IV,JAN,2012,2012.0,2012.0,0.389802383467,10336.0,0.888354103997,1.0,2012-01-01
Tehama,C-IV,JAN,2012,2012.0,2012.0,0.429802071582,8382.0,0.881758889123,1.0,2012-01-01
Trinity,C-IV,JAN,2012,2012.0,2012.0,0.395644283122,1308.0,0.839537869063,1.0,2012-01-01
Tulare,CalWIN,JAN,2012,2012.0,2012.0,0.525815078236,92412.0,0.828918688613,1.0,2012-01-01
Tuolumne,C-IV,JAN,2012,2012.0,2012.0,0.450482973949,4617.0,0.873935264055,1.0,2012-01-01
Ventura,CalWIN,JAN,2012,2012.0,2012.0,0.365229120668,48467.0,0.729123102613,1.0,2012-01-01
Yolo,CalWIN,JAN,2012,2012.0,2012.0,0.395265511117,12907.0,0.756609414385,1.0,2012-01-01
Yuba,C-IV,JAN,2012,2012.0,2012.0,0.486287152762,11011.0,0.84537428023,1.0,2012-01-01
California,n/a,APR,2012,2012.0,2012.0,0.397058402029,3172366.0,0.774782044422,2.0,2012-04-01
Alameda,CalWIN,APR,2012,2012.0,2012.0,0.359640799729,95517.0,0.758679576486,2.0,2012-04-01
Alpine,C-IV,APR,2012,2012.0,2012.0,0.472027972028,135.0,0.865384615385,2.0,2012-04-01
Amador,C-IV,APR,2012,2012.0,2012.0,0.488555078684,2732.0,0.832419256551,2.0,2012-04-01
Butte,C-IV,APR,2012,2012.0,2012.0,0.431349708787,25551.0,0.870651173885,2.0,2012-04-01
Calaveras,C-IV,APR,2012,2012.0,2012.0,0.498773307164,4066.0,0.802764067127,2.0,2012-04-01
Colusa,C-IV,APR,2012,2012.0,2012.0,0.305025032449,1645.0,0.900876232202,2.0,2012-04-01
Contra Costa,CalWIN,APR,2012,2012.0,2012.0,0.351904694446,52166.0,0.748221457258,2.0,2012-04-01
Del Norte,C-IV,APR,2012,2012.0,2012.0,0.506240167803,4827.0,0.879876048122,2.0,2012-04-01
El Dorado,C-IV,APR,2012,2012.0,2012.0,0.418846137274,9721.0,0.812928583375,2.0,2012-04-01
Fresno,CalWIN,APR,2012,2012.0,2012.0,0.534430231064,174717.0,0.800154794508,2.0,2012-04-01
Glenn,C-IV,APR,2012,2012.0,2012.0,0.393069306931,3176.0,0.899207248018,2.0,2012-04-01
Humboldt,C-IV,APR,2012,2012.0,2012.0,0.407126850361,12899.0,0.829197737208,2.0,2012-04-01
Imperial,C-IV,APR,2012,2012.0,2012.0,0.497531549878,32249.0,0.888230919657,2.0,2012-04-01
Inyo,C-IV,APR,2012,2012.0,2012.0,0.40050148165,1757.0,0.876746506986,2.0,2012-04-01
Kern,C-IV,APR,2012,2012.0,2012.0,0.480399021359,119383.0,0.819876245613,2.0,2012-04-01
Kings,C-IV,APR,2012,2012.0,2012.0,0.520370141888,21088.0,0.886273850551,2.0,2012-04-01
Lake,C-IV,APR,2012,2012.0,2012.0,0.428473848556,8782.0,0.850062917433,2.0,2012-04-01
Lassen,C-IV,APR,2012,2012.0,2012.0,0.472525537161,2683.0,0.900940228341,2.0,2012-04-01
Los Angeles,LRS,APR,2012,2012.0,2012.0,0.335597036404,841870.0,0.788920792116,2.0,2012-04-01
Madera,C-IV,APR,2012,2012.0,2012.0,0.495536162103,24700.0,0.903570383377,2.0,2012-04-01
Marin,C-IV,APR,2012,2012.0,2012.0,0.316337550139,8202.0,0.871440713982,2.0,2012-04-01
Mariposa,C-IV,APR,2012,2012.0,2012.0,0.469034341063,1598.0,0.871794871795,2.0,2012-04-01
Mendocino,C-IV,APR,2012,2012.0,2012.0,0.398773875757,11253.0,0.832322485207,2.0,2012-04-01
Merced,C-IV,APR,2012,2012.0,2012.0,0.516110327891,45395.0,0.823342704271,2.0,2012-04-01
Modoc,C-IV,APR,2012,2012.0,2012.0,0.381512605042,908.0,0.87984496124,2.0,2012-04-01
Mono,C-IV,APR,2012,2012.0,2012.0,0.322974472808,582.0,0.695340501792,2.0,2012-04-01
Monterey,C-IV,APR,2012,2012.0,2012.0,0.396903595887,40685.0,0.846123450628,2.0,2012-04-01
Napa,C-IV,APR,2012,2012.0,2012.0,0.321426735879,6254.0,0.833200106581,2.0,2012-04-01
Nevada,C-IV,APR,2012,2012.0,2012.0,0.41836364954,5773.0,0.816433319191,2.0,2012-04-01
Orange,CalWIN,APR,2012,2012.0,2012.0,0.353047248729,170334.0,0.773616012426,2.0,2012-04-01
Placer,CalWIN,APR,2012,2012.0,2012.0,0.368847959993,12096.0,0.669285674763,2.0,2012-04-01
Plumas,C-IV,APR,2012,2012.0,2012.0,0.37295298468,1412.0,0.84147794994,2.0,2012-04-01
Riverside,C-IV,APR,2012,2012.0,2012.0,0.448789275936,189324.0,0.699735738178,2.0,2012-04-01
Sacramento,CalWIN,APR,2012,2012.0,2012.0,0.470663147378,157811.0,0.766366713448,2.0,2012-04-01
San Benito,C-IV,APR,2012,2012.0,2012.0,0.465778634651,5315.0,0.834379905808,2.0,2012-04-01
San Bernardino,C-IV,APR,2012,2012.0,2012.0,0.5184015438,259503.0,0.715609764169,2.0,2012-04-01
San Diego,CalWIN,APR,2012,2012.0,2012.0,0.397110327967,181757.0,0.726551382293,2.0,2012-04-01
San Francisco,CalWIN,APR,2012,2012.0,2012.0,0.232900524297,33094.0,0.624285525646,2.0,2012-04-01
San Joaquin,C-IV,APR,2012,2012.0,2012.0,0.480109527037,89949.0,0.827505312836,2.0,2012-04-01
San Luis Obispo,CalWIN,APR,2012,2012.0,2012.0,0.366944569626,13028.0,0.720654939706,2.0,2012-04-01
San Mateo,CalWIN,APR,2012,2012.0,2012.0,0.266714911259,21745.0,0.761806334081,2.0,2012-04-01
Santa Barbara,CalWIN,APR,2012,2012.0,2012.0,0.328623264252,28257.0,0.829843470089,2.0,2012-04-01
Santa Clara,CalWIN,APR,2012,2012.0,2012.0,0.311273172633,83871.0,0.786074454525,2.0,2012-04-01
Santa Cruz,CalWIN,APR,2012,2012.0,2012.0,0.377026723557,16789.0,0.73999471086,2.0,2012-04-01
Shasta,C-IV,APR,2012,2012.0,2012.0,0.446755685375,21413.0,0.848106780735,2.0,2012-04-01
Sierra,C-IV,APR,2012,2012.0,2012.0,0.383435582822,250.0,0.886524822695,2.0,2012-04-01
Siskiyou,C-IV,APR,2012,2012.0,2012.0,0.447881640888,5328.0,0.865356504791,2.0,2012-04-01
Solano,CalWIN,APR,2012,2012.0,2012.0,0.437737630458,34309.0,0.837581172794,2.0,2012-04-01
Sonoma,CalWIN,APR,2012,2012.0,2012.0,0.386205674725,28339.0,0.806689439226,2.0,2012-04-01
Stanislaus,C-IV,APR,2012,2012.0,2012.0,0.476094946831,67874.0,0.750212770661,2.0,2012-04-01
Sutter,C-IV,APR,2012,2012.0,2012.0,0.397850670261,10625.0,0.882328516858,2.0,2012-04-01
Tehama,C-IV,APR,2012,2012.0,2012.0,0.449125147519,8753.0,0.886738932226,2.0,2012-04-01
Trinity,C-IV,APR,2012,2012.0,2012.0,0.400416790712,1345.0,0.853968253968,2.0,2012-04-01
Tulare,CalWIN,APR,2012,2012.0,2012.0,0.527699855765,92929.0,0.824087047514,2.0,2012-04-01
Tuolumne,C-IV,APR,2012,2012.0,2012.0,0.447538733085,4564.0,0.865213270142,2.0,2012-04-01
Ventura,CalWIN,APR,2012,2012.0,2012.0,0.364616379474,47927.0,0.716215610383,2.0,2012-04-01
Yolo,CalWIN,APR,2012,2012.0,2012.0,0.402796169125,13080.0,0.754020868162,2.0,2012-04-01
Yuba,C-IV,APR,2012,2012.0,2012.0,0.488767778812,11031.0,0.845611345343,2.0,2012-04-01
California,n/a,JUL,2012,2012.0,2013.0,0.39880341472,3205731.0,0.77013985001,3.0,2012-07-01
Alameda,CalWIN,JUL,2012,2012.0,2013.0,0.366603487632,98451.0,0.755902428537,3.0,2012-07-01
Alpine,C-IV,JUL,2012,2012.0,2013.0,0.449814126394,121.0,0.812080536913,3.0,2012-07-01
Amador,C-IV,JUL,2012,2012.0,2013.0,0.483634412449,2704.0,0.822884966525,3.0,2012-07-01
Butte,C-IV,JUL,2012,2012.0,2013.0,0.437671049997,26227.0,0.870316907251,3.0,2012-07-01
Calaveras,C-IV,JUL,2012,2012.0,2013.0,0.497777777778,4144.0,0.819134216248,3.0,2012-07-01
Colusa,C-IV,JUL,2012,2012.0,2013.0,0.284846252992,1547.0,0.894736842105,3.0,2012-07-01
Contra Costa,CalWIN,JUL,2012,2012.0,2013.0,0.356290701399,53398.0,0.751290889905,3.0,2012-07-01
Del Norte,C-IV,JUL,2012,2012.0,2013.0,0.506241476975,4826.0,0.882751051765,3.0,2012-07-01
El Dorado,C-IV,JUL,2012,2012.0,2013.0,0.421350725135,9820.0,0.813317873116,3.0,2012-07-01
Fresno,CalWIN,JUL,2012,2012.0,2013.0,0.534958754555,175421.0,0.797890437377,3.0,2012-07-01
Glenn,C-IV,JUL,2012,2012.0,2013.0,0.391229153799,3167.0,0.904340376927,3.0,2012-07-01
Humboldt,C-IV,JUL,2012,2012.0,2013.0,0.416090234935,13354.0,0.83745139847,3.0,2012-07-01
Imperial,C-IV,JUL,2012,2012.0,2013.0,0.503433299179,32919.0,0.890978969876,3.0,2012-07-01
Inyo,C-IV,JUL,2012,2012.0,2013.0,0.391019855596,1733.0,0.884635017866,3.0,2012-07-01
Kern,C-IV,JUL,2012,2012.0,2013.0,0.471421702196,117648.0,0.813795679512,3.0,2012-07-01
Kings,C-IV,JUL,2012,2012.0,2013.0,0.508053972718,20596.0,0.886306911094,3.0,2012-07-01
Lake,C-IV,JUL,2012,2012.0,2013.0,0.42001446829,8709.0,0.851569375183,3.0,2012-07-01
Lassen,C-IV,JUL,2012,2012.0,2013.0,0.475240594926,2716.0,0.901128069011,3.0,2012-07-01
Los Angeles,LRS,JUL,2012,2012.0,2013.0,0.343867094413,865215.0,0.777926231358,3.0,2012-07-01
Madera,C-IV,JUL,2012,2012.0,2013.0,0.490868356304,24539.0,0.900150398004,3.0,2012-07-01
Marin,C-IV,JUL,2012,2012.0,2013.0,0.320805726906,8425.0,0.873056994819,3.0,2012-07-01
Mariposa,C-IV,JUL,2012,2012.0,2013.0,0.456934306569,1565.0,0.858475041141,3.0,2012-07-01
Mendocino,C-IV,JUL,2012,2012.0,2013.0,0.402587276271,11359.0,0.830032882718,3.0,2012-07-01
Merced,C-IV,JUL,2012,2012.0,2013.0,0.50663298252,44721.0,0.818196787296,3.0,2012-07-01
Modoc,C-IV,JUL,2012,2012.0,2013.0,0.369915254237,873.0,0.868656716418,3.0,2012-07-01
Mono,C-IV,JUL,2012,2012.0,2013.0,0.328316610925,589.0,0.723587223587,3.0,2012-07-01
Monterey,C-IV,JUL,2012,2012.0,2013.0,0.370869463323,37980.0,0.837966640191,3.0,2012-07-01
Napa,C-IV,JUL,2012,2012.0,2013.0,0.32548697127,6333.0,0.830448465775,3.0,2012-07-01
Nevada,C-IV,JUL,2012,2012.0,2013.0,0.42023903242,5872.0,0.811610228058,3.0,2012-07-01
Orange,CalWIN,JUL,2012,2012.0,2013.0,0.356281341997,173426.0,0.772495445455,3.0,2012-07-01
Placer,CalWIN,JUL,2012,2012.0,2013.0,0.366780853063,12099.0,0.671681563315,3.0,2012-07-01
Plumas,C-IV,JUL,2012,2012.0,2013.0,0.366006256517,1404.0,0.832740213523,3.0,2012-07-01
Riverside,C-IV,JUL,2012,2012.0,2013.0,0.444997522942,188630.0,0.691162514611,3.0,2012-07-01
Sacramento,CalWIN,JUL,2012,2012.0,2013.0,0.473029796755,159403.0,0.761255044294,3.0,2012-07-01
San Benito,C-IV,JUL,2012,2012.0,2013.0,0.450661062954,5147.0,0.826163723917,3.0,2012-07-01
San Bernardino,C-IV,JUL,2012,2012.0,2013.0,0.509681327906,257438.0,0.710999533251,3.0,2012-07-01
San Diego,CalWIN,JUL,2012,2012.0,2013.0,0.398945400425,184152.0,0.723560752511,3.0,2012-07-01
San Francisco,CalWIN,JUL,2012,2012.0,2013.0,0.232963439177,33338.0,0.631832309908,3.0,2012-07-01
San Joaquin,C-IV,JUL,2012,2012.0,2013.0,0.480027599384,90442.0,0.823765153792,3.0,2012-07-01
San Luis Obispo,CalWIN,JUL,2012,2012.0,2013.0,0.361685415322,12893.0,0.722418333613,3.0,2012-07-01
San Mateo,CalWIN,JUL,2012,2012.0,2013.0,0.270525125689,22492.0,0.766598500341,3.0,2012-07-01
Santa Barbara,CalWIN,JUL,2012,2012.0,2013.0,0.313331472695,26944.0,0.824580732036,3.0,2012-07-01
Santa Clara,CalWIN,JUL,2012,2012.0,2013.0,0.312886300378,85096.0,0.785678013831,3.0,2012-07-01
Santa Cruz,CalWIN,JUL,2012,2012.0,2013.0,0.368296441893,16489.0,0.735721934678,3.0,2012-07-01
Shasta,C-IV,JUL,2012,2012.0,2013.0,0.451811936983,21968.0,0.854387056627,3.0,2012-07-01
Sierra,C-IV,JUL,2012,2012.0,2013.0,0.421130952381,283.0,0.912903225806,3.0,2012-07-01
Siskiyou,C-IV,JUL,2012,2012.0,2013.0,0.446597118728,5394.0,0.870702179177,3.0,2012-07-01
Solano,CalWIN,JUL,2012,2012.0,2013.0,0.439281545355,34998.0,0.84164201717,3.0,2012-07-01
Sonoma,CalWIN,JUL,2012,2012.0,2013.0,0.38641288355,28889.0,0.808853175048,3.0,2012-07-01
Stanislaus,C-IV,JUL,2012,2012.0,2013.0,0.472497103856,67706.0,0.748339320254,3.0,2012-07-01
Sutter,C-IV,JUL,2012,2012.0,2013.0,0.397840316556,10758.0,0.884413022032,3.0,2012-07-01
Tehama,C-IV,JUL,2012,2012.0,2013.0,0.46044552697,9074.0,0.890306122449,3.0,2012-07-01
Trinity,C-IV,JUL,2012,2012.0,2013.0,0.401118304885,1363.0,0.840320591862,3.0,2012-07-01
Tulare,CalWIN,JUL,2012,2012.0,2013.0,0.527873303167,93328.0,0.822983721627,3.0,2012-07-01
Tuolumne,C-IV,JUL,2012,2012.0,2013.0,0.438948393379,4508.0,0.871111111111,3.0,2012-07-01
Ventura,CalWIN,JUL,2012,2012.0,2013.0,0.362992669189,47882.0,0.714123788218,3.0,2012-07-01
Yolo,CalWIN,JUL,2012,2012.0,2013.0,0.407097265328,13904.0,0.800184162063,3.0,2012-07-01
Yuba,C-IV,JUL,2012,2012.0,2013.0,0.495661700263,11311.0,0.848537134284,3.0,2012-07-01
California,n/a,OCT,2012,2013.0,2013.0,0.399928756194,3223285.0,0.766094828117,4.0,2012-10-01
Alameda,CalWIN,OCT,2012,2013.0,2013.0,0.366038902505,98269.0,0.756084049519,4.0,2012-10-01
Alpine,C-IV,OCT,2012,2013.0,2013.0,0.490039840637,123.0,0.878571428571,4.0,2012-10-01
Amador,C-IV,OCT,2012,2013.0,2013.0,0.492208490059,2748.0,0.821524663677,4.0,2012-10-01
Butte,C-IV,OCT,2012,2013.0,2013.0,0.440125631481,26485.0,0.867592622924,4.0,2012-10-01
Calaveras,C-IV,OCT,2012,2013.0,2013.0,0.495653238643,4048.0,0.824943957612,4.0,2012-10-01
Colusa,C-IV,OCT,2012,2013.0,2013.0,0.276729559748,1496.0,0.901748040989,4.0,2012-10-01
Contra Costa,CalWIN,OCT,2012,2013.0,2013.0,0.356083262757,53817.0,0.746949992366,4.0,2012-10-01
Del Norte,C-IV,OCT,2012,2013.0,2013.0,0.494613333333,4637.0,0.87821969697,4.0,2012-10-01
El Dorado,C-IV,OCT,2012,2013.0,2013.0,0.418710732421,9730.0,0.803667299909,4.0,2012-10-01
Fresno,CalWIN,OCT,2012,2013.0,2013.0,0.531013340213,174945.0,0.794175726899,4.0,2012-10-01
Glenn,C-IV,OCT,2012,2013.0,2013.0,0.381335282651,3130.0,0.905933429812,4.0,2012-10-01
Humboldt,C-IV,OCT,2012,2013.0,2013.0,0.417155586233,13296.0,0.829651815799,4.0,2012-10-01
Imperial,C-IV,OCT,2012,2013.0,2013.0,0.512503393563,33980.0,0.89200399013,4.0,2012-10-01
Inyo,C-IV,OCT,2012,2013.0,2013.0,0.389680923286,1722.0,0.88036809816,4.0,2012-10-01
Kern,C-IV,OCT,2012,2013.0,2013.0,0.464563914183,116475.0,0.81071769136,4.0,2012-10-01
Kings,C-IV,OCT,2012,2013.0,2013.0,0.504616975696,20493.0,0.886452115235,4.0,2012-10-01
Lake,C-IV,OCT,2012,2013.0,2013.0,0.419803404459,8755.0,0.85389642056,4.0,2012-10-01
Lassen,C-IV,OCT,2012,2013.0,2013.0,0.464373897707,2633.0,0.882668454576,4.0,2012-10-01
Los Angeles,LRS,OCT,2012,2013.0,2013.0,0.348689537439,874210.0,0.768323497229,4.0,2012-10-01
Madera,C-IV,OCT,2012,2013.0,2013.0,0.476760378615,23623.0,0.899820972841,4.0,2012-10-01
Marin,C-IV,OCT,2012,2013.0,2013.0,0.316859687345,8290.0,0.866882777371,4.0,2012-10-01
Mariposa,C-IV,OCT,2012,2013.0,2013.0,0.454223272298,1538.0,0.861142217245,4.0,2012-10-01
Mendocino,C-IV,OCT,2012,2013.0,2013.0,0.393892911925,11042.0,0.819991088668,4.0,2012-10-01
Merced,C-IV,OCT,2012,2013.0,2013.0,0.498395335172,44104.0,0.817982862866,4.0,2012-10-01
Modoc,C-IV,OCT,2012,2013.0,2013.0,0.358617783397,851.0,0.875514403292,4.0,2012-10-01
Mono,C-IV,OCT,2012,2013.0,2013.0,0.303479749002,532.0,0.788148148148,4.0,2012-10-01
Monterey,C-IV,OCT,2012,2013.0,2013.0,0.34468787222,35305.0,0.827667854464,4.0,2012-10-01
Napa,C-IV,OCT,2012,2013.0,2013.0,0.325345670028,6259.0,0.832092528583,4.0,2012-10-01
Nevada,C-IV,OCT,2012,2013.0,2013.0,0.423201009959,6034.0,0.807656270914,4.0,2012-10-01
Orange,CalWIN,OCT,2012,2013.0,2013.0,0.361102343284,177324.0,0.768611268839,4.0,2012-10-01
Placer,CalWIN,OCT,2012,2013.0,2013.0,0.358780709736,11829.0,0.66198444233,4.0,2012-10-01
Plumas,C-IV,OCT,2012,2013.0,2013.0,0.380174004746,1442.0,0.850737463127,4.0,2012-10-01
Riverside,C-IV,OCT,2012,2013.0,2013.0,0.448062517297,191044.0,0.689515284946,4.0,2012-10-01
Sacramento,CalWIN,OCT,2012,2013.0,2013.0,0.476970987881,162349.0,0.759900769969,4.0,2012-10-01
San Benito,C-IV,OCT,2012,2013.0,2013.0,0.446752563765,5097.0,0.841366787719,4.0,2012-10-01
San Bernardino,C-IV,OCT,2012,2013.0,2013.0,0.509987967252,259386.0,0.712538217899,4.0,2012-10-01
San Diego,CalWIN,OCT,2012,2013.0,2013.0,0.40131649778,186377.0,0.719596759871,4.0,2012-10-01
San Francisco,CalWIN,OCT,2012,2013.0,2013.0,0.233285253395,33479.0,0.635130520565,4.0,2012-10-01
San Joaquin,C-IV,OCT,2012,2013.0,2013.0,0.47366386341,89441.0,0.818255006541,4.0,2012-10-01
San Luis Obispo,CalWIN,OCT,2012,2013.0,2013.0,0.362615055199,13040.0,0.723640399556,4.0,2012-10-01
San Mateo,CalWIN,OCT,2012,2013.0,2013.0,0.275215002389,23041.0,0.765990691489,4.0,2012-10-01
Santa Barbara,CalWIN,OCT,2012,2013.0,2013.0,0.307890163365,26574.0,0.818997133787,4.0,2012-10-01
Santa Clara,CalWIN,OCT,2012,2013.0,2013.0,0.313117612165,86567.0,0.785166843533,4.0,2012-10-01
Santa Cruz,CalWIN,OCT,2012,2013.0,2013.0,0.351060966309,15651.0,0.722309396345,4.0,2012-10-01
Shasta,C-IV,OCT,2012,2013.0,2013.0,0.447307620257,21490.0,0.847598012148,4.0,2012-10-01
Sierra,C-IV,OCT,2012,2013.0,2013.0,0.389908256881,255.0,0.861486486486,4.0,2012-10-01
Siskiyou,C-IV,OCT,2012,2013.0,2013.0,0.439100716462,5332.0,0.853529694253,4.0,2012-10-01
Solano,CalWIN,OCT,2012,2013.0,2013.0,0.443668296577,35568.0,0.843403205919,4.0,2012-10-01
Sonoma,CalWIN,OCT,2012,2013.0,2013.0,0.379372754175,28717.0,0.811145948083,4.0,2012-10-01
Stanislaus,C-IV,OCT,2012,2013.0,2013.0,0.468601077961,67554.0,0.749342769354,4.0,2012-10-01
Sutter,C-IV,OCT,2012,2013.0,2013.0,0.395495895274,10695.0,0.878655931646,4.0,2012-10-01
Tehama,C-IV,OCT,2012,2013.0,2013.0,0.450457317073,8865.0,0.886145541783,4.0,2012-10-01
Trinity,C-IV,OCT,2012,2013.0,2013.0,0.416864608076,1404.0,0.833729216152,4.0,2012-10-01
Tulare,CalWIN,OCT,2012,2013.0,2013.0,0.525622287807,93145.0,0.823373937026,4.0,2012-10-01
Tuolumne,C-IV,OCT,2012,2013.0,2013.0,0.436330486518,4547.0,0.878477588872,4.0,2012-10-01
Ventura,CalWIN,OCT,2012,2013.0,2013.0,0.371448030572,49085.0,0.716025790641,4.0,2012-10-01
Yolo,CalWIN,OCT,2012,2013.0,2013.0,0.407450689773,14295.0,0.821693395413,4.0,2012-10-01
Yuba,C-IV,OCT,2012,2013.0,2013.0,0.489330810858,11122.0,0.842320508937,4.0,2012-10-01
California,n/a,JAN,2013,2013.0,2013.0,0.393677112847,3270486.0,0.770212784998,1.0,2013-01-01
Alameda,CalWIN,JAN,2013,2013.0,2013.0,0.357582029585,99858.0,0.759908072568,1.0,2013-01-01
Alpine,C-IV,JAN,2013,2013.0,2013.0,0.5,133.0,0.892617449664,1.0,2013-01-01
Amador,C-IV,JAN,2013,2013.0,2013.0,0.482648158035,2712.0,0.815884476534,1.0,2013-01-01
Butte,C-IV,JAN,2013,2013.0,2013.0,0.438538480615,26525.0,0.869159184743,1.0,2013-01-01
