,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
Colusa,,32.0,77.0,109.0,77.0,54.0,0.0,0.0,2.0,17.0,0.0,0.0,2.0,2.0,32.0,,70.0,30.0,7.0,0.0,0.0,45.0,1.0,1.0,7.0,15.0,8.0,100.0,100.0,1248.0,0.0,9.0,0.0,1.0,2.0,0.0,35.0,65.0,,287.0,91.0,47.0,26.0,18.0,378.0,367.0,9.0,2.0,55.0,323.0,5.0,5.0,0.0,0.0,38.0,3.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,59.0,41.0,18.0,0.0
Contra Costa,,349.0,1895.0,2244.0,1802.0,1054.0,1.0,0.0,3.0,646.0,0.0,0.0,0.0,99.0,442.0,73.0,4561.0,747.0,335.0,2.0,3.0,692.0,14.0,8.0,340.0,33.0,374.0,5308.0,4985.0,19498.0,7.0,504.0,313.0,93.0,31.0,10.0,860.0,4448.0,29.0,3591.0,1185.0,714.0,24.0,447.0,4776.0,4618.0,85.0,73.0,1052.0,3724.0,344.0,341.0,3.0,0.0,242.0,9.0,5.0,344.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,279.0,256.0,23.0,0.0
Del Norte,,40.0,172.0,212.0,175.0,127.0,1.0,2.0,7.0,29.0,0.0,2.0,2.0,10.0,37.0,,450.0,124.0,28.0,0.0,0.0,99.0,0.0,0.0,28.0,48.0,48.0,574.0,572.0,3406.0,0.0,5.0,2.0,0.0,1.0,0.0,98.0,476.0,,772.0,228.0,99.0,46.0,83.0,1000.0,996.0,3.0,1.0,190.0,810.0,28.0,27.0,0.0,0.0,44.0,1.0,0.0,27.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,11.0,57.0,45.0,12.0,10.0
El Dorado  b/,-2.0,117.0,379.0,496.0,307.0,178.0,7.0,23.0,19.0,77.0,2.0,6.0,4.0,29.0,189.0,,517.0,156.0,43.0,0.0,0.0,131.0,3.0,1.0,43.0,65.0,48.0,673.0,614.0,3931.0,0.0,16.0,57.0,2.0,7.0,2.0,132.0,541.0,,921.0,299.0,135.0,56.0,108.0,1220.0,1166.0,47.0,7.0,274.0,946.0,25.0,22.0,0.0,0.0,78.0,0.0,0.0,22.0,3.0,0.0,0.0,31.0,0.0,0.0,3.0,0.0,109.0,78.0,31.0,0.0
Fresno,,922.0,3510.0,4432.0,3507.0,3391.0,0.0,20.0,3.0,99.0,0.0,0.0,0.0,14.0,925.0,,14040.0,1330.0,497.0,7.0,3.0,2830.0,44.0,10.0,507.0,237.0,586.0,15370.0,15205.0,98108.0,3.0,388.0,163.0,10.0,13.0,2.0,1380.0,13990.0,,14557.0,3666.0,2884.0,61.0,721.0,18223.0,18009.0,202.0,12.0,3224.0,14999.0,1119.0,1112.0,7.0,0.0,1002.0,8.0,2.0,1119.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1024.0,1012.0,12.0,1.0
Glenn,-2.0,56.0,145.0,201.0,128.0,85.0,0.0,2.0,6.0,25.0,0.0,0.0,3.0,9.0,73.0,,208.0,66.0,10.0,0.0,0.0,75.0,0.0,0.0,10.0,48.0,8.0,274.0,229.0,2154.0,0.0,1.0,45.0,0.0,0.0,0.0,55.0,219.0,,486.0,157.0,75.0,48.0,34.0,643.0,552.0,91.0,0.0,120.0,523.0,19.0,19.0,0.0,0.0,52.0,0.0,0.0,19.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,69.0,52.0,17.0,1.0
Humboldt,,286.0,621.0,907.0,579.0,342.0,5.0,52.0,28.0,142.0,3.0,30.0,26.0,41.0,328.0,,1068.0,165.0,12.0,0.0,0.0,330.0,0.0,0.0,12.0,108.0,45.0,1233.0,1227.0,4540.0,1.0,6.0,3.0,2.0,0.0,3.0,164.0,1069.0,,2651.0,661.0,330.0,83.0,248.0,3312.0,3307.0,3.0,2.0,539.0,2773.0,98.0,92.0,1.0,0.0,190.0,0.0,0.0,93.0,5.0,0.0,0.0,89.0,0.0,0.0,5.0,1.0,279.0,190.0,89.0,5.0
Imperial,-4.0,213.0,547.0,760.0,562.0,310.0,32.0,96.0,27.0,142.0,12.0,59.0,54.0,29.0,198.0,,1589.0,284.0,63.0,1.0,0.0,236.0,6.0,4.0,64.0,168.0,52.0,1873.0,1831.0,18650.0,2.0,204.0,41.0,6.0,52.0,1.0,298.0,1575.0,,4520.0,598.0,246.0,198.0,154.0,5118.0,4918.0,148.0,52.0,571.0,4547.0,100.0,93.0,0.0,0.0,268.0,19.0,3.0,93.0,7.0,0.0,0.0,87.0,0.0,0.0,7.0,6.0,377.0,290.0,87.0,9.0
Inyo,,6.0,58.0,64.0,59.0,43.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,5.0,5.0,,62.0,19.0,7.0,0.0,0.0,36.0,0.0,0.0,7.0,9.0,3.0,81.0,81.0,1058.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,52.0,,310.0,69.0,36.0,20.0,13.0,379.0,379.0,0.0,0.0,55.0,324.0,3.0,3.0,0.0,0.0,30.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,30.0,10.0,1.0
Kern ,,1359.0,2857.0,4216.0,2600.0,1581.0,25.0,139.0,128.0,722.0,12.0,95.0,51.0,118.0,1616.0,,5819.0,1474.0,254.0,11.0,0.0,1234.0,72.0,10.0,265.0,882.0,327.0,7293.0,7045.0,69301.0,3.0,1168.0,248.0,11.0,89.0,0.0,1357.0,5936.0,,13925.0,2909.0,1316.0,740.0,853.0,16834.0,15905.0,836.0,93.0,2352.0,14482.0,482.0,431.0,15.0,0.0,1168.0,71.0,5.0,446.0,35.0,1.0,0.0,457.0,8.0,1.0,36.0,4.0,1710.0,1244.0,466.0,14.0
Kings,-1.0,569.0,563.0,1132.0,475.0,334.0,6.0,43.0,14.0,109.0,3.0,19.0,6.0,12.0,657.0,,1213.0,328.0,65.0,2.0,0.0,261.0,5.0,1.0,67.0,175.0,86.0,1541.0,1510.0,12407.0,0.0,108.0,31.0,0.0,11.0,0.0,267.0,1274.0,,2831.0,652.0,267.0,123.0,262.0,3483.0,3397.0,77.0,9.0,631.0,2852.0,104.0,94.0,2.0,0.0,268.0,7.0,3.0,96.0,8.0,0.0,0.0,118.0,0.0,0.0,8.0,0.0,396.0,278.0,118.0,12.0
Lake  c/,-807.0,15.0,471.0,486.0,423.0,237.0,1.0,11.0,68.0,102.0,2.0,2.0,7.0,9.0,63.0,-28.0,587.0,139.0,60.0,0.0,0.0,177.0,0.0,0.0,60.0,53.0,26.0,726.0,724.0,4650.0,2.0,2.0,2.0,0.0,0.0,0.0,227.0,499.0,-41.0,979.0,284.0,177.0,50.0,57.0,1263.0,1261.0,2.0,0.0,407.0,856.0,46.0,41.0,0.0,0.0,97.0,0.0,0.0,41.0,5.0,0.0,0.0,37.0,0.0,0.0,5.0,3.0,134.0,97.0,37.0,6.0
Lassen,1.0,39.0,140.0,179.0,137.0,84.0,1.0,0.0,5.0,34.0,2.0,0.0,6.0,8.0,42.0,19.0,249.0,26.0,17.0,0.0,0.0,66.0,1.0,0.0,17.0,0.0,9.0,275.0,275.0,1777.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,245.0,23.0,387.0,77.0,67.0,0.0,10.0,464.0,463.0,1.0,0.0,90.0,374.0,10.0,8.0,0.0,0.0,15.0,1.0,0.0,8.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,24.0,16.0,8.0,1.0
Los Angeles,-1588.0,11161.0,33646.0,44807.0,29484.0,15960.0,0.0,0.0,3237.0,7394.0,0.0,0.0,924.0,1969.0,15323.0,3639.0,98756.0,3788.0,2838.0,81.0,4.0,12652.0,228.0,157.0,2923.0,38.0,827.0,102544.0,100576.0,639926.0,180.0,5409.0,1920.0,3100.0,108.0,48.0,6375.0,96169.0,7464.0,160237.0,15305.0,13037.0,125.0,2143.0,175542.0,170243.0,2788.0,2511.0,19596.0,155946.0,6694.0,6199.0,116.0,1.0,7775.0,148.0,118.0,6316.0,372.0,6.0,0.0,555.0,20.0,9.0,378.0,0.0,8625.0,8041.0,584.0,0.0
Madera,,280.0,612.0,892.0,553.0,322.0,0.0,27.0,24.0,136.0,0.0,4.0,17.0,54.0,339.0,,944.0,370.0,69.0,0.0,0.0,253.0,0.0,0.0,69.0,148.0,153.0,1314.0,1311.0,13250.0,1.0,13.0,3.0,4.0,1.0,0.0,329.0,985.0,,2952.0,764.0,253.0,199.0,312.0,3716.0,3702.0,7.0,7.0,498.0,3218.0,64.0,55.0,0.0,0.0,319.0,0.0,0.0,55.0,9.0,0.0,0.0,93.0,0.0,0.0,9.0,0.0,412.0,319.0,93.0,12.0
Marin,-2.0,68.0,271.0,339.0,240.0,173.0,3.0,7.0,10.0,51.0,0.0,9.0,3.0,3.0,99.0,,460.0,114.0,18.0,1.0,0.0,150.0,0.0,4.0,19.0,66.0,29.0,574.0,517.0,3052.0,0.0,42.0,57.0,35.0,0.0,0.0,132.0,442.0,,1344.0,339.0,154.0,82.0,103.0,1683.0,1603.0,80.0,0.0,276.0,1407.0,21.0,18.0,0.0,0.0,66.0,2.0,7.0,18.0,0.0,3.0,0.0,37.0,2.0,1.0,3.0,0.0,115.0,75.0,40.0,2.0
Mariposa,,23.0,56.0,79.0,56.0,40.0,2.0,11.0,4.0,7.0,0.0,0.0,0.0,5.0,23.0,,93.0,24.0,5.0,0.0,0.0,35.0,0.0,0.0,5.0,16.0,3.0,117.0,117.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,107.0,,191.0,50.0,35.0,5.0,10.0,241.0,241.0,0.0,0.0,31.0,210.0,7.0,7.0,0.0,0.0,21.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0,21.0,4.0,1.0
Mendocino,,800.0,415.0,1215.0,376.0,267.0,1.0,6.0,14.0,58.0,1.0,7.0,12.0,25.0,839.0,,1308.0,164.0,40.0,0.0,0.0,224.0,3.0,0.0,40.0,77.0,47.0,1472.0,1470.0,6794.0,0.0,20.0,2.0,0.0,8.0,0.0,134.0,1338.0,,2866.0,417.0,227.0,78.0,112.0,3283.0,3259.0,17.0,7.0,328.0,2955.0,58.0,52.0,0.0,0.0,137.0,0.0,0.0,52.0,6.0,0.0,0.0,48.0,0.0,0.0,6.0,0.0,185.0,137.0,48.0,2.0
Merced  b/,,400.0,316.0,716.0,317.0,257.0,0.0,8.0,13.0,36.0,0.0,1.0,6.0,5.0,399.0,,4124.0,146.0,62.0,0.0,0.0,189.0,3.0,3.0,62.0,59.0,25.0,4270.0,4261.0,25386.0,8.0,45.0,9.0,77.0,0.0,0.0,85.0,4185.0,,4980.0,259.0,195.0,22.0,42.0,5239.0,5118.0,44.0,77.0,308.0,4931.0,181.0,179.0,0.0,0.0,233.0,0.0,0.0,179.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,244.0,233.0,11.0,0.0
Modoc,-2.0,25.0,56.0,81.0,50.0,33.0,2.0,9.0,4.0,7.0,0.0,0.0,2.0,4.0,31.0,,98.0,31.0,9.0,0.0,0.0,24.0,0.0,0.0,9.0,15.0,7.0,129.0,128.0,760.0,0.0,3.0,0.0,1.0,0.0,1.0,29.0,100.0,1.0,170.0,50.0,24.0,15.0,11.0,220.0,217.0,3.0,0.0,41.0,179.0,6.0,6.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,12.0,1.0,0.0
Mono,,4.0,29.0,33.0,28.0,18.0,2.0,1.0,0.0,8.0,0.0,3.0,0.0,2.0,5.0,,24.0,8.0,2.0,0.0,0.0,15.0,1.0,0.0,2.0,3.0,3.0,32.0,32.0,245.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,23.0,,86.0,38.0,16.0,5.0,17.0,124.0,123.0,1.0,0.0,29.0,95.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,0.0
Monterey,,851.0,1295.0,2146.0,1522.0,906.0,44.0,255.0,43.0,477.0,9.0,150.0,13.0,83.0,624.0,,1934.0,776.0,144.0,2.0,0.0,740.0,18.0,2.0,146.0,481.0,149.0,2710.0,2658.0,17379.0,0.0,155.0,52.0,13.0,0.0,0.0,672.0,2038.0,,3629.0,1595.0,760.0,442.0,393.0,5224.0,5112.0,99.0,13.0,1203.0,4021.0,211.0,183.0,3.0,0.0,528.0,17.0,1.0,186.0,25.0,0.0,0.0,364.0,2.0,0.0,25.0,4.0,912.0,546.0,366.0,32.0
Napa,,219.0,218.0,437.0,206.0,100.0,0.0,18.0,27.0,54.0,0.0,9.0,5.0,20.0,231.0,,162.0,56.0,9.0,0.0,0.0,90.0,1.0,0.0,9.0,44.0,3.0,218.0,217.0,2234.0,3.0,24.0,1.0,1.0,9.0,0.0,40.0,178.0,,603.0,147.0,91.0,25.0,31.0,750.0,727.0,16.0,7.0,140.0,610.0,8.0,8.0,0.0,0.0,48.0,0.0,0.0,8.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,87.0,48.0,39.0,2.0
Nevada  c/,,43.0,157.0,200.0,143.0,99.0,4.0,10.0,10.0,24.0,0.0,2.0,3.0,7.0,57.0,,273.0,75.0,24.0,0.0,0.0,75.0,0.0,0.0,24.0,24.0,27.0,348.0,348.0,1974.0,1.0,1.0,0.0,0.0,0.0,0.0,67.0,281.0,,496.0,124.0,75.0,24.0,25.0,620.0,619.0,1.0,0.0,129.0,491.0,24.0,21.0,0.0,0.0,37.0,0.0,0.0,21.0,3.0,0.0,0.0,26.0,0.0,0.0,3.0,0.0,63.0,37.0,26.0,1.0
Orange,,656.0,3551.0,4207.0,3352.0,2293.0,1.0,9.0,18.0,761.0,0.0,0.0,0.0,280.0,855.0,,9856.0,1309.0,604.0,8.0,1.0,1633.0,35.0,12.0,613.0,20.0,676.0,11165.0,11009.0,61050.0,13.0,446.0,145.0,111.0,42.0,11.0,1203.0,9962.0,,13647.0,2729.0,1680.0,55.0,994.0,16376.0,15917.0,344.0,115.0,2158.0,14218.0,749.0,739.0,10.0,0.0,758.0,16.0,6.0,749.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,797.0,780.0,17.0,0.0
Placer  c/,,182.0,505.0,687.0,484.0,272.0,0.0,0.0,2.0,168.0,0.0,0.0,2.0,40.0,203.0,,743.0,101.0,72.0,0.0,0.0,199.0,0.0,1.0,72.0,3.0,26.0,844.0,844.0,4732.0,0.0,12.0,0.0,1.0,0.0,0.0,123.0,721.0,,791.0,310.0,200.0,4.0,106.0,1101.0,1100.0,0.0,1.0,262.0,839.0,47.0,47.0,0.0,0.0,42.0,0.0,0.0,47.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,45.0,42.0,3.0,0.0
Plumas,,21.0,68.0,89.0,61.0,33.0,1.0,1.0,5.0,13.0,0.0,2.0,3.0,7.0,28.0,,87.0,18.0,4.0,0.0,0.0,29.0,0.0,0.0,4.0,10.0,4.0,105.0,105.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,84.0,,117.0,71.0,29.0,18.0,24.0,188.0,188.0,0.0,0.0,38.0,150.0,4.0,4.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0,14.0,7.0,0.0
Riverside,,686.0,3205.0,3891.0,3022.0,1694.0,11.0,8.0,261.0,1018.0,8.0,18.0,6.0,43.0,869.0,,14349.0,1866.0,738.0,7.0,0.0,929.0,18.0,2.0,745.0,0.0,1121.0,16215.0,16067.0,74524.0,1.0,358.0,148.0,18.0,0.0,0.0,1722.0,14493.0,-4.0,7550.0,1594.0,949.0,0.0,645.0,9144.0,8950.0,178.0,16.0,1571.0,7573.0,460.0,456.0,4.0,0.0,178.0,4.0,0.0,460.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,190.0,182.0,8.0,5.0
Sacramento,,1288.0,6129.0,7417.0,5835.0,3843.0,0.0,1.0,12.0,1872.0,0.0,0.0,0.0,108.0,1582.0,,15540.0,3080.0,1384.0,22.0,13.0,2374.0,24.0,26.0,1419.0,362.0,1299.0,18620.0,18160.0,100052.0,91.0,584.0,290.0,123.0,158.0,170.0,2481.0,16139.0,,15870.0,3849.0,2424.0,115.0,1310.0,19719.0,19312.0,199.0,208.0,2949.0,16770.0,1161.0,1132.0,18.0,11.0,1017.0,10.0,11.0,1161.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1064.0,1038.0,26.0,0.0
San Benito  b/,-1.0,52.0,193.0,245.0,171.0,114.0,2.0,6.0,1.0,40.0,1.0,3.0,0.0,16.0,74.0,,254.0,76.0,28.0,1.0,0.0,80.0,4.0,1.0,29.0,32.0,15.0,330.0,324.0,2543.0,1.0,20.0,6.0,0.0,1.0,0.0,57.0,273.0,,538.0,137.0,85.0,20.0,32.0,675.0,653.0,16.0,6.0,75.0,600.0,11.0,11.0,0.0,0.0,63.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,2.0
San Bernardino,,3761.0,5423.0,9184.0,5110.0,3152.0,116.0,168.0,587.0,1140.0,8.0,11.0,106.0,125.0,4074.0,,21870.0,1583.0,1292.0,13.0,1.0,1799.0,33.0,14.0,1306.0,245.0,32.0,23453.0,23266.0,134307.0,19.0,574.0,182.0,272.0,19.0,5.0,1786.0,21667.0,,20369.0,2170.0,1846.0,279.0,45.0,22539.0,21968.0,357.0,214.0,2485.0,20054.0,1105.0,1100.0,5.0,0.0,817.0,10.0,6.0,1105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,833.0,833.0,0.0,230.0
San Diego  c/,,1046.0,3871.0,4917.0,3650.0,2642.0,0.0,2.0,2.0,852.0,0.0,0.0,0.0,154.0,1267.0,,14165.0,1372.0,699.0,7.0,6.0,1843.0,18.0,69.0,712.0,102.0,558.0,15537.0,15221.0,75344.0,32.0,681.0,302.0,205.0,63.0,14.0,1435.0,14102.0,,11062.0,2997.0,1930.0,408.0,659.0,14059.0,13581.0,314.0,164.0,2475.0,11584.0,1167.0,1146.0,18.0,3.0,817.0,14.0,8.0,1167.0,0.0,0.0,0.0,46.0,1.0,2.0,0.0,0.0,888.0,839.0,49.0,0.0
San Francisco,,290.0,2877.0,3167.0,2838.0,2176.0,0.0,0.0,2.0,625.0,0.0,0.0,0.0,35.0,329.0,,3875.0,419.0,231.0,3.0,1.0,1882.0,23.0,36.0,235.0,20.0,164.0,4294.0,4182.0,30426.0,65.0,317.0,99.0,473.0,36.0,13.0,364.0,3930.0,,13064.0,2333.0,1941.0,16.0,376.0,15397.0,14797.0,216.0,384.0,2219.0,13178.0,339.0,331.0,3.0,5.0,563.0,5.0,12.0,339.0,0.0,0.0,0.0,102.0,1.0,4.0,0.0,0.0,687.0,580.0,107.0,0.0
San Joaquin  c/,-1.0,692.0,1728.0,2420.0,1750.0,1042.0,51.0,145.0,148.0,400.0,4.0,25.0,79.0,81.0,670.0,,5438.0,1063.0,251.0,2.0,0.0,784.0,4.0,1.0,253.0,464.0,346.0,6501.0,6498.0,47419.0,1.0,80.0,2.0,26.0,52.0,1.0,1061.0,5440.0,,8738.0,1897.0,789.0,465.0,643.0,10635.0,10526.0,57.0,52.0,1592.0,9043.0,374.0,354.0,4.0,0.0,695.0,3.0,0.0,358.0,16.0,0.0,0.0,213.0,0.0,0.0,16.0,8.0,911.0,698.0,213.0,6.0
San Luis Obispo  c/,,88.0,528.0,616.0,485.0,344.0,0.0,2.0,0.0,104.0,0.0,0.0,0.0,37.0,131.0,,995.0,201.0,116.0,0.0,0.0,227.0,1.0,0.0,116.0,11.0,74.0,1196.0,1174.0,5113.0,12.0,21.0,12.0,10.0,16.0,10.0,220.0,976.0,,1498.0,306.0,228.0,1.0,77.0,1804.0,1767.0,21.0,16.0,248.0,1556.0,80.0,80.0,0.0,0.0,67.0,0.0,0.0,80.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,70.0,67.0,3.0,2.0
San Mateo  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
