San Francisco,,,a.,Pure federal cases………………………………………………………………………………………………………………………………………………………………………………………………………………….…….……………….,,,,,,,,,,,,,,43.0,263825.0,44.0,1846041.0
San Joaquin,,,,1),Federal persons in Item 8a cases,,,,,Federal Persons,,,,State Persons,,,,,,,
San Luis Obispo,,,,,plus federal persons in Item 8b cases………………………………………………………………………………………………………………………………………………………………………………………………………….……,,,,,45.0,4379319.0,,,Singles,,Families,,,,,
San Mateo,,,b.,Federal/State combined cases……………………………………………………………………………………………….,,,,,,,,,,46.0,3130.0,47.0,32024.0,48.0,4996.0,49.0,22066.0
Santa Barbara,,,c.,Pure state cases……………………………………………………………...……………………………………………………………………………………………………………………………………………………………………….……..,,,,,,,,,,50.0,14622.0,51.0,1053.0,52.0,223.0,53.0,11589.0
Santa Clara,,9.  ,Cases terminated during the month……………………………………………….………………………………………………………………………..,,,,,,,,,,,,,,,54.0,16920.0,55.0,171410.0
Santa Cruz,,10.  ,Cases brought forward at the end of the month (Item 8 minus Item 9)…………………………………………………………………………………………………………………………………………………………………………………………..,,,,,,,,,,,,,,,56.0,252124.0,57.0,1708286.0
Shasta,,PART C.  RECERTIFICATIONS,,,,,,,,,,,,,,,,,,,
Sierra,,11.  ,Recertifications disposed of during the month (Item 11a plus Item 11b)………………………...……………………………………………………………………………………………,,,,,,,,,,,,,,,58.0,26046.0,59.0,127287.0
Siskiyou,,,,,,PACF,,,,,,NACF,,,,,,,,,
Solano,,,,,,Federal,,Fed/State,,State,,Federal,,Fed/State,,State,,,,,
Sonoma,,,a.,Determined continuing eligible………………………………………………………………………………………………………………………………………………………………………………………………………………………….…..,,60.0,25131.0,61.0,435.0,62.0,16.0,63.0,119993.0,64.0,1430.0,65.0,452.0,66.0,25582.0,67.0,121875.0
Stanislaus,,,b.,Determined ineligible………………………………………………………………………………………………………………………………………………………………………………………………………………………………………,,68.0,455.0,69.0,7.0,70.0,2.0,71.0,5273.0,72.0,111.0,73.0,28.0,74.0,464.0,75.0,5412.0
Sutter,,12.  ,Overdue recertifications (CWD caused) during the month…………………………………………………………………………………………………………...………………………………...…………………………………………………………,,,,,,,,,,,,,,,76.0,155.0,77.0,1031.0
Tehama,,COMMENTS  a/,,,,,,,,,,,,,,,,,,,
Trinity,,Now Revising:  Fresno,,,,,,,,,,,,,,,,,,,
Tulare,,,,,,,,,,,,,,,,,,,,,
Tuolumne,,,,,,,,,,,,,,,,,,,,,
Ventura,,,,,,,,,,,,,,,,,,,,,
Yolo,,,,,,,,,,,,,,,,,,,,,
Yuba,,,,,,,,,,,,,,,,,,,,,
