,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
Colusa,-1.0,28.0,77.0,105.0,68.0,45.0,0.0,0.0,5.0,15.0,0.0,2.0,2.0,1.0,37.0,,59.0,25.0,10.0,0.0,0.0,35.0,0.0,0.0,10.0,11.0,4.0,84.0,84.0,1028.0,0.0,6.0,0.0,1.0,0.0,0.0,25.0,59.0,,242.0,63.0,35.0,15.0,13.0,305.0,299.0,5.0,1.0,61.0,244.0,3.0,3.0,0.0,0.0,20.0,1.0,1.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,39.0,22.0,17.0,0.0
Contra Costa,,577.0,1426.0,2003.0,1482.0,832.0,0.0,1.0,7.0,523.0,0.0,0.0,0.0,120.0,521.0,37.0,4505.0,690.0,319.0,0.0,1.0,502.0,9.0,1.0,320.0,28.0,342.0,5195.0,4872.0,19498.0,7.0,504.0,313.0,93.0,31.0,10.0,1026.0,4169.0,27.0,3572.0,940.0,512.0,33.0,395.0,4512.0,4354.0,85.0,73.0,1139.0,3373.0,284.0,282.0,2.0,0.0,200.0,8.0,1.0,284.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,221.0,209.0,12.0,1.0
Del Norte,,38.0,151.0,189.0,155.0,114.0,0.0,2.0,5.0,28.0,0.0,5.0,2.0,6.0,34.0,,447.0,91.0,25.0,0.0,0.0,88.0,1.0,0.0,25.0,34.0,32.0,538.0,535.0,3490.0,0.0,6.0,3.0,0.0,1.0,0.0,119.0,419.0,,742.0,219.0,89.0,43.0,87.0,961.0,957.0,3.0,1.0,209.0,752.0,26.0,25.0,0.0,0.0,43.0,0.0,0.0,25.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,3.0,56.0,43.0,13.0,3.0
El Dorado,-6.0,138.0,310.0,448.0,294.0,188.0,5.0,9.0,5.0,80.0,0.0,5.0,4.0,17.0,154.0,,489.0,147.0,39.0,0.0,0.0,143.0,1.0,5.0,39.0,60.0,48.0,636.0,586.0,3609.0,0.0,10.0,45.0,5.0,10.0,5.0,161.0,475.0,,936.0,326.0,149.0,74.0,103.0,1262.0,1191.0,61.0,10.0,357.0,905.0,26.0,22.0,0.0,0.0,56.0,0.0,0.0,22.0,4.0,0.0,0.0,33.0,0.0,0.0,4.0,0.0,89.0,56.0,33.0,3.0
Fresno,,924.0,3103.0,4027.0,3105.0,2969.0,1.0,14.0,2.0,127.0,0.0,0.0,0.0,7.0,922.0,-1.0,14101.0,1257.0,547.0,5.0,1.0,2367.0,40.0,9.0,553.0,215.0,489.0,15358.0,15197.0,95242.0,7.0,347.0,159.0,15.0,8.0,2.0,1922.0,13436.0,1.0,14075.0,3122.0,2416.0,51.0,655.0,17197.0,17013.0,169.0,15.0,3951.0,13246.0,1071.0,1063.0,7.0,1.0,971.0,8.0,1.0,1071.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,995.0,980.0,15.0,2.0
Glenn,-2.0,50.0,127.0,177.0,105.0,70.0,0.0,1.0,2.0,19.0,0.0,1.0,5.0,9.0,72.0,,199.0,57.0,13.0,0.0,0.0,57.0,0.0,0.0,13.0,37.0,7.0,256.0,207.0,1955.0,0.0,1.0,49.0,3.0,0.0,0.0,59.0,197.0,,450.0,128.0,57.0,41.0,30.0,578.0,488.0,88.0,2.0,129.0,449.0,6.0,6.0,0.0,0.0,27.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,37.0,27.0,10.0,0.0
Humboldt,-2.0,346.0,518.0,864.0,530.0,283.0,4.0,44.0,29.0,173.0,3.0,29.0,14.0,31.0,334.0,-1.0,1052.0,152.0,6.0,0.0,0.0,276.0,1.0,0.0,6.0,96.0,50.0,1204.0,1200.0,4474.0,0.0,10.0,2.0,2.0,0.0,2.0,209.0,995.0,1.0,2625.0,649.0,277.0,116.0,256.0,3274.0,3269.0,3.0,2.0,703.0,2571.0,59.0,56.0,0.0,0.0,146.0,0.0,0.0,56.0,3.0,0.0,0.0,73.0,0.0,0.0,3.0,0.0,219.0,146.0,73.0,6.0
Imperial,-5.0,263.0,443.0,706.0,473.0,269.0,22.0,100.0,28.0,117.0,13.0,50.0,32.0,27.0,233.0,,1664.0,234.0,44.0,0.0,0.0,208.0,10.0,7.0,44.0,149.0,41.0,1898.0,1836.0,18553.0,4.0,259.0,60.0,8.0,72.0,2.0,378.0,1520.0,,4550.0,579.0,225.0,231.0,123.0,5129.0,4885.0,178.0,66.0,625.0,4504.0,80.0,69.0,4.0,0.0,249.0,13.0,4.0,73.0,7.0,0.0,0.0,86.0,1.0,0.0,7.0,6.0,353.0,266.0,87.0,22.0
Inyo,,14.0,49.0,63.0,62.0,49.0,0.0,1.0,2.0,10.0,0.0,2.0,0.0,1.0,1.0,,48.0,22.0,8.0,0.0,0.0,41.0,0.0,0.0,8.0,9.0,5.0,70.0,70.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,,291.0,68.0,41.0,11.0,16.0,359.0,359.0,0.0,0.0,42.0,317.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,13.0,7.0,0.0
Kern ,,1578.0,2645.0,4223.0,2584.0,1616.0,19.0,82.0,124.0,711.0,3.0,33.0,33.0,100.0,1639.0,,6026.0,1305.0,280.0,8.0,0.0,1253.0,62.0,13.0,288.0,755.0,262.0,7331.0,7087.0,66414.0,2.0,1090.0,243.0,14.0,94.0,1.0,1576.0,5755.0,,12591.0,3302.0,1328.0,1307.0,667.0,15893.0,15025.0,774.0,94.0,2769.0,13124.0,456.0,395.0,17.0,0.0,1114.0,65.0,3.0,412.0,43.0,1.0,0.0,472.0,9.0,0.0,44.0,6.0,1663.0,1182.0,481.0,14.0
Kings,,602.0,528.0,1130.0,503.0,326.0,1.0,14.0,16.0,150.0,1.0,3.0,4.0,7.0,627.0,,1124.0,250.0,56.0,2.0,0.0,259.0,6.0,3.0,58.0,118.0,74.0,1374.0,1340.0,12265.0,0.0,104.0,33.0,3.0,10.0,1.0,279.0,1095.0,,2677.0,653.0,268.0,177.0,208.0,3330.0,3247.0,71.0,12.0,672.0,2658.0,91.0,83.0,2.0,0.0,216.0,10.0,1.0,85.0,6.0,0.0,0.0,90.0,1.0,0.0,6.0,1.0,318.0,227.0,91.0,6.0
Lake,,773.0,225.0,998.0,183.0,117.0,4.0,8.0,14.0,39.0,0.0,2.0,7.0,6.0,815.0,,746.0,4.0,4.0,0.0,0.0,113.0,0.0,0.0,4.0,0.0,0.0,750.0,748.0,3978.0,7.0,9.0,2.0,0.0,0.0,0.0,181.0,569.0,,1085.0,167.0,113.0,26.0,28.0,1252.0,1250.0,2.0,0.0,281.0,971.0,33.0,30.0,0.0,0.0,80.0,0.0,0.0,30.0,3.0,0.0,0.0,38.0,0.0,0.0,3.0,9.0,118.0,80.0,38.0,15.0
Lassen,-2.0,46.0,81.0,127.0,99.0,65.0,1.0,1.0,5.0,25.0,1.0,1.0,2.0,2.0,28.0,42.0,268.0,13.0,13.0,0.0,0.0,52.0,0.0,0.0,13.0,0.0,0.0,281.0,281.0,1672.0,0.0,5.0,0.0,0.0,0.0,0.0,64.0,217.0,30.0,366.0,60.0,52.0,0.0,8.0,426.0,425.0,1.0,0.0,88.0,338.0,5.0,5.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,14.0,8.0,0.0
Los Angeles,-813.0,12640.0,29118.0,41758.0,26897.0,14737.0,0.0,0.0,2929.0,6634.0,0.0,0.0,905.0,1692.0,14861.0,5324.0,99904.0,3600.0,2691.0,104.0,3.0,11577.0,227.0,135.0,2798.0,27.0,775.0,103504.0,101567.0,643368.0,207.0,5627.0,1885.0,3111.0,129.0,52.0,7572.0,95932.0,4140.0,161093.0,14003.0,11939.0,80.0,1984.0,175096.0,169227.0,3369.0,2500.0,19114.0,155982.0,6518.0,6039.0,104.0,6.0,7478.0,186.0,92.0,6149.0,362.0,7.0,0.0,598.0,19.0,9.0,369.0,0.0,8382.0,7756.0,626.0,0.0
Madera,,277.0,554.0,831.0,496.0,308.0,4.0,4.0,20.0,120.0,1.0,2.0,10.0,38.0,335.0,,974.0,360.0,60.0,0.0,0.0,248.0,0.0,0.0,60.0,145.0,155.0,1334.0,1331.0,12614.0,1.0,13.0,3.0,4.0,1.0,0.0,402.0,932.0,,2590.0,838.0,248.0,228.0,362.0,3428.0,3413.0,9.0,6.0,693.0,2735.0,85.0,75.0,0.0,0.0,293.0,0.0,0.0,75.0,10.0,0.0,0.0,116.0,0.0,0.0,10.0,2.0,409.0,293.0,116.0,9.0
Marin  b/,-1.0,91.0,205.0,296.0,222.0,132.0,2.0,6.0,8.0,66.0,0.0,6.0,2.0,14.0,74.0,,457.0,101.0,17.0,1.0,0.0,110.0,0.0,4.0,18.0,69.0,14.0,558.0,498.0,3052.0,0.0,42.0,60.0,35.0,0.0,0.0,122.0,436.0,,1334.0,270.0,114.0,78.0,78.0,1604.0,1528.0,76.0,0.0,282.0,1322.0,26.0,23.0,0.0,0.0,54.0,2.0,7.0,23.0,0.0,3.0,0.0,52.0,2.0,1.0,3.0,1.0,118.0,63.0,55.0,1.0
Mariposa,,24.0,41.0,65.0,44.0,24.0,1.0,4.0,0.0,13.0,0.0,0.0,3.0,4.0,21.0,,91.0,18.0,4.0,0.0,0.0,20.0,0.0,0.0,4.0,9.0,5.0,109.0,109.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,84.0,,211.0,36.0,20.0,7.0,9.0,247.0,247.0,0.0,0.0,59.0,188.0,8.0,7.0,0.0,0.0,14.0,0.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,22.0,14.0,8.0,0.0
Mendocino,,755.0,338.0,1093.0,294.0,212.0,2.0,5.0,6.0,50.0,0.0,3.0,7.0,19.0,799.0,,1207.0,156.0,41.0,1.0,0.0,168.0,2.0,0.0,42.0,66.0,48.0,1363.0,1359.0,6288.0,0.0,19.0,4.0,1.0,6.0,0.0,112.0,1251.0,,2678.0,386.0,170.0,121.0,95.0,3064.0,3046.0,12.0,6.0,334.0,2730.0,38.0,36.0,1.0,0.0,116.0,0.0,0.0,37.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,123.0,116.0,7.0,2.0
Merced  c/,-3.0,357.0,399.0,756.0,317.0,182.0,2.0,6.0,43.0,73.0,2.0,1.0,7.0,12.0,439.0,359.0,4091.0,135.0,46.0,1.0,0.0,135.0,0.0,0.0,47.0,11.0,77.0,4226.0,4216.0,26634.0,6.0,46.0,9.0,69.0,0.0,1.0,213.0,4013.0,35.0,4661.0,355.0,135.0,130.0,90.0,5016.0,4904.0,43.0,69.0,372.0,4644.0,205.0,197.0,0.0,0.0,298.0,0.0,0.0,197.0,8.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,307.0,298.0,9.0,0.0
Modoc,-1.0,39.0,40.0,79.0,35.0,24.0,1.0,8.0,3.0,5.0,0.0,2.0,1.0,2.0,44.0,-24.0,86.0,20.0,7.0,0.0,0.0,17.0,0.0,0.0,7.0,11.0,2.0,106.0,105.0,666.0,0.0,0.0,0.0,1.0,0.0,1.0,27.0,79.0,-16.0,149.0,39.0,17.0,10.0,12.0,188.0,188.0,0.0,0.0,34.0,154.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,12.0,1.0,0.0
Mono,,1.0,29.0,30.0,22.0,11.0,1.0,0.0,2.0,8.0,0.0,4.0,0.0,1.0,8.0,,26.0,6.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,4.0,0.0,32.0,32.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,,98.0,27.0,9.0,5.0,13.0,125.0,125.0,0.0,0.0,32.0,93.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,0.0
Monterey,-3.0,558.0,1316.0,1874.0,1012.0,547.0,23.0,63.0,30.0,330.0,2.0,42.0,22.0,83.0,862.0,,1807.0,565.0,117.0,3.0,0.0,415.0,11.0,1.0,120.0,302.0,143.0,2372.0,2306.0,14521.0,0.0,162.0,66.0,12.0,0.0,0.0,669.0,1703.0,,3090.0,1105.0,427.0,397.0,281.0,4195.0,4092.0,91.0,12.0,1059.0,3136.0,126.0,100.0,5.0,0.0,312.0,13.0,0.0,105.0,21.0,0.0,0.0,260.0,0.0,0.0,21.0,0.0,585.0,325.0,260.0,14.0
Napa,,130.0,178.0,308.0,188.0,107.0,0.0,18.0,4.0,47.0,0.0,9.0,6.0,24.0,120.0,,142.0,44.0,6.0,0.0,0.0,99.0,0.0,2.0,6.0,29.0,9.0,186.0,184.0,2054.0,0.0,18.0,2.0,4.0,10.0,0.0,49.0,137.0,,569.0,162.0,101.0,27.0,34.0,731.0,711.0,10.0,10.0,169.0,562.0,15.0,13.0,0.0,0.0,56.0,0.0,0.0,13.0,2.0,0.0,0.0,42.0,0.0,0.0,2.0,0.0,98.0,56.0,42.0,7.0
Nevada  c/,,56.0,107.0,163.0,122.0,75.0,1.0,2.0,9.0,25.0,0.0,2.0,2.0,11.0,41.0,,267.0,55.0,14.0,0.0,0.0,61.0,0.0,0.0,14.0,17.0,24.0,322.0,322.0,1824.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,246.0,,470.0,118.0,61.0,21.0,36.0,588.0,588.0,0.0,0.0,126.0,462.0,11.0,8.0,0.0,0.0,36.0,0.0,0.0,8.0,3.0,0.0,0.0,24.0,0.0,0.0,3.0,0.0,60.0,36.0,24.0,0.0
Orange,,761.0,2897.0,3658.0,2886.0,1849.0,0.0,1.0,8.0,787.0,0.0,0.0,0.0,242.0,772.0,,10439.0,1171.0,513.0,7.0,0.0,1293.0,27.0,9.0,520.0,21.0,630.0,11610.0,11447.0,66163.0,17.0,461.0,151.0,112.0,57.0,12.0,1762.0,9848.0,,13789.0,2070.0,1329.0,45.0,696.0,15859.0,15431.0,317.0,111.0,2583.0,13276.0,638.0,629.0,8.0,1.0,672.0,14.0,5.0,638.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,705.0,691.0,14.0,0.0
Placer,,201.0,431.0,632.0,425.0,240.0,0.0,0.0,2.0,153.0,0.0,0.0,1.0,29.0,207.0,,744.0,105.0,66.0,0.0,0.0,174.0,0.0,0.0,66.0,3.0,36.0,849.0,849.0,4615.0,0.0,9.0,0.0,1.0,0.0,0.0,148.0,701.0,,767.0,248.0,174.0,3.0,71.0,1015.0,1015.0,0.0,0.0,267.0,748.0,58.0,58.0,0.0,0.0,36.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,36.0,1.0,0.0
Plumas,,33.0,49.0,82.0,62.0,40.0,0.0,1.0,4.0,10.0,0.0,1.0,2.0,6.0,20.0,,81.0,20.0,8.0,0.0,0.0,32.0,0.0,0.0,8.0,10.0,2.0,101.0,101.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,85.0,,106.0,54.0,32.0,11.0,11.0,160.0,160.0,0.0,0.0,41.0,119.0,6.0,5.0,0.0,0.0,12.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,18.0,12.0,6.0,0.0
Riverside,,1025.0,2855.0,3880.0,3081.0,1607.0,4.0,4.0,284.0,1129.0,1.0,6.0,9.0,52.0,799.0,-3.0,14430.0,1534.0,654.0,7.0,0.0,926.0,19.0,1.0,661.0,0.0,873.0,15964.0,15788.0,74624.0,1.0,394.0,176.0,18.0,0.0,0.0,1572.0,14392.0,-1.0,7890.0,1507.0,946.0,0.0,561.0,9397.0,9195.0,186.0,16.0,1523.0,7874.0,379.0,375.0,4.0,0.0,156.0,3.0,0.0,379.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,163.0,159.0,4.0,4.0
Sacramento  c/,,1322.0,4859.0,6181.0,4863.0,3279.0,0.0,2.0,8.0,1463.0,0.0,0.0,0.0,113.0,1318.0,,15962.0,2671.0,1206.0,12.0,4.0,2034.0,11.0,12.0,1222.0,401.0,1048.0,18633.0,18391.0,101250.0,95.0,559.0,180.0,110.0,161.0,62.0,3485.0,15148.0,,16132.0,3197.0,2057.0,117.0,1023.0,19329.0,19109.0,106.0,114.0,3830.0,15499.0,1223.0,1207.0,12.0,4.0,1004.0,6.0,6.0,1223.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1046.0,1016.0,30.0,1.0
San Benito  b/,-2.0,53.0,137.0,190.0,135.0,86.0,2.0,3.0,1.0,36.0,0.0,0.0,2.0,10.0,55.0,,262.0,53.0,18.0,0.0,0.0,67.0,1.0,0.0,18.0,28.0,7.0,315.0,308.0,2335.0,0.0,24.0,7.0,1.0,5.0,0.0,67.0,248.0,,472.0,121.0,68.0,30.0,23.0,593.0,572.0,15.0,6.0,93.0,500.0,11.0,10.0,1.0,0.0,49.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
San Bernardino,,4556.0,7133.0,11689.0,6081.0,3625.0,106.0,147.0,688.0,1449.0,13.0,4.0,147.0,172.0,5608.0,,21859.0,1758.0,1442.0,17.0,0.0,2107.0,44.0,15.0,1459.0,268.0,31.0,23617.0,23444.0,134468.0,18.0,571.0,167.0,274.0,45.0,6.0,1657.0,21960.0,,19942.0,2469.0,2166.0,275.0,28.0,22411.0,21832.0,358.0,221.0,2297.0,20114.0,1348.0,1341.0,7.0,0.0,879.0,23.0,2.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,904.0,904.0,0.0,209.0
San Diego  c/,,1150.0,3331.0,4481.0,3342.0,2431.0,1.0,1.0,3.0,760.0,0.0,0.0,0.0,148.0,1139.0,,14304.0,1303.0,651.0,6.0,14.0,1683.0,16.0,61.0,671.0,100.0,532.0,15607.0,15274.0,77040.0,51.0,707.0,318.0,208.0,69.0,15.0,1741.0,13866.0,,11176.0,2479.0,1760.0,39.0,680.0,13655.0,13153.0,334.0,168.0,2778.0,10877.0,1157.0,1127.0,20.0,10.0,754.0,15.0,13.0,1157.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,820.0,782.0,38.0,0.0
San Francisco,,288.0,2312.0,2600.0,2326.0,1783.0,0.0,0.0,5.0,520.0,0.0,0.0,0.0,18.0,274.0,,4029.0,321.0,198.0,4.0,4.0,1539.0,14.0,24.0,206.0,13.0,102.0,4350.0,4228.0,29862.0,68.0,317.0,100.0,469.0,75.0,22.0,453.0,3897.0,,13095.0,1963.0,1577.0,15.0,371.0,15058.0,14456.0,211.0,391.0,2147.0,12911.0,329.0,315.0,12.0,2.0,523.0,9.0,14.0,329.0,0.0,0.0,0.0,67.0,1.0,2.0,0.0,0.0,616.0,546.0,70.0,0.0
San Joaquin  c/,-2.0,907.0,1510.0,2417.0,1616.0,950.0,42.0,122.0,120.0,392.0,3.0,38.0,78.0,76.0,801.0,,5268.0,1290.0,215.0,1.0,0.0,732.0,2.0,0.0,216.0,752.0,322.0,6558.0,6556.0,46247.0,3.0,79.0,2.0,36.0,20.0,0.0,1401.0,5157.0,,8091.0,2312.0,734.0,1017.0,561.0,10403.0,10308.0,49.0,46.0,2033.0,8370.0,326.0,292.0,0.0,0.0,620.0,2.0,0.0,292.0,34.0,0.0,0.0,231.0,2.0,0.0,34.0,4.0,855.0,622.0,233.0,9.0
San Luis Obispo  c/,,94.0,457.0,551.0,427.0,296.0,0.0,0.0,10.0,89.0,0.0,0.0,0.0,32.0,124.0,,984.0,176.0,96.0,0.0,0.0,200.0,0.0,0.0,96.0,9.0,71.0,1160.0,1140.0,5076.0,16.0,32.0,16.0,4.0,5.0,4.0,266.0,894.0,,1459.0,253.0,200.0,2.0,51.0,1712.0,1675.0,32.0,5.0,285.0,1427.0,83.0,82.0,1.0,0.0,64.0,0.0,0.0,83.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,66.0,64.0,2.0,0.0
San Mateo  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
