,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART A.  APPLICATIONS FOR CALFRESH ,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
Contra Costa,2073.0,2067.0,6.0,2897.0,4970.0,2871.0,1479.0,5.0,45.0,0.0,1124.0,0.0,107.0,0.0,268.0,2099.0,4640.0,28117.0,4617.0,27919.0,23.0,198.0,152.0,3068.0,154.0,4.0,1.0,1288.0,18.0,14.0,159.0,1320.0,-212.0,212.0,21.0,69.0,15.0,32.0,169.0,1435.0,4792.0,31185.0,4703.0,30674.0,72641.0,89.0,559.0,87.0,368.0,189.0,0.0,2.0,143.0,249.0,3071.0,4543.0,28114.0,371.0,1447.0,356.0,10.0,0.0,1383.0,21.0,5.0,366.0,1409.0,5.0,0.0,0.0,38.0,0.0,0.0,5.0,38.0,0.0,0.0,
Del Norte,67.0,67.0,0.0,207.0,274.0,205.0,95.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,9.0,69.0,385.0,1973.0,385.0,1973.0,0.0,0.0,35.0,197.0,14.0,0.0,0.0,81.0,0.0,0.0,14.0,81.0,-10.0,10.0,2.0,8.0,4.0,10.0,25.0,88.0,420.0,2170.0,420.0,2168.0,5348.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,169.0,390.0,2001.0,39.0,159.0,39.0,0.0,0.0,153.0,2.0,0.0,39.0,155.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
El Dorado,192.0,196.0,-4.0,673.0,865.0,669.0,380.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,33.0,196.0,541.0,6217.0,541.0,6219.0,0.0,-2.0,47.0,623.0,23.0,0.0,0.0,355.0,1.0,1.0,23.0,357.0,0.0,0.0,5.0,28.0,3.0,43.0,16.0,195.0,588.0,6840.0,586.0,6798.0,13243.0,4.0,33.0,1.0,31.0,12.0,1.0,1.0,11.0,31.0,632.0,557.0,6208.0,79.0,530.0,77.0,1.0,0.0,523.0,1.0,1.0,78.0,525.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,
Fresno,2227.0,2210.0,17.0,4665.0,6892.0,4666.0,3337.0,28.0,202.0,2.0,1201.0,0.0,311.0,0.0,126.0,2226.0,13817.0,80908.0,13369.0,78079.0,448.0,2829.0,138.0,3319.0,237.0,3.0,3.0,3050.0,21.0,23.0,243.0,3094.0,-131.0,131.0,23.0,32.0,1.0,9.0,2.0,53.0,13955.0,84227.0,13767.0,83440.0,227066.0,72.0,827.0,176.0,605.0,220.0,19.0,12.0,182.0,612.0,6231.0,13343.0,77996.0,1161.0,5931.0,1060.0,10.0,2.0,4755.0,47.0,9.0,1072.0,4811.0,89.0,0.0,0.0,1101.0,17.0,2.0,89.0,1120.0,5.0,105.0,
Glenn,31.0,31.0,0.0,107.0,138.0,108.0,53.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,9.0,30.0,210.0,1247.0,210.0,1247.0,0.0,0.0,11.0,91.0,5.0,0.0,0.0,48.0,0.0,0.0,5.0,48.0,1.0,-1.0,4.0,8.0,0.0,4.0,1.0,32.0,221.0,1338.0,219.0,1328.0,3558.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,0.0,8.0,114.0,213.0,1224.0,27.0,104.0,27.0,0.0,0.0,102.0,0.0,0.0,27.0,102.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Humboldt,351.0,374.0,-23.0,1364.0,1715.0,1307.0,621.0,0.0,6.0,0.0,637.0,0.0,4.0,0.0,49.0,408.0,974.0,10191.0,974.0,10191.0,0.0,0.0,57.0,1146.0,10.0,0.0,0.0,609.0,1.0,1.0,10.0,611.0,1.0,-1.0,2.0,42.0,2.0,81.0,42.0,413.0,1031.0,11337.0,1028.0,11308.0,21444.0,7.0,23.0,3.0,20.0,10.0,2.0,0.0,9.0,57.0,1032.0,974.0,10305.0,130.0,760.0,124.0,0.0,0.0,754.0,1.0,0.0,124.0,755.0,6.0,0.0,0.0,5.0,0.0,0.0,6.0,5.0,0.0,0.0,
Imperial,547.0,553.0,-6.0,1274.0,1821.0,1351.0,742.0,1.0,24.0,0.0,545.0,0.0,19.0,0.0,64.0,470.0,2367.0,14336.0,2367.0,14336.0,0.0,0.0,93.0,1094.0,55.0,0.0,0.0,663.0,19.0,5.0,55.0,687.0,-18.0,18.0,5.0,19.0,8.0,95.0,43.0,275.0,2460.0,15430.0,2431.0,14997.0,44112.0,26.0,428.0,28.0,381.0,57.0,6.0,1.0,52.0,75.0,912.0,2385.0,14518.0,269.0,1384.0,269.0,0.0,0.0,1339.0,27.0,5.0,269.0,1371.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,
Inyo,18.0,18.0,0.0,84.0,102.0,80.0,58.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,97.0,895.0,97.0,895.0,0.0,0.0,7.0,71.0,1.0,0.0,0.0,56.0,0.0,1.0,1.0,57.0,2.0,-2.0,1.0,2.0,1.0,2.0,2.0,12.0,104.0,966.0,104.0,957.0,2081.0,0.0,8.0,0.0,6.0,3.0,0.0,0.0,3.0,8.0,71.0,96.0,895.0,9.0,93.0,9.0,0.0,0.0,92.0,1.0,0.0,9.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kern,2609.0,2600.0,9.0,5562.0,8171.0,5687.0,3334.0,1.0,9.0,8.0,2130.0,0.0,9.0,0.0,215.0,2484.0,10694.0,53973.0,10694.0,53975.0,0.0,-2.0,399.0,4846.0,267.0,3.0,0.0,3016.0,36.0,12.0,270.0,3064.0,-81.0,81.0,13.0,86.0,54.0,371.0,143.0,1244.0,11093.0,58819.0,11025.0,57868.0,162801.0,60.0,800.0,64.0,713.0,295.0,30.0,4.0,238.0,476.0,4605.0,10617.0,54214.0,138.0,5190.0,126.0,8.0,0.0,5005.0,62.0,14.0,134.0,5081.0,4.0,0.0,0.0,107.0,2.0,0.0,4.0,109.0,0.0,0.0,
Kings,2438.0,2441.0,-3.0,752.0,3190.0,822.0,467.0,0.0,0.0,2.0,336.0,0.0,1.0,0.0,17.0,2368.0,1453.0,8633.0,1453.0,8634.0,0.0,-1.0,74.0,759.0,31.0,0.0,0.0,428.0,4.0,4.0,31.0,436.0,-3.0,3.0,7.0,19.0,9.0,54.0,30.0,247.0,1527.0,9392.0,1510.0,9277.0,24914.0,8.0,98.0,17.0,89.0,22.0,4.0,0.0,26.0,76.0,755.0,1451.0,8637.0,202.0,853.0,199.0,3.0,0.0,830.0,7.0,1.0,202.0,838.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,15.0,0.0,0.0,
Lake,142.0,148.0,-6.0,713.0,855.0,622.0,427.0,2.0,1.0,0.0,180.0,0.0,1.0,0.0,15.0,233.0,582.0,5323.0,582.0,5323.0,0.0,0.0,46.0,667.0,10.0,0.0,0.0,413.0,3.0,1.0,10.0,417.0,-3.0,3.0,1.0,15.0,2.0,14.0,36.0,218.0,628.0,5990.0,628.0,5959.0,12644.0,0.0,29.0,0.0,23.0,11.0,0.0,0.0,8.0,46.0,432.0,582.0,5558.0,73.0,484.0,73.0,0.0,0.0,471.0,5.0,1.0,73.0,477.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,
Lassen,96.0,96.0,0.0,116.0,212.0,117.0,67.0,0.0,9.0,0.0,48.0,0.0,10.0,0.0,2.0,95.0,260.0,1135.0,260.0,1135.0,0.0,0.0,5.0,166.0,2.0,0.0,0.0,65.0,0.0,0.0,2.0,65.0,-14.0,14.0,0.0,8.0,4.0,24.0,13.0,55.0,265.0,1301.0,264.0,1297.0,3218.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,1.0,25.0,137.0,240.0,1164.0,26.0,119.0,25.0,0.0,0.0,118.0,0.0,0.0,25.0,118.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
Los Angeles,11934.0,18694.0,-6760.0,49009.0,60943.0,43241.0,29878.0,163.0,1114.0,1661.0,8422.0,210.0,1219.0,765.0,2515.0,17702.0,74650.0,468919.0,74631.0,471325.0,19.0,-2406.0,4765.0,42910.0,1944.0,49.0,6.0,27266.0,333.0,280.0,1999.0,27879.0,86.0,206.0,145.0,37.0,985.0,1291.0,1550.0,13497.0,79415.0,511829.0,77238.0,501965.0,1166037.0,845.0,9649.0,2108.0,6044.0,4759.0,247.0,69.0,3820.0,5495.0,45221.0,73920.0,466608.0,5323.0,25017.0,4803.0,133.0,7.0,22528.0,336.0,171.0,4943.0,23035.0,363.0,16.0,1.0,1926.0,41.0,15.0,380.0,1982.0,390.0,1638.0,
Madera,2650.0,2653.0,-3.0,625.0,3275.0,670.0,414.0,0.0,2.0,0.0,232.0,0.0,1.0,0.0,24.0,2605.0,1867.0,9479.0,1867.0,9479.0,0.0,0.0,55.0,702.0,29.0,0.0,0.0,385.0,0.0,0.0,29.0,385.0,-14.0,14.0,8.0,20.0,11.0,86.0,21.0,197.0,1922.0,10181.0,1911.0,10119.0,29468.0,0.0,75.0,10.0,56.0,9.0,4.0,1.0,6.0,103.0,685.0,1819.0,9496.0,211.0,916.0,208.0,1.0,0.0,902.0,7.0,1.0,209.0,910.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,
Marin,160.0,160.0,0.0,531.0,691.0,524.0,287.0,0.0,1.0,0.0,216.0,0.0,4.0,0.0,21.0,167.0,627.0,5444.0,627.0,5444.0,0.0,0.0,28.0,482.0,11.0,2.0,0.0,258.0,11.0,5.0,13.0,274.0,2.0,-2.0,1.0,12.0,2.0,47.0,10.0,151.0,655.0,5926.0,606.0,5672.0,10432.0,6.0,288.0,43.0,193.0,71.0,14.0,6.0,61.0,29.0,470.0,626.0,5456.0,66.0,423.0,61.0,3.0,0.0,401.0,15.0,5.0,64.0,421.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,
Mariposa,25.0,25.0,0.0,90.0,115.0,86.0,45.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,9.0,29.0,144.0,888.0,144.0,888.0,0.0,0.0,4.0,86.0,4.0,0.0,0.0,41.0,0.0,0.0,4.0,41.0,-5.0,5.0,1.0,6.0,1.0,5.0,3.0,29.0,148.0,974.0,148.0,974.0,2117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,70.0,137.0,904.0,9.0,79.0,9.0,0.0,0.0,77.0,0.0,0.0,9.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Mendocino,236.0,241.0,-5.0,564.0,800.0,582.0,409.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,3.0,218.0,732.0,5950.0,732.0,5951.0,0.0,-1.0,52.0,578.0,27.0,0.0,0.0,381.0,1.0,0.0,27.0,382.0,-1.0,1.0,0.0,10.0,5.0,34.0,21.0,151.0,784.0,6528.0,781.0,6478.0,13610.0,4.0,41.0,2.0,37.0,17.0,1.0,1.0,13.0,50.0,496.0,734.0,6032.0,69.0,530.0,69.0,0.0,0.0,519.0,4.0,0.0,69.0,523.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,
Merced,472.0,516.0,-44.0,1385.0,1857.0,1476.0,837.0,0.0,1.0,1.0,524.0,0.0,1.0,0.0,114.0,381.0,4219.0,19662.0,4219.0,19663.0,0.0,-1.0,182.0,1528.0,89.0,1.0,0.0,745.0,1.0,1.0,90.0,747.0,-63.0,63.0,22.0,52.0,39.0,206.0,94.0,460.0,4401.0,21190.0,4372.0,21115.0,58731.0,2.0,96.0,29.0,64.0,7.0,6.0,0.0,11.0,216.0,1596.0,4185.0,19594.0,547.0,1823.0,535.0,8.0,0.0,1789.0,4.0,1.0,543.0,1794.0,4.0,0.0,0.0,29.0,0.0,0.0,4.0,29.0,0.0,0.0,
Modoc,18.0,18.0,0.0,45.0,63.0,43.0,26.0,0.0,2.0,0.0,14.0,0.0,3.0,0.0,3.0,20.0,75.0,333.0,75.0,333.0,0.0,0.0,6.0,44.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,24.0,2.0,-2.0,0.0,1.0,1.0,6.0,1.0,15.0,81.0,377.0,81.0,377.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,69.0,330.0,8.0,37.0,8.0,0.0,0.0,37.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mono,11.0,11.0,0.0,47.0,58.0,32.0,21.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,26.0,13.0,437.0,13.0,437.0,0.0,0.0,4.0,27.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,2.0,-2.0,1.0,1.0,0.0,2.0,1.0,5.0,17.0,464.0,17.0,462.0,806.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,81.0,17.0,383.0,1.0,26.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Monterey,605.0,616.0,-11.0,1911.0,2516.0,1844.0,998.0,0.0,0.0,1.0,773.0,0.0,1.0,0.0,72.0,672.0,2569.0,18105.0,2569.0,18106.0,0.0,-1.0,21.0,1751.0,40.0,0.0,0.0,942.0,15.0,1.0,40.0,958.0,-95.0,95.0,6.0,31.0,9.0,126.0,61.0,541.0,2590.0,19856.0,2562.0,19593.0,49143.0,11.0,275.0,28.0,219.0,49.0,8.0,0.0,44.0,160.0,2165.0,2430.0,17691.0,309.0,1774.0,303.0,2.0,0.0,1674.0,22.0,2.0,305.0,1698.0,4.0,0.0,0.0,74.0,2.0,0.0,4.0,76.0,0.0,0.0,
Napa,208.0,208.0,0.0,331.0,539.0,351.0,159.0,2.0,9.0,0.0,167.0,0.0,8.0,0.0,25.0,188.0,350.0,3045.0,350.0,3045.0,0.0,0.0,13.0,288.0,10.0,0.0,0.0,146.0,3.0,0.0,10.0,149.0,-7.0,7.0,1.0,10.0,2.0,19.0,7.0,103.0,363.0,3333.0,350.0,3261.0,7508.0,3.0,80.0,12.0,61.0,12.0,1.0,1.0,11.0,14.0,290.0,349.0,3043.0,54.0,274.0,53.0,1.0,0.0,265.0,7.0,0.0,54.0,272.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Nevada,182.0,186.0,-4.0,335.0,517.0,395.0,221.0,1.0,0.0,0.0,166.0,0.0,0.0,0.0,8.0,122.0,331.0,3709.0,331.0,3709.0,0.0,0.0,-2.0,384.0,7.0,0.0,0.0,214.0,0.0,0.0,7.0,214.0,-13.0,13.0,1.0,12.0,0.0,26.0,3.0,119.0,329.0,4093.0,328.0,4079.0,7957.0,1.0,13.0,1.0,12.0,3.0,0.0,0.0,2.0,10.0,328.0,319.0,3765.0,29.0,306.0,29.0,0.0,0.0,299.0,0.0,0.0,29.0,299.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,
Orange,3473.0,3473.0,0.0,8343.0,11816.0,8020.0,5860.0,12.0,82.0,112.0,1820.0,9.0,140.0,33.0,195.0,3796.0,12352.0,103980.0,12352.0,103980.0,0.0,0.0,670.0,8551.0,341.0,8.0,0.0,5329.0,111.0,71.0,349.0,5511.0,1.0,-1.0,2.0,15.0,0.0,7.0,318.0,3019.0,13022.0,112531.0,12805.0,109145.0,261411.0,321.0,3091.0,212.0,2217.0,1622.0,8.0,5.0,1169.0,549.0,7777.0,12473.0,104754.0,906.0,6271.0,870.0,17.0,1.0,5508.0,37.0,35.0,888.0,5580.0,18.0,0.0,0.0,662.0,11.0,18.0,18.0,691.0,0.0,0.0,
Placer,385.0,385.0,0.0,713.0,1098.0,710.0,385.0,0.0,10.0,0.0,267.0,0.0,9.0,0.0,58.0,388.0,807.0,7665.0,807.0,7665.0,0.0,0.0,86.0,841.0,32.0,1.0,0.0,347.0,3.0,2.0,33.0,352.0,2.0,-2.0,10.0,36.0,12.0,169.0,29.0,286.0,893.0,8506.0,884.0,8438.0,17933.0,0.0,68.0,9.0,43.0,18.0,12.0,0.0,25.0,103.0,810.0,790.0,7696.0,28.0,426.0,27.0,0.0,0.0,408.0,3.0,1.0,27.0,412.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,14.0,0.0,0.0,
Plumas,64.0,66.0,-2.0,142.0,206.0,152.0,74.0,0.0,1.0,0.0,70.0,0.0,0.0,0.0,8.0,54.0,96.0,857.0,96.0,857.0,0.0,0.0,6.0,148.0,1.0,0.0,0.0,73.0,0.0,0.0,1.0,73.0,1.0,-1.0,0.0,1.0,1.0,10.0,3.0,65.0,102.0,1005.0,102.0,1002.0,2016.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,115.0,97.0,890.0,16.0,99.0,16.0,0.0,0.0,91.0,0.0,0.0,16.0,91.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,
