,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
Contra Costa,2044.0,1995.0,49.0,2346.0,4390.0,2467.0,1274.0,9.0,59.0,2.0,926.0,0.0,80.0,0.0,265.0,1923.0,4548.0,28641.0,4526.0,28523.0,22.0,118.0,148.0,2580.0,127.0,3.0,0.0,1117.0,20.0,7.0,130.0,1144.0,-122.0,122.0,18.0,71.0,13.0,26.0,109.0,1217.0,4696.0,31221.0,4608.0,30683.0,72378.0,88.0,589.0,86.0,378.0,201.0,6.0,2.0,160.0,317.0,2938.0,4379.0,28283.0,315.0,1242.0,304.0,3.0,0.0,1197.0,17.0,1.0,307.0,1215.0,8.0,0.0,0.0,27.0,0.0,0.0,8.0,27.0,0.0,0.0,
Del Norte,47.0,48.0,-1.0,187.0,234.0,176.0,98.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,6.0,58.0,389.0,2004.0,389.0,2004.0,0.0,0.0,26.0,186.0,15.0,0.0,0.0,83.0,0.0,0.0,15.0,83.0,-8.0,8.0,3.0,3.0,2.0,17.0,14.0,75.0,415.0,2190.0,415.0,2187.0,5306.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,199.0,398.0,1991.0,43.0,177.0,43.0,0.0,0.0,174.0,1.0,0.0,43.0,175.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
El Dorado,170.0,178.0,-8.0,580.0,750.0,573.0,311.0,1.0,0.0,0.0,232.0,0.0,0.0,0.0,30.0,177.0,560.0,6193.0,560.0,6194.0,0.0,-1.0,16.0,543.0,15.0,0.0,0.0,293.0,3.0,0.0,15.0,296.0,-21.0,21.0,3.0,24.0,3.0,34.0,16.0,168.0,576.0,6736.0,575.0,6697.0,13006.0,6.0,29.0,1.0,29.0,9.0,1.0,0.0,10.0,30.0,558.0,546.0,6178.0,62.0,496.0,62.0,0.0,0.0,485.0,6.0,1.0,62.0,492.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
Fresno,1890.0,2081.0,-191.0,4360.0,6250.0,4253.0,3254.0,16.0,123.0,3.0,902.0,0.0,264.0,0.0,94.0,1997.0,13897.0,80702.0,13422.0,77980.0,475.0,2722.0,286.0,3063.0,229.0,5.0,0.0,2967.0,30.0,23.0,234.0,3020.0,33.0,-33.0,14.0,22.0,0.0,10.0,5.0,44.0,14183.0,83765.0,13959.0,83000.0,226446.0,70.0,863.0,210.0,598.0,195.0,22.0,14.0,167.0,831.0,7010.0,13352.0,76755.0,1173.0,6154.0,982.0,17.0,1.0,4689.0,45.0,3.0,1000.0,4737.0,172.0,1.0,0.0,1391.0,21.0,5.0,173.0,1417.0,1.0,1.0,
Glenn,21.0,22.0,-1.0,109.0,130.0,103.0,55.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,7.0,27.0,210.0,1204.0,210.0,1204.0,0.0,0.0,1.0,109.0,4.0,0.0,0.0,50.0,0.0,1.0,4.0,51.0,-6.0,6.0,1.0,7.0,0.0,12.0,2.0,33.0,211.0,1313.0,210.0,1301.0,3455.0,0.0,12.0,1.0,11.0,0.0,1.0,0.0,1.0,8.0,96.0,203.0,1217.0,24.0,104.0,24.0,0.0,0.0,102.0,0.0,0.0,24.0,102.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Humboldt,325.0,345.0,-20.0,1006.0,1331.0,1037.0,487.0,1.0,2.0,0.0,496.0,0.0,4.0,0.0,54.0,294.0,975.0,10622.0,975.0,10622.0,0.0,0.0,32.0,988.0,15.0,0.0,0.0,470.0,2.0,0.0,15.0,472.0,-10.0,10.0,3.0,37.0,0.0,81.0,24.0,388.0,1007.0,11610.0,1004.0,11584.0,21595.0,7.0,16.0,2.0,17.0,10.0,2.0,1.0,9.0,44.0,999.0,963.0,10611.0,104.0,727.0,103.0,0.0,0.0,717.0,1.0,1.0,103.0,719.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,
Imperial,397.0,401.0,-4.0,910.0,1307.0,971.0,541.0,2.0,23.0,0.0,388.0,0.0,16.0,0.0,42.0,336.0,2394.0,14650.0,2394.0,14651.0,0.0,-1.0,91.0,823.0,49.0,2.0,0.0,471.0,16.0,3.0,51.0,490.0,-7.0,7.0,6.0,19.0,9.0,87.0,32.0,220.0,2485.0,15473.0,2456.0,15075.0,44157.0,25.0,394.0,28.0,352.0,47.0,5.0,1.0,46.0,79.0,1053.0,2406.0,14420.0,217.0,995.0,214.0,2.0,0.0,949.0,24.0,5.0,216.0,978.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,17.0,0.0,0.0,
Inyo,13.0,15.0,-2.0,82.0,95.0,75.0,57.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,20.0,99.0,907.0,99.0,907.0,0.0,0.0,21.0,53.0,3.0,0.0,0.0,53.0,1.0,0.0,3.0,54.0,13.0,-13.0,0.0,0.0,1.0,3.0,4.0,9.0,120.0,960.0,119.0,951.0,2107.0,1.0,8.0,0.0,7.0,3.0,0.0,1.0,2.0,6.0,61.0,114.0,899.0,12.0,82.0,11.0,0.0,0.0,81.0,0.0,0.0,11.0,81.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
Kern,2423.0,2420.0,3.0,5433.0,7856.0,5232.0,3181.0,1.0,9.0,4.0,1852.0,0.0,12.0,0.0,195.0,2624.0,10590.0,54599.0,10591.0,54602.0,-1.0,-3.0,420.0,4686.0,257.0,4.0,0.0,2848.0,50.0,22.0,261.0,2920.0,-74.0,74.0,20.0,84.0,52.0,321.0,161.0,1287.0,11010.0,59285.0,10941.0,58340.0,162740.0,55.0,826.0,66.0,717.0,279.0,31.0,3.0,228.0,482.0,4796.0,10528.0,54489.0,1175.0,4897.0,1157.0,9.0,0.0,4709.0,73.0,15.0,1166.0,4797.0,9.0,0.0,0.0,99.0,1.0,0.0,9.0,100.0,0.0,0.0,
Kings,2404.0,2404.0,0.0,828.0,3232.0,814.0,525.0,0.0,2.0,0.0,262.0,0.0,2.0,0.0,27.0,2418.0,1443.0,8651.0,1443.0,8651.0,0.0,0.0,49.0,801.0,33.0,0.0,0.0,477.0,13.0,2.0,33.0,492.0,-18.0,18.0,3.0,19.0,3.0,52.0,28.0,220.0,1492.0,9452.0,1476.0,9320.0,24889.0,10.0,125.0,16.0,108.0,27.0,2.0,0.0,24.0,91.0,736.0,1401.0,8716.0,144.0,843.0,142.0,0.0,0.0,816.0,16.0,1.0,142.0,833.0,2.0,0.0,0.0,9.0,1.0,0.0,2.0,10.0,0.0,0.0,
Lake,134.0,134.0,0.0,411.0,545.0,418.0,270.0,1.0,8.0,0.0,132.0,0.0,3.0,0.0,16.0,127.0,576.0,5581.0,576.0,5581.0,0.0,0.0,52.0,462.0,17.0,0.0,0.0,247.0,4.0,2.0,17.0,253.0,1.0,-1.0,1.0,10.0,3.0,9.0,30.0,191.0,628.0,6043.0,627.0,6008.0,12681.0,1.0,32.0,1.0,27.0,11.0,0.0,0.0,8.0,40.0,464.0,588.0,5579.0,73.0,453.0,71.0,0.0,0.0,448.0,3.0,0.0,71.0,451.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,
Lassen,88.0,88.0,0.0,102.0,190.0,117.0,74.0,2.0,12.0,1.0,39.0,0.0,6.0,0.0,3.0,73.0,233.0,1144.0,233.0,1144.0,0.0,0.0,23.0,149.0,7.0,0.0,0.0,67.0,0.0,0.0,7.0,67.0,-5.0,5.0,0.0,5.0,8.0,19.0,13.0,53.0,256.0,1293.0,255.0,1291.0,3169.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0,136.0,225.0,1157.0,29.0,95.0,28.0,0.0,0.0,94.0,0.0,0.0,28.0,94.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
Los Angeles  a/,10723.0,16748.0,-6025.0,39515.0,50238.0,34780.0,24880.0,166.0,757.0,1321.0,6061.0,194.0,640.0,602.0,1916.0,15458.0,75577.0,470676.0,73932.0,463782.0,1645.0,6894.0,5090.0,36831.0,1685.0,30.0,1.0,22626.0,289.0,249.0,1716.0,23164.0,680.0,-680.0,201.0,40.0,1612.0,1221.0,881.0,13086.0,80667.0,507507.0,78473.0,497687.0,1154170.0,831.0,9669.0,2116.0,5981.0,4775.0,267.0,78.0,3839.0,5116.0,40901.0,75551.0,466606.0,4732.0,22467.0,4357.0,106.0,2.0,20591.0,267.0,145.0,4465.0,21003.0,259.0,7.0,1.0,1435.0,23.0,6.0,267.0,1464.0,290.0,1397.0,
Madera,2644.0,2644.0,0.0,814.0,3458.0,762.0,528.0,0.0,1.0,1.0,202.0,0.0,0.0,0.0,31.0,2696.0,1781.0,9468.0,1781.0,9468.0,0.0,0.0,79.0,818.0,35.0,0.0,0.0,484.0,8.0,1.0,35.0,493.0,-14.0,14.0,6.0,20.0,10.0,77.0,42.0,214.0,1860.0,10286.0,1847.0,10227.0,29896.0,0.0,70.0,12.0,52.0,8.0,4.0,1.0,7.0,69.0,687.0,1791.0,9599.0,200.0,1009.0,199.0,1.0,0.0,987.0,9.0,1.0,200.0,997.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,
Marin,124.0,125.0,-1.0,417.0,541.0,420.0,254.0,1.0,1.0,0.0,151.0,0.0,0.0,0.0,15.0,121.0,610.0,5511.0,610.0,5512.0,0.0,-1.0,16.0,424.0,3.0,1.0,0.0,235.0,9.0,6.0,4.0,250.0,-2.0,2.0,2.0,17.0,4.0,26.0,8.0,129.0,626.0,5935.0,582.0,5691.0,10431.0,9.0,273.0,39.0,191.0,61.0,15.0,5.0,53.0,33.0,499.0,593.0,5436.0,55.0,363.0,52.0,3.0,0.0,342.0,14.0,2.0,55.0,358.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,
Mariposa,19.0,22.0,-3.0,63.0,82.0,55.0,32.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,2.0,27.0,130.0,916.0,131.0,916.0,-1.0,0.0,5.0,67.0,3.0,0.0,0.0,29.0,0.0,0.0,3.0,29.0,-1.0,1.0,1.0,4.0,0.0,4.0,2.0,29.0,135.0,983.0,135.0,983.0,2086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,65.0,128.0,918.0,11.0,68.0,11.0,0.0,0.0,68.0,0.0,0.0,11.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mendocino,177.0,183.0,-6.0,438.0,615.0,430.0,324.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,6.0,185.0,710.0,6005.0,710.0,6005.0,0.0,0.0,19.0,489.0,24.0,0.0,0.0,292.0,6.0,2.0,24.0,300.0,-28.0,28.0,4.0,12.0,2.0,48.0,17.0,101.0,729.0,6494.0,726.0,6448.0,13482.0,3.0,40.0,2.0,35.0,14.0,1.0,1.0,11.0,59.0,534.0,670.0,5960.0,57.0,434.0,57.0,0.0,0.0,426.0,5.0,1.0,57.0,432.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Merced,406.0,425.0,-19.0,1473.0,1879.0,1340.0,765.0,0.0,0.0,1.0,491.0,0.0,0.0,0.0,83.0,539.0,4146.0,19454.0,4146.0,19456.0,0.0,-2.0,223.0,1462.0,54.0,1.0,0.0,705.0,5.0,0.0,55.0,710.0,20.0,-20.0,16.0,60.0,37.0,218.0,95.0,494.0,4369.0,20916.0,4347.0,20829.0,58163.0,3.0,102.0,22.0,76.0,7.0,6.0,0.0,11.0,221.0,1625.0,4148.0,19291.0,427.0,1846.0,422.0,2.0,0.0,1806.0,15.0,2.0,424.0,1823.0,3.0,0.0,0.0,23.0,0.0,0.0,3.0,23.0,0.0,0.0,
Modoc,16.0,16.0,0.0,42.0,58.0,46.0,33.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,12.0,70.0,346.0,70.0,346.0,0.0,0.0,2.0,50.0,4.0,0.0,0.0,29.0,0.0,0.0,4.0,29.0,-6.0,6.0,0.0,1.0,0.0,5.0,4.0,9.0,72.0,396.0,72.0,396.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,67.0,362.0,8.0,44.0,8.0,0.0,0.0,43.0,0.0,0.0,8.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Mono,28.0,28.0,0.0,71.0,99.0,78.0,46.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,5.0,21.0,15.0,386.0,15.0,386.0,0.0,0.0,4.0,57.0,1.0,0.0,0.0,44.0,0.0,1.0,1.0,45.0,2.0,-2.0,0.0,1.0,0.0,2.0,1.0,11.0,19.0,443.0,19.0,440.0,795.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,50.0,18.0,393.0,3.0,43.0,2.0,0.0,0.0,43.0,0.0,0.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Monterey,825.0,838.0,-13.0,3378.0,4203.0,2498.0,1596.0,0.0,2.0,3.0,840.0,0.0,0.0,0.0,59.0,1705.0,2403.0,17221.0,2403.0,17222.0,0.0,-1.0,169.0,2490.0,69.0,4.0,1.0,1484.0,36.0,2.0,74.0,1522.0,-4.0,4.0,3.0,36.0,4.0,107.0,92.0,821.0,2572.0,19711.0,2537.0,19448.0,48841.0,8.0,281.0,34.0,220.0,53.0,3.0,1.0,43.0,177.0,2009.0,2395.0,17702.0,329.0,2594.0,322.0,5.0,0.0,2509.0,45.0,2.0,327.0,2556.0,2.0,0.0,0.0,37.0,1.0,0.0,2.0,38.0,0.0,0.0,
Napa,192.0,193.0,-1.0,314.0,506.0,357.0,178.0,2.0,8.0,1.0,140.0,0.0,1.0,0.0,38.0,149.0,349.0,3025.0,349.0,3025.0,0.0,0.0,15.0,306.0,5.0,2.0,0.0,167.0,3.0,1.0,7.0,171.0,2.0,-2.0,0.0,7.0,0.0,10.0,6.0,120.0,364.0,3331.0,351.0,3262.0,7505.0,1.0,80.0,12.0,59.0,11.0,1.0,1.0,10.0,19.0,340.0,345.0,2991.0,39.0,298.0,36.0,3.0,0.0,283.0,7.0,1.0,39.0,291.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,
Nevada,123.0,124.0,-1.0,279.0,402.0,292.0,169.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,5.0,110.0,308.0,3763.0,308.0,3763.0,0.0,0.0,9.0,293.0,5.0,0.0,0.0,164.0,0.0,0.0,5.0,164.0,-6.0,6.0,2.0,5.0,0.0,17.0,8.0,101.0,317.0,4056.0,315.0,4042.0,7857.0,0.0,15.0,2.0,12.0,3.0,0.0,0.0,2.0,23.0,359.0,294.0,3697.0,30.0,242.0,29.0,0.0,0.0,237.0,0.0,0.0,29.0,237.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,
Orange,4046.0,4046.0,0.0,6875.0,10921.0,6694.0,4827.0,7.0,59.0,69.0,1586.0,11.0,121.0,16.0,196.0,4227.0,12481.0,105352.0,12481.0,105352.0,0.0,0.0,591.0,7045.0,267.0,9.0,0.0,4404.0,95.0,52.0,276.0,4551.0,6.0,-6.0,4.0,18.0,0.0,2.0,305.0,2480.0,13072.0,112397.0,12844.0,109030.0,261031.0,311.0,3096.0,221.0,2208.0,1602.0,6.0,7.0,1159.0,690.0,8798.0,12382.0,103599.0,832.0,5652.0,800.0,19.0,0.0,4643.0,129.0,47.0,819.0,4819.0,13.0,0.0,0.0,804.0,19.0,10.0,13.0,833.0,0.0,0.0,
Placer,410.0,410.0,0.0,544.0,954.0,577.0,297.0,1.0,15.0,0.0,243.0,0.0,17.0,0.0,37.0,377.0,757.0,7790.0,757.0,7790.0,0.0,0.0,71.0,716.0,20.0,0.0,0.0,274.0,2.0,1.0,20.0,277.0,-1.0,1.0,13.0,32.0,13.0,133.0,26.0,273.0,828.0,8506.0,815.0,8446.0,17734.0,0.0,67.0,13.0,35.0,18.0,15.0,0.0,25.0,103.0,793.0,725.0,7713.0,36.0,434.0,35.0,1.0,0.0,422.0,3.0,2.0,36.0,427.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,
