,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,PART C.  RECERTIFICATIONS,,,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
Contra Costa,1871.0,1887.0,-16.0,2812.0,4683.0,2616.0,1364.0,6.0,37.0,2.0,938.0,0.0,55.0,0.0,312.0,2067.0,4734.0,28474.0,4715.0,28244.0,19.0,230.0,160.0,2754.0,138.0,3.0,0.0,1196.0,18.0,9.0,141.0,1223.0,-145.0,145.0,12.0,75.0,8.0,41.0,144.0,1270.0,4894.0,31228.0,4802.0,30714.0,73003.0,40.0,563.0,92.0,372.0,183.0,0.0,0.0,142.0,277.0,3309.0,4617.0,27919.0,380.0,1332.0,362.0,13.0,0.0,1273.0,17.0,3.0,375.0,1293.0,5.0,0.0,0.0,37.0,2.0,0.0,5.0,39.0,0.0,0.0,
Del Norte,73.0,75.0,-2.0,184.0,257.0,190.0,99.0,0.0,1.0,0.0,85.0,0.0,1.0,0.0,6.0,67.0,398.0,1961.0,398.0,1961.0,0.0,0.0,14.0,186.0,8.0,0.0,0.0,90.0,1.0,0.0,8.0,91.0,-10.0,10.0,2.0,2.0,1.0,13.0,13.0,70.0,412.0,2147.0,412.0,2145.0,5256.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,174.0,385.0,1973.0,39.0,159.0,39.0,0.0,0.0,153.0,2.0,0.0,39.0,155.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
El Dorado,166.0,174.0,-8.0,653.0,819.0,623.0,350.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,38.0,196.0,546.0,6338.0,546.0,6335.0,0.0,3.0,36.0,576.0,17.0,0.0,1.0,332.0,0.0,0.0,18.0,332.0,-4.0,4.0,1.0,14.0,1.0,42.0,20.0,184.0,582.0,6914.0,580.0,6871.0,13373.0,4.0,33.0,1.0,31.0,13.0,1.0,1.0,12.0,41.0,695.0,541.0,6219.0,55.0,481.0,55.0,0.0,0.0,476.0,1.0,0.0,55.0,477.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
Fresno,1891.0,2037.0,-146.0,4744.0,6635.0,4425.0,3230.0,39.0,107.0,1.0,1087.0,1.0,218.0,0.0,107.0,2210.0,13924.0,80995.0,13423.0,77936.0,501.0,3059.0,129.0,3203.0,255.0,3.0,3.0,2923.0,23.0,23.0,261.0,2969.0,-151.0,151.0,16.0,39.0,0.0,6.0,3.0,38.0,14053.0,84198.0,13873.0,83397.0,227561.0,73.0,844.0,169.0,612.0,226.0,15.0,11.0,189.0,684.0,6119.0,13369.0,78079.0,1173.0,5912.0,1059.0,10.0,3.0,4715.0,43.0,9.0,1072.0,4767.0,101.0,0.0,0.0,1132.0,10.0,3.0,101.0,1145.0,22.0,23.0,
Glenn,23.0,23.0,0.0,121.0,144.0,113.0,59.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,7.0,31.0,226.0,1213.0,226.0,1213.0,0.0,0.0,-4.0,111.0,5.0,0.0,0.0,52.0,2.0,0.0,5.0,54.0,-14.0,14.0,3.0,8.0,0.0,10.0,2.0,25.0,222.0,1324.0,222.0,1311.0,3538.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,12.0,77.0,210.0,1247.0,31.0,91.0,31.0,0.0,0.0,88.0,2.0,0.0,31.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Humboldt,236.0,260.0,-24.0,1207.0,1443.0,1069.0,510.0,0.0,1.0,0.0,511.0,0.0,1.0,0.0,48.0,374.0,1003.0,10320.0,1003.0,10320.0,0.0,0.0,22.0,974.0,21.0,0.0,0.0,489.0,0.0,0.0,21.0,489.0,-25.0,25.0,1.0,17.0,6.0,68.0,19.0,375.0,1025.0,11294.0,1023.0,11267.0,21370.0,4.0,24.0,2.0,19.0,10.0,1.0,0.0,8.0,51.0,1103.0,974.0,10191.0,117.0,748.0,116.0,0.0,0.0,735.0,1.0,0.0,116.0,736.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,0.0,0.0,
Imperial,506.0,511.0,-5.0,1299.0,1805.0,1252.0,705.0,1.0,20.0,1.0,478.0,0.0,13.0,0.0,68.0,553.0,2355.0,14262.0,2355.0,14262.0,0.0,0.0,88.0,1017.0,41.0,0.0,0.0,643.0,14.0,7.0,41.0,664.0,-19.0,19.0,3.0,18.0,11.0,81.0,52.0,235.0,2443.0,15279.0,2414.0,14837.0,43747.0,29.0,430.0,28.0,389.0,56.0,7.0,1.0,53.0,76.0,943.0,2367.0,14336.0,279.0,1353.0,272.0,4.0,0.0,1291.0,49.0,4.0,276.0,1344.0,2.0,1.0,0.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,
Inyo,20.0,22.0,-2.0,89.0,109.0,91.0,64.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,18.0,96.0,882.0,96.0,881.0,0.0,1.0,6.0,81.0,4.0,0.0,0.0,59.0,0.0,1.0,4.0,60.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,14.0,102.0,963.0,102.0,955.0,2064.0,0.0,8.0,0.0,6.0,2.0,0.0,0.0,2.0,5.0,68.0,97.0,895.0,12.0,86.0,12.0,0.0,0.0,85.0,0.0,1.0,12.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kern,2494.0,2515.0,-21.0,5624.0,8118.0,5518.0,3293.0,0.0,14.0,2.0,2011.0,0.0,12.0,0.0,212.0,2600.0,10693.0,53814.0,10694.0,53816.0,-1.0,-2.0,466.0,4608.0,277.0,2.0,1.0,2958.0,42.0,13.0,280.0,3013.0,-21.0,21.0,21.0,67.0,38.0,279.0,148.0,1228.0,11159.0,58422.0,11096.0,57442.0,162660.0,60.0,821.0,60.0,733.0,307.0,21.0,3.0,247.0,465.0,4447.0,10694.0,53975.0,1097.0,4833.0,1081.0,6.0,2.0,4674.0,50.0,13.0,1089.0,4737.0,8.0,0.0,0.0,93.0,3.0,0.0,8.0,96.0,0.0,0.0,
Kings,2399.0,2402.0,-3.0,826.0,3225.0,784.0,436.0,0.0,1.0,0.0,315.0,0.0,1.0,0.0,33.0,2441.0,1487.0,8757.0,1487.0,8758.0,0.0,-1.0,47.0,695.0,30.0,2.0,0.0,399.0,5.0,0.0,32.0,404.0,-21.0,21.0,2.0,13.0,4.0,46.0,30.0,211.0,1534.0,9452.0,1512.0,9337.0,25087.0,7.0,107.0,22.0,92.0,26.0,3.0,0.0,23.0,81.0,818.0,1453.0,8634.0,167.0,745.0,163.0,3.0,0.0,722.0,13.0,0.0,166.0,735.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,
Lake,126.0,130.0,-4.0,435.0,561.0,413.0,260.0,2.0,0.0,0.0,139.0,0.0,1.0,0.0,14.0,148.0,589.0,5345.0,589.0,5345.0,0.0,0.0,50.0,435.0,22.0,0.0,0.0,237.0,0.0,1.0,22.0,238.0,-4.0,4.0,8.0,8.0,1.0,17.0,23.0,168.0,639.0,5780.0,638.0,5752.0,12377.0,0.0,23.0,1.0,19.0,12.0,0.0,0.0,9.0,57.0,457.0,582.0,5323.0,68.0,432.0,67.0,0.0,0.0,421.0,4.0,1.0,67.0,426.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,
Lassen,100.0,102.0,-2.0,130.0,230.0,134.0,83.0,1.0,18.0,0.0,49.0,0.0,7.0,0.0,2.0,96.0,256.0,1132.0,256.0,1132.0,0.0,0.0,30.0,157.0,5.0,0.0,0.0,78.0,0.0,0.0,5.0,78.0,1.0,-1.0,1.0,3.0,5.0,23.0,18.0,54.0,286.0,1289.0,285.0,1286.0,3252.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,26.0,154.0,260.0,1135.0,32.0,109.0,32.0,0.0,0.0,109.0,0.0,0.0,32.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Los Angeles,9399.0,17402.0,-8003.0,51963.0,61362.0,42668.0,30630.0,148.0,1177.0,1481.0,7583.0,141.0,833.0,722.0,2252.0,18694.0,74743.0,469324.0,73015.0,466300.0,1728.0,3024.0,4471.0,43115.0,1875.0,52.0,2.0,28151.0,295.0,255.0,1929.0,28701.0,79.0,188.0,285.0,48.0,1399.0,1248.0,779.0,12930.0,79214.0,512439.0,77028.0,502568.0,1167766.0,871.0,9621.0,2122.0,6069.0,4729.0,271.0,64.0,3802.0,4583.0,41114.0,74631.0,471325.0,5403.0,25361.0,4919.0,150.0,2.0,23145.0,333.0,162.0,5071.0,23640.0,320.0,10.0,2.0,1674.0,34.0,13.0,332.0,1721.0,308.0,1747.0,
Madera,2688.0,2693.0,-5.0,717.0,3405.0,752.0,466.0,0.0,2.0,0.0,266.0,0.0,2.0,0.0,20.0,2653.0,1903.0,9415.0,1903.0,9415.0,0.0,0.0,66.0,753.0,32.0,0.0,0.0,428.0,5.0,1.0,32.0,434.0,-14.0,14.0,6.0,15.0,14.0,81.0,28.0,209.0,1969.0,10168.0,1956.0,10102.0,29573.0,0.0,80.0,12.0,59.0,9.0,4.0,1.0,7.0,102.0,689.0,1867.0,9479.0,207.0,871.0,205.0,0.0,0.0,860.0,3.0,0.0,205.0,863.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,8.0,0.0,0.0,
Marin,216.0,217.0,-1.0,475.0,691.0,531.0,290.0,1.0,3.0,1.0,219.0,0.0,2.0,0.0,21.0,160.0,612.0,5510.0,612.0,5510.0,0.0,0.0,39.0,448.0,10.0,2.0,1.0,263.0,10.0,4.0,13.0,277.0,6.0,-6.0,2.0,14.0,4.0,30.0,14.0,133.0,651.0,5958.0,606.0,5709.0,10492.0,6.0,284.0,40.0,191.0,69.0,11.0,5.0,58.0,24.0,514.0,627.0,5444.0,71.0,393.0,65.0,5.0,0.0,367.0,18.0,5.0,70.0,390.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,
Mariposa,17.0,19.0,-2.0,64.0,81.0,56.0,34.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,5.0,25.0,137.0,927.0,137.0,927.0,0.0,0.0,19.0,55.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,33.0,6.0,-6.0,3.0,6.0,1.0,4.0,8.0,18.0,156.0,982.0,156.0,980.0,2173.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,94.0,144.0,888.0,16.0,49.0,16.0,0.0,0.0,48.0,0.0,0.0,16.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Mendocino,241.0,244.0,-3.0,567.0,808.0,567.0,390.0,1.0,2.0,2.0,165.0,0.0,0.0,0.0,10.0,241.0,741.0,5976.0,742.0,5971.0,-1.0,5.0,36.0,555.0,26.0,0.0,0.0,363.0,1.0,0.0,26.0,364.0,-6.0,6.0,3.0,10.0,1.0,26.0,12.0,149.0,777.0,6531.0,773.0,6484.0,13545.0,4.0,38.0,3.0,33.0,18.0,1.0,1.0,14.0,45.0,580.0,732.0,5951.0,53.0,498.0,52.0,0.0,0.0,493.0,3.0,0.0,52.0,496.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,
Merced,508.0,544.0,-36.0,1537.0,2045.0,1529.0,878.0,0.0,6.0,3.0,549.0,0.0,1.0,0.0,99.0,516.0,4362.0,19745.0,4361.0,19725.0,1.0,20.0,91.0,1537.0,58.0,2.0,0.0,816.0,0.0,2.0,60.0,818.0,-74.0,74.0,9.0,24.0,16.0,155.0,80.0,466.0,4453.0,21282.0,4430.0,21200.0,59210.0,2.0,96.0,22.0,69.0,11.0,5.0,1.0,13.0,234.0,1619.0,4219.0,19663.0,494.0,1726.0,487.0,2.0,0.0,1693.0,5.0,0.0,489.0,1698.0,5.0,0.0,0.0,27.0,1.0,0.0,5.0,28.0,0.0,0.0,
Modoc,20.0,20.0,0.0,44.0,64.0,46.0,28.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,18.0,62.0,342.0,62.0,342.0,0.0,0.0,18.0,33.0,5.0,0.0,0.0,23.0,0.0,0.0,5.0,23.0,7.0,-7.0,0.0,1.0,2.0,4.0,4.0,12.0,80.0,375.0,80.0,375.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,42.0,75.0,333.0,12.0,29.0,11.0,0.0,0.0,28.0,0.0,0.0,11.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
Mono,20.0,20.0,0.0,31.0,51.0,40.0,21.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,11.0,11.0,457.0,11.0,457.0,0.0,0.0,2.0,35.0,2.0,0.0,0.0,19.0,0.0,0.0,2.0,19.0,-2.0,2.0,0.0,0.0,0.0,3.0,2.0,11.0,13.0,492.0,13.0,490.0,836.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,13.0,437.0,4.0,27.0,4.0,0.0,0.0,27.0,0.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Monterey,590.0,611.0,-21.0,1755.0,2345.0,1729.0,891.0,0.0,0.0,3.0,780.0,0.0,0.0,0.0,55.0,616.0,2643.0,18471.0,2643.0,18471.0,0.0,0.0,54.0,1580.0,46.0,2.0,0.0,833.0,8.0,2.0,48.0,843.0,-55.0,55.0,6.0,25.0,8.0,131.0,47.0,526.0,2697.0,20051.0,2670.0,19798.0,49898.0,10.0,264.0,27.0,210.0,49.0,7.0,0.0,43.0,128.0,1945.0,2569.0,18106.0,296.0,1501.0,291.0,3.0,0.0,1437.0,18.0,2.0,294.0,1457.0,2.0,0.0,0.0,43.0,1.0,0.0,2.0,44.0,0.0,0.0,
Napa,175.0,176.0,-1.0,386.0,561.0,353.0,155.0,1.0,1.0,0.0,161.0,0.0,4.0,0.0,37.0,208.0,349.0,3039.0,349.0,3039.0,0.0,0.0,15.0,276.0,8.0,0.0,0.0,141.0,4.0,2.0,8.0,147.0,3.0,-3.0,0.0,9.0,0.0,21.0,4.0,102.0,364.0,3315.0,351.0,3243.0,7430.0,3.0,79.0,12.0,60.0,14.0,1.0,1.0,12.0,14.0,270.0,350.0,3045.0,46.0,277.0,45.0,1.0,0.0,267.0,7.0,0.0,46.0,274.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,
Nevada,196.0,200.0,-4.0,352.0,548.0,362.0,205.0,0.0,2.0,0.0,146.0,0.0,0.0,0.0,11.0,186.0,331.0,3647.0,331.0,3648.0,0.0,-1.0,13.0,363.0,4.0,0.0,0.0,201.0,0.0,0.0,4.0,201.0,2.0,-2.0,1.0,7.0,1.0,13.0,5.0,144.0,344.0,4010.0,343.0,3996.0,7855.0,1.0,13.0,1.0,12.0,3.0,0.0,0.0,2.0,13.0,301.0,331.0,3709.0,42.0,327.0,42.0,0.0,0.0,317.0,0.0,0.0,42.0,317.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,
Orange,3017.0,3017.0,0.0,8215.0,11232.0,7759.0,5744.0,16.0,82.0,121.0,1638.0,15.0,144.0,46.0,210.0,3473.0,12340.0,104174.0,12340.0,104174.0,0.0,0.0,644.0,8320.0,360.0,8.0,0.0,5216.0,101.0,59.0,368.0,5376.0,-1.0,1.0,8.0,18.0,3.0,7.0,266.0,2918.0,12984.0,112494.0,12767.0,109025.0,260699.0,326.0,3110.0,211.0,2235.0,1711.0,8.0,6.0,1234.0,632.0,8514.0,12352.0,103980.0,916.0,6566.0,895.0,11.0,0.0,5533.0,134.0,32.0,906.0,5699.0,10.0,0.0,0.0,842.0,14.0,11.0,10.0,867.0,0.0,0.0,
Placer,315.0,315.0,0.0,694.0,1009.0,624.0,304.0,0.0,11.0,0.0,245.0,0.0,9.0,0.0,75.0,385.0,825.0,7657.0,825.0,7657.0,0.0,0.0,81.0,764.0,24.0,0.0,0.0,279.0,0.0,1.0,24.0,280.0,-5.0,5.0,5.0,32.0,19.0,140.0,38.0,307.0,906.0,8421.0,896.0,8356.0,17879.0,0.0,73.0,10.0,43.0,16.0,10.0,0.0,22.0,99.0,756.0,807.0,7665.0,40.0,559.0,39.0,0.0,0.0,539.0,2.0,0.0,39.0,541.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,18.0,0.0,0.0,
Plumas,35.0,35.0,0.0,161.0,196.0,130.0,71.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,5.0,66.0,93.0,868.0,93.0,868.0,0.0,0.0,8.0,115.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,71.0,6.0,-6.0,0.0,1.0,0.0,15.0,2.0,34.0,101.0,983.0,101.0,981.0,2012.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,126.0,96.0,857.0,16.0,113.0,15.0,0.0,0.0,83.0,0.0,0.0,15.0,83.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,
Riverside,3259.0,3296.0,-37.0,11842.0,15101.0,11525.0,6378.0,0.0,12.0,8.0,4782.0,0.0,8.0,0.0,357.0,3576.0,17044.0,105573.0,17017.0,105449.0,27.0,124.0,849.0,9770.0,436.0,4.0,1.0,5873.0,47.0,17.0,441.0,5937.0,-72.0,72.0,32.0,141.0,70.0,792.0,378.0,2828.0,17893.0,115343.0,17769.0,114155.0,300110.0,108.0,1097.0,117.0,946.0,286.0,26.0,7.0,242.0,976.0,9054.0,16917.0,106289.0,1956.0,9976.0,1917.0,13.0,0.0,9749.0,77.0,22.0,1930.0,9848.0,26.0,0.0,0.0,127.0,0.0,1.0,26.0,128.0,0.0,0.0,
