county,consortium,month,year,federal_fiscal_year,state_fiscal_year,qtr_medical_rcv_calfresh_pct,qtr_calfresh_persons_rcv_medical,qtr_calfresh_persons_rcv_medical_pct,quarter,fulldate,ann_calfresh_hh_sfy_avg,ann_calfresh_hh_cy_avg,ann_calfresh_persons_sfy_avg,ann_calfresh_persons_cy_avg,ann_elderly,ann_children,ann_child_only_hh,ann_esl,ann_wic_calfresh_reachable,ann_calfresh_in_wic,ann_tot_pop,ann_elderly_over60,ann_children_under18,ann_tot_esl_over5,ann_tot_ssi_recipients,unemployment_pct,ann_calfresh_eligibles,mth_calfresh_hh,mth_calfresh_persons,mth_medical_enrollment,mth_timeliness_30d_pct,mth_timeliness_exp_pct,mth_negative_error_completed_cases,mth_negative_error_pct,mth_active_error_rate_pct,pri_est_frequency,calfresh_persons_cy_avg,calfresh_eligibles,five_yr_est_range,pri_us_census_est_pct,qtr_timeliness_exp_pct,qtr_30d_churn_reapps_pct,qtr_90d_churn_reapps_pct,qtr_30d_churn_recerts_pct,qtr_90d_churn_recerts_pct
Santa Barbara,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,13668.0,31120.0,\N,0.6332,\N,\N,\N,0.0536,,,,,,,,,,
Santa Clara,CalWIN,JAN,2012,2012.0,2012.0,0.307625713759,83505.0,0.79537661447,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,46452.0,100983.0,\N,0.7492,\N,\N,\N,0.0,,,,,,,,,,
Santa Cruz,CalWIN,JAN,2012,2012.0,2012.0,0.37220021928400004,16634.0,0.750970654628,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,10100.0,20577.0,\N,0.6253,\N,\N,\N,0.0536,,,,,,,,,,
Shasta,C-IV,JAN,2012,2012.0,2012.0,0.43372914663199996,20747.0,0.850705264884,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,11989.0,24418.0,\N,0.9875,\N,\N,\N,0.0536,,,,,,,,,,
Sierra,C-IV,JAN,2012,2012.0,2012.0,0.35881435257399996,230.0,0.88122605364,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,124.0,262.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Siskiyou,C-IV,JAN,2012,2012.0,2012.0,0.433704453441,5142.0,0.8598662207359999,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,2617.0,5978.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Solano,CalWIN,JAN,2012,2012.0,2012.0,0.433938397318,34305.0,0.8447218733840001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,19138.0,39019.0,\N,0.9227,\N,\N,\N,0.0165,,,,,,,,,,
Sonoma,CalWIN,JAN,2012,2012.0,2012.0,0.373119385586,27206.0,0.812993067177,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,16652.0,31838.0,\N,0.8625,\N,\N,\N,0.0536,,,,,,,,,,
Stanislaus,C-IV,JAN,2012,2012.0,2012.0,0.45861208117700003,65399.0,0.76321348131,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,38000.0,85530.0,\N,1.0,\N,\N,\N,0.0386,,,,,,,,,,
Sutter,C-IV,JAN,2012,2012.0,2012.0,0.38980238346699997,10336.0,0.888354103997,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,4773.0,11667.0,\N,0.9256,\N,\N,\N,0.0536,,,,,,,,,,
Tehama,C-IV,JAN,2012,2012.0,2012.0,0.429802071582,8382.0,0.881758889123,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,3993.0,9410.0,\N,0.8938,\N,\N,\N,0.0536,,,,,,,,,,
Trinity,C-IV,JAN,2012,2012.0,2012.0,0.395644283122,1308.0,0.839537869063,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,729.0,1531.0,\N,0.9643,\N,\N,\N,0.0536,,,,,,,,,,
Tulare,CalWIN,JAN,2012,2012.0,2012.0,0.525815078236,92412.0,0.8289186886130001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,42324.0,108269.0,\N,1.0,\N,\N,\N,0.0219,,,,,,,,,,
Tuolumne,C-IV,JAN,2012,2012.0,2012.0,0.450482973949,4617.0,0.873935264055,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,2735.0,5211.0,\N,0.9898,\N,\N,\N,0.0536,,,,,,,,,,
Ventura,CalWIN,JAN,2012,2012.0,2012.0,0.365229120668,48467.0,0.729123102613,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,30437.0,63349.0,\N,0.9797,\N,\N,\N,0.0123,,,,,,,,,,
Yolo,CalWIN,JAN,2012,2012.0,2012.0,0.395265511117,12907.0,0.7566094143850001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,7457.0,16466.0,\N,0.8884,\N,\N,\N,0.0536,,,,,,,,,,
Yuba,C-IV,JAN,2012,2012.0,2012.0,0.48628715276199996,11011.0,0.84537428023,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,5649.0,12840.0,\N,0.9855,\N,\N,\N,0.0536,,,,,,,,,,
California,n/a,APR,2012,2012.0,2012.0,0.397058402029,3172366.0,0.774782044422,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,n/a,APR,2012,2012.0,2011/12,,,,2.0,2012-04-01,,,,,,,,,,,,,,,,,,1792764.0,3996483.0,\N,0.9755,\N,\N,\N,0.0416,,,,,,,,,,
Alameda,CalWIN,APR,2012,2012.0,2012.0,0.35964079972900004,95517.0,0.7586795764859999,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,CalWIN,APR,2012,2012.0,2011/12,,,,2.0,2012-04-01,,,,,,,,,,,,,,,,,,60757.0,123210.0,\N,0.9154,\N,\N,\N,0.0107,,,,,,,,,,
Alpine,C-IV,APR,2012,2012.0,2012.0,0.472027972028,135.0,0.865384615385,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,C-IV,APR,2012,2012.0,2011/12,,,,2.0,2012-04-01,,,,,,,,,,,,,,,,,,86.0,145.0,\N,1.0,\N,\N,\N,0.0461,,,,,,,,,,
Amador,C-IV,APR,2012,2012.0,2012.0,0.488555078684,2732.0,0.832419256551,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,C-IV,APR,2012,2012.0,2011/12,,,,2.0,2012-04-01,,,,,,,,,,,,,,,,,,1666.0,3214.0,\N,0.8963,\N,\N,\N,0.0461,,,,,,,,,,
Butte,C-IV,APR,2012,2012.0,2012.0,0.431349708787,25551.0,0.870651173885,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,C-IV,APR,2012,2012.0,2011/12,,,,2.0,2012-04-01,,,,,,,,,,,,,,,,,,13710.0,28623.0,\N,0.8696,\N,\N,\N,0.0461,,,,,,,,,,
Calaveras,C-IV,APR,2012,2012.0,2012.0,0.498773307164,4066.0,0.802764067127,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,C-IV,APR,2012,2012.0,2011/12,,,,2.0,2012-04-01,,,,,,,,,,,,,,,,,,2489.0,5000.0,\N,0.9648,\N,\N,\N,0.0461,,,,,,,,,,
Colusa,C-IV,APR,2012,2012.0,2012.0,0.305025032449,1645.0,0.900876232202,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,C-IV,APR,2012,2012.0,2011/12,,,,2.0,2012-04-01,,,,,,,,,,,,,,,,,,717.0,1810.0,\N,0.9811,\N,\N,\N,0.0461,,,,,,,,,,
Contra Costa,CalWIN,APR,2012,2012.0,2012.0,0.35190469444600003,52166.0,0.7482214572579999,2.0,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
