county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate,issuances_mail,issuances_ebt,issuances_ebt_conv_coupon
Humboldt,1234,16,1,2712,8,4,3946,24,5,3260,5392,8652,52,18,32,8,84,26,0,5,5,134,3782,508,4424,798320,7751,2399,461,806071,2860,808931,2003,APR,3975,2,4/1/03,,,
Imperial,1482,345,2,2992,490,91,4474,835,93,4553,8956,13509,885,368,1259,562,2144,930,2,106,108,295,0,5560,5855,1003697,172801,34897,12260,1176498,47157,1223655,2003,APR,5402,2,4/1/03,,,
Inyo,57,0,0,326,0,0,383,0,0,154,785,939,0,0,0,0,0,0,0,0,0,406,0,0,406,64879,0,0,0,64879,0,64879,2003,APR,383,2,4/1/03,,,
Kern,6919,207,2,11869,652,72,18788,859,74,21150,33839,54989,598,236,1743,751,2341,987,2,46,48,5902,18225,0,24127,5226104,233953,38296,13151,5460057,51447,5511504,2003,APR,19721,2,4/1/03,,,
Kings,1307,39,0,2858,76,22,4165,115,22,3948,7383,11331,119,45,219,84,338,129,0,22,22,75,4536,0,4611,901814,27217,5097,2723,929031,7820,936851,2003,APR,4302,2,4/1/03,,,
Lake,896,4,1,1239,6,2,2135,10,3,2441,2580,5021,11,4,22,7,33,11,6,5,11,537,0,2068,2605,484229,2158,664,300,486387,964,487351,2003,APR,2148,2,4/1/03,,,
Lassen,280,2,0,387,6,1,667,8,1,809,882,1691,4,3,13,6,17,9,0,1,1,292,0,438,730,142464,1016,767,139,143480,906,144386,2003,APR,676,2,4/1/03,,,
Los Angeles,101996,2951,554,155089,4760,3559,257085,7711,4113,249902,353758,603660,6640,3415,13575,5918,20215,9333,1680,4928,6608,0,289782,0,289782,55395166,2081000,645468,779946,57476166,1425414,58901580,2003,APR,268909,2,4/1/03,,,
Madera,1502,7,1,3438,17,4,4940,24,5,4734,8697,13431,23,7,65,17,88,24,0,4,4,81,5238,0,5319,1095804,655,205,0,1096459,205,1096664,2003,APR,4969,2,4/1/03,,,
Marin,412,41,0,1126,49,35,1538,90,35,949,1775,2724,77,41,58,51,135,92,0,36,36,1887,0,0,1887,263816,13691,4283,4161,277507,8444,285951,2003,APR,1663,2,4/1/03,,,
Mariposa,99,0,0,218,0,0,317,0,0,282,482,764,0,0,0,0,0,0,0,0,0,10,0,328,338,65555,0,0,0,65555,0,65555,2003,APR,317,2,4/1/03,,,
Mendocino,802,7,0,1892,15,6,2694,22,6,2225,3817,6042,18,8,36,15,54,23,0,7,7,1043,0,1857,2900,497366,3919,1762,703,501285,2465,503750,2003,APR,2722,2,4/1/03,,,
Merced,3491,130,0,4525,190,12,8016,320,12,9850,15553,25403,413,146,779,241,1192,387,0,13,13,5,8343,0,8348,2039339,67670,51623,1848,2107009,53471,2160480,2003,APR,8348,2,4/1/03,,,
Modoc,109,0,0,191,1,0,300,1,0,317,441,758,0,0,5,1,5,1,0,0,0,301,0,0,301,58071,315,0,0,58386,0,58386,2003,APR,301,2,4/1/03,,,
Mono,20,0,0,96,1,0,116,1,0,58,185,243,0,0,3,1,3,1,0,0,0,113,0,10,123,21247,183,49,0,21430,49,21479,2003,APR,117,2,4/1/03,,,
Monterey,2263,158,1,4074,267,19,6337,425,20,6382,10470,16852,425,167,754,287,1179,454,1,20,21,6877,0,480,7357,1320207,139951,26226,4901,1460158,31127,1491285,2003,APR,6782,2,4/1/03,,,
Napa,173,1,0,573,10,11,746,11,11,447,1258,1705,4,1,29,10,33,11,0,19,19,0,0,994,994,169464,3649,860,2239,173113,3099,176212,2003,APR,768,2,4/1/03,,,
Nevada,271,0,0,543,0,0,814,0,0,674,1082,1756,0,0,0,0,0,0,0,0,0,781,0,108,889,149718,0,0,0,149718,0,149718,2003,APR,814,2,4/1/03,,,
Orange,12230,377,29,14357,728,246,26587,1105,275,31135,37042,68177,754,442,1726,898,2480,1340,78,363,441,0,0,29008,29008,5369093,272777,77411,55429,5641870,132840,5774710,2003,APR,27967,2,4/1/03,,,
Placer,818,13,0,1013,6,1,1831,19,1,2094,2217,4311,28,21,25,17,53,38,0,1,1,1029,0,1063,2092,384125,4448,2623,142,388573,2765,391338,2003,APR,1851,2,4/1/03,,,
Plumas,94,0,0,136,0,0,230,0,0,225,296,521,0,0,0,0,0,0,0,0,0,249,5,0,254,42354,0,0,0,42354,0,42354,2003,APR,230,2,4/1/03,,,
Riverside,13564,448,49,6651,585,264,20215,1033,313,37456,14519,51975,1286,463,1660,665,2946,1128,56,187,243,1842,21727,0,23569,4814238,260728,47770,57702,5074966,105472,5180438,2003,APR,21561,2,4/1/03,,,
Sacramento,17932,855,172,16047,591,382,33979,1446,554,56058,41413,97471,2713,1401,2217,1147,4930,2548,603,712,1315,4912,32384,0,37296,7971719,333247,116444,90181,8304966,206625,8511591,2003,APR,35979,2,4/1/03,,,
San Benito,292,5,0,552,21,8,844,26,8,876,1287,2163,12,5,52,25,64,30,0,8,8,969,0,0,969,181606,5797,1646,779,187403,2425,189828,2003,APR,878,2,4/1/03,,,
San Bernardino,24110,240,20,19017,417,224,43127,657,244,71001,49986,120987,633,259,1294,497,1927,756,60,319,379,0,0,49965,49965,10482132,178325,34661,68010,10660457,102671,10763128,2003,APR,44028,2,4/1/03,,,
San Diego,15212,665,34,11623,568,295,26835,1233,329,42015,31193,73208,1487,746,1433,690,2920,1436,92,433,525,30787,0,406,31193,5826834,269417,70093,56703,6096251,126796,6223047,2003,APR,28397,2,4/1/03,,,
San Francisco,4700,254,44,12056,255,612,16756,509,656,12145,14889,27034,480,313,307,339,787,652,116,810,926,0,17733,0,17733,2421296,82429,32831,82390,2503725,115221,2618946,2003,APR,17921,2,4/1/03,,,
San Joaquin,6669,191,4,7814,348,34,14483,539,38,20060,21433,41493,643,220,1168,422,1811,642,5,42,47,112,16144,0,16256,3458967,152775,34387,5728,3611742,40115,3651857,2003,APR,15060,2,4/1/03,,,
San Luis Obispo,1106,8,0,1427,23,9,2533,31,9,2739,3202,5941,13,12,43,32,56,44,0,12,12,3020,0,0,3020,509603,7280,2080,1040,516883,3120,520003,2003,APR,2573,2,4/1/03,,,
San Mateo,1228,39,2,1519,64,38,2747,103,40,2942,3056,5998,83,47,124,67,207,114,5,60,65,0,0,0,0,596090,20652,7737,7506,616742,15243,631985,2003,APR,2890,2,4/1/03,,,
Santa Barbara,3287,168,8,2863,195,44,6150,363,52,6890,6968,13858,348,173,534,264,882,437,21,54,75,7222,0,0,7222,1162881,97282,23935,7958,1260163,31893,1292056,2003,APR,6565,2,4/1/03,,,
Santa Clara,9063,101,11,9215,213,228,18278,314,239,24311,20655,44966,189,112,440,277,629,389,31,395,426,19179,0,0,19179,3837764,60941,27899,49575,3898705,77474,3976179,2003,APR,18831,2,4/1/03,,,
Santa Cruz,1392,56,2,2474,63,12,3866,119,14,3192,5222,8414,104,60,87,75,191,135,2,14,16,0,0,0,0,745776,27446,8246,1945,773222,10191,783413,2003,APR,3999,2,4/1/03,,,
Shasta,1690,37,0,2583,47,6,4273,84,6,4622,5635,10257,128,46,141,57,269,103,0,7,7,4995,0,331,5326,912179,24864,4261,734,937043,4995,942038,2003,APR,4363,2,4/1/03,,,
Sierra,18,0,0,35,0,0,53,0,0,59,61,120,0,0,0,0,0,0,0,0,0,53,0,0,53,9096,0,0,0,9096,0,9096,2003,APR,53,2,4/1/03,,,
Siskiyou,472,8,0,900,8,2,1372,16,2,1359,1967,3326,23,10,19,10,42,20,0,2,2,1225,0,249,1474,276406,3904,959,201,280310,1160,281470,2003,APR,1390,2,4/1/03,,,
Solano,3053,61,2,1834,25,25,4887,86,27,8660,3472,12132,110,70,49,33,159,103,6,31,37,0,0,5655,5655,1019118,20488,3111,3972,1039606,7083,1046689,2003,APR,5000,2,4/1/03,,,
Sonoma,1698,5,0,2715,15,11,4413,20,11,3995,5340,9335,16,5,39,23,55,28,0,14,14,5111,0,701,5812,800286,6770,1647,1586,807056,3233,810289,2003,APR,4444,2,4/1/03,,,
Stanislaus,5542,90,4,5339,178,50,10881,268,54,16286,15750,32036,223,106,547,241,770,347,11,88,99,11919,0,0,11919,2594162,64310,15991,9677,2658472,25668,2684140,2003,APR,11203,2,4/1/03,,,
Sutter,533,8,0,1078,23,3,1611,31,3,1565,2849,4414,27,8,83,26,110,34,0,4,4,1379,0,403,1782,369236,9273,1949,374,378509,2323,380832,2003,APR,1645,2,4/1/03,,,
Tehama,693,29,4,1249,41,12,1942,70,16,1694,2695,4389,80,33,127,47,207,80,7,12,19,2024,0,0,2024,363556,14865,5781,1944,378421,7725,386146,2003,APR,2028,2,4/1/03,,,
Trinity,126,0,0,203,0,1,329,0,1,379,438,817,0,0,0,0,0,0,0,1,1,249,0,81,330,75903,0,0,139,75903,139,76042,2003,APR,330,2,4/1/03,,,
Tulare,9595,598,6,5909,601,102,15504,1199,108,29371,14659,44030,1577,1174,1276,1165,2853,2339,14,534,548,1,17215,0,17216,3571907,292144,66417,19037,3864051,85454,3949505,2003,APR,16811,2,4/1/03,,,
Tuolumne,398,0,0,485,0,0,883,0,0,1094,1065,2159,0,0,0,0,0,0,0,0,0,3,940,0,943,169903,0,0,0,169903,0,169903,2003,APR,883,2,4/1/03,,,
Ventura,3685,56,14,4899,131,56,8584,187,70,10085,11907,21992,193,61,403,169,596,230,38,74,112,9541,0,0,9541,1736567,52521,11100,11655,1789088,22755,1811843,2003,APR,8841,2,4/1/03,,,
Yolo,1794,66,11,1215,30,24,3009,96,35,5254,2473,7727,164,119,67,37,231,156,27,54,81,0,0,3140,3140,648909,19356,12342,7076,668265,19418,687683,2003,APR,3140,2,4/1/03,,,
Yuba,1210,46,1,1208,34,10,2418,80,11,3942,3000,6942,268,54,167,44,435,98,2,10,12,2188,0,588,2776,557965,29009,6170,4566,586974,10736,597710,2003,APR,2509,2,4/1/03,,,
California,302429,27672,1279,303160,30192,14912,605589,57864,16191,844247,695107,1539354,71600,33147,87008,38911,158608,72058,3712,19470,23182,,562092,75214,734292,122747830,12577796,3434215,2511674,135325626,5945889,141271515,2002,AUG,679644,3,8/1/02,96986,,
Alameda,13442,265,0,6762,86,234,20204,351,234,34412,17311,51723,669,301,231,99,900,400,0,306,306,,20789,0,20794,3810987,45835,20372,44139,3856822,64511,3921333,2002,AUG,20789,3,8/1/02,5,,
Alpine,16,0,0,16,0,0,32,0,0,47,38,85,0,0,0,0,0,0,0,0,0,,0,0,32,6694,0,0,0,6694,0,6694,2002,AUG,32,3,8/1/02,32,,
Amador,120,1,0,242,0,1,362,1,1,310,529,839,3,1,0,0,3,1,0,1,1,,0,66,417,68203,0,0,0,68203,0,68203,2002,AUG,364,3,8/1/02,351,,
Butte,2600,31,0,3315,30,10,5915,61,10,7714,7991,15705,135,37,144,37,279,74,0,26,26,,0,0,6545,1192950,18815,3829,1659,1211765,5488,1217253,2002,AUG,5986,3,8/1/02,6545,,
Calaveras,209,0,0,430,0,2,639,0,2,561,880,1441,0,0,0,0,0,0,0,3,3,,0,114,690,112885,0,0,19,112885,19,112904,2002,AUG,641,3,8/1/02,576,,
Colusa,79,8,0,255,31,9,334,39,9,230,631,861,18,10,82,44,100,54,0,13,13,,0,0,412,60036,6412,2135,1406,66448,3541,69989,2002,AUG,382,3,8/1/02,412,,
Contra Costa,5520,311,10,2463,84,84,7983,395,94,15148,4658,19806,924,398,226,116,1150,514,28,108,136,,9217,0,9220,1491534,86973,19221,13134,1578507,32355,1610862,2002,AUG,8472,3,8/1/02,3,,
Del Norte,481,4,0,708,2,1,1189,6,1,1454,1492,2946,13,4,6,2,19,6,0,1,1,,0,1069,1196,221200,1500,249,135,222700,384,223084,2002,AUG,1196,3,8/1/02,127,,
El Dorado,608,8,0,882,8,4,1490,16,4,1621,1700,3321,14,8,25,8,39,16,0,4,4,,56,0,1701,265930,3370,477,518,269300,995,270295,2002,AUG,1510,3,8/1/02,1645,,
Fresno,18169,1562,23,9177,847,155,27346,2409,178,60214,22679,82893,5286,1832,2409,1119,7695,2951,57,229,286,,30213,0,30909,6120774,573591,118175,26648,6694365,144823,6839188,2002,AUG,29933,3,8/1/02,696,,
Glenn,235,1,0,462,12,7,697,13,7,716,1242,1958,4,1,39,13,43,14,0,8,8,,0,0,768,135772,2266,847,937,138038,1784,139822,2002,AUG,717,3,8/1/02,768,,
Humboldt,1308,11,0,2482,14,6,3790,25,6,3541,5071,8612,39,12,40,14,79,26,0,6,6,,3627,478,4221,706417,6480,2133,492,712897,2625,715522,2002,AUG,3821,3,8/1/02,116,,
Imperial,1549,343,1,3027,451,25,4576,794,26,4803,8554,13357,801,349,1222,605,2023,954,1,28,29,,0,5620,5917,973274,152906,16681,2632,1126180,19313,1145493,2002,AUG,5396,3,8/1/02,297,,
Inyo,62,0,0,275,0,0,337,0,0,180,468,648,0,0,0,0,0,0,0,0,0,,0,0,356,52007,0,0,0,52007,0,52007,2002,AUG,337,3,8/1/02,356,,
Kern,7433,201,2,11290,419,52,18723,620,54,23180,32285,55465,641,222,1211,500,1852,722,4,76,80,,17640,0,23233,4640975,154830,21798,8236,4795805,30034,4825839,2002,AUG,19397,3,8/1/02,5593,,
Kings,1302,45,1,2479,78,22,3781,123,23,3956,6410,10366,142,52,272,85,414,137,1,23,24,,4096,0,4166,746756,27329,4263,2601,774085,6864,780949,2002,AUG,3927,3,8/1/02,70,,
Lake,823,5,0,1116,7,7,1939,12,7,2299,2276,4575,19,7,20,8,39,15,0,7,7,,0,1735,2224,378038,2351,516,870,380389,1386,381775,2002,AUG,1958,3,8/1/02,489,,
Lassen,263,2,0,344,1,0,607,3,0,750,766,1516,3,2,3,1,6,3,0,0,0,,0,375,646,117754,658,101,0,118412,101,118513,2002,AUG,610,3,8/1/02,271,,
Los Angeles,100692,15221,772,131170,18850,10152,231862,34071,10924,251016,278102,529118,35018,17604,54716,23953,89734,41557,2181,12410,14591,,299419,0,299419,46018264,7433021,2219722,1696383,53451285,3916105,57367390,2002,AUG,276857,3,8/1/02,0,,
Madera,1402,6,0,2940,13,6,4342,19,6,4472,7746,12218,14,6,56,13,70,19,0,7,7,,4514,0,4580,874216,3516,860,3676,877732,4536,882268,2002,AUG,4367,3,8/1/02,66,,
Marin,382,30,0,1024,35,32,1406,65,32,903,1517,2420,53,35,58,35,111,70,0,34,34,,0,0,1805,228569,8059,3211,4370,236628,7581,244209,2002,AUG,1503,3,8/1/02,1805,,
Mariposa,96,0,0,194,0,0,290,0,0,266,427,693,0,0,0,0,0,0,0,0,0,,0,303,311,50987,0,0,0,50987,0,50987,2002,AUG,290,3,8/1/02,8,,
Mendocino,817,3,0,1681,13,4,2498,16,4,2224,3487,5711,10,4,37,15,47,19,0,4,4,,0,1685,2696,423626,2407,1053,458,426033,1511,427544,2002,AUG,2518,3,8/1/02,1011,,
Merced,3511,300,2,3327,245,26,6838,545,28,10910,11324,22234,1151,369,1014,321,2165,690,2,31,33,,7407,0,7411,1590435,103633,60120,4084,1694068,64204,1758272,2002,AUG,7411,3,8/1/02,4,,
Modoc,107,0,0,169,3,1,276,3,1,308,373,681,0,0,8,3,8,3,0,1,1,,0,0,280,46283,545,204,135,46828,339,47167,2002,AUG,280,3,8/1/02,280,,
Mono,29,0,0,90,0,0,119,0,0,77,150,227,0,0,0,0,0,0,0,0,0,,0,14,123,18705,0,0,0,18705,0,18705,2002,AUG,119,3,8/1/02,109,,
Monterey,2015,169,1,2925,183,19,4940,352,20,5888,7394,13282,429,182,589,199,1018,381,1,20,21,,0,456,5720,907078,90280,12003,5155,997358,17158,1014516,2002,AUG,5312,3,8/1/02,5264,,
Napa,145,6,0,536,8,13,681,14,13,390,1118,1508,15,6,20,10,35,16,0,20,20,,0,0,928,140128,2582,508,2079,142710,2587,145297,2002,AUG,708,3,8/1/02,928,,
Nevada,291,0,0,487,1,0,778,1,0,751,929,1680,0,0,2,1,2,1,0,0,0,,0,142,864,132432,248,108,0,132680,108,132788,2002,AUG,779,3,8/1/02,722,,
Orange,11274,1383,38,11356,1418,535,22630,2801,573,31058,29191,60249,3574,1655,3849,1816,7423,3471,97,748,845,,24439,677,26755,4186548,538004,126366,88127,4724552,214493,4939045,2002,AUG,26004,3,8/1/02,1639,,
Placer,835,12,1,774,8,1,1609,20,2,2205,1520,3725,38,28,34,21,72,49,3,0,3,,0,996,1859,305704,4462,1919,348,310166,2267,312433,2002,AUG,1631,3,8/1/02,863,,
Plumas,84,0,0,107,0,0,191,0,0,216,229,445,0,0,0,0,0,0,0,0,0,,4,0,197,29636,0,0,0,29636,0,29636,2002,AUG,191,3,8/1/02,193,,
Riverside,13132,553,6,6410,649,125,19542,1202,131,36965,15940,52905,1564,610,2002,757,3566,1367,25,314,339,,22253,0,23107,4388176,283509,55062,30277,4671685,85339,4757024,2002,AUG,20875,3,8/1/02,854,,
Sacramento,20835,962,177,11647,265,263,32482,1227,440,71943,28358,100301,3357,1690,885,480,4242,2170,683,440,1123,,31885,0,37313,7328150,299076,101703,80918,7627226,182621,7809847,2002,AUG,34149,3,8/1/02,5428,,
San Benito,259,13,0,435,16,8,694,29,8,794,1033,1827,27,13,42,16,69,29,0,8,8,,0,0,828,132670,6091,897,1097,138761,1994,140755,2002,AUG,731,3,8/1/02,828,,
San Bernardino,24123,993,28,17695,1347,314,41818,2340,342,70672,45488,116160,2841,1124,4210,1588,7051,2712,74,441,515,,0,51578,51596,9486271,579697,100482,68913,10065968,169395,10235363,2002,AUG,44500,3,8/1/02,18,,
San Diego,14932,1823,35,10627,1160,412,25559,2983,447,41136,27024,68160,4900,2059,3305,1437,8205,3496,88,550,638,,0,454,31776,5008311,594561,141839,66030,5602872,207869,5810741,2002,AUG,28989,3,8/1/02,31322,,
San Francisco,4296,416,49,9182,450,1086,13478,866,1135,11290,11042,22332,937,517,450,600,1387,1117,115,1445,1560,,15617,0,15617,1845373,118779,40251,119257,1964152,159508,2123660,2002,AUG,15479,3,8/1/02,0,,
San Joaquin,6359,617,5,6808,902,80,13167,1519,85,18476,17796,36272,2261,743,3193,1162,5454,1905,9,131,140,,15702,0,15859,2827172,405378,80859,15511,3232550,96370,3328920,2002,AUG,14771,3,8/1/02,157,,
San Luis Obispo,1120,8,0,1340,21,8,2460,29,8,2780,2976,5756,15,12,48,29,63,41,0,12,12,,0,181,2801,439122,6042,1608,964,445164,2572,447736,2002,AUG,2497,3,8/1/02,2620,,
San Mateo,1110,40,3,1386,53,37,2496,93,40,2704,2898,5602,86,49,128,56,214,105,6,59,65,,2892,0,2898,447722,16976,6008,5165,464698,11173,475871,2002,AUG,2629,3,8/1/02,6,,
Santa Barbara,2828,137,15,2394,158,35,5222,295,50,6855,5936,12791,329,162,418,187,747,349,34,42,76,,0,0,6184,941910,71846,21792,7383,1013756,29175,1042931,2002,AUG,5567,3,8/1/02,6184,,
Santa Clara,7429,645,20,5975,980,728,13404,1625,748,20865,13392,34257,1645,765,2395,1301,4040,2066,53,1023,1076,,15977,0,16093,2570763,295101,89218,130821,2865864,220039,3085903,2002,AUG,15777,3,8/1/02,116,,
Santa Cruz,1184,47,1,1759,50,9,2943,97,10,2786,3572,6358,92,48,87,58,179,106,1,9,10,,224,0,3397,506503,19244,6227,1149,525747,7376,533123,2002,AUG,3050,3,8/1/02,3173,,
Shasta,1774,46,0,2400,38,14,4174,84,14,4899,5310,10209,151,58,103,46,254,104,0,15,15,,0,231,5192,828249,19714,3938,1946,847963,5884,853847,2002,AUG,4272,3,8/1/02,4961,,
Sierra,23,0,0,26,0,0,49,0,0,82,36,118,0,0,0,0,0,0,0,0,0,,0,0,49,8048,0,0,0,8048,0,8048,2002,AUG,49,3,8/1/02,49,,
Siskiyou,473,6,0,763,8,1,1236,14,1,1304,1721,3025,19,6,14,11,33,17,0,1,1,,0,193,1310,224327,2812,849,38,227139,887,228026,2002,AUG,1251,3,8/1/02,1117,,
Solano,2771,74,2,1370,17,40,4141,91,42,7981,2682,10663,185,84,40,17,225,101,4,50,54,,0,3869,4478,817889,19560,4113,6221,837449,10334,847783,2002,AUG,4274,3,8/1/02,609,,
Sonoma,1575,24,1,2234,88,29,3809,112,30,3674,4150,7824,45,27,227,104,272,131,1,49,50,,0,1763,4354,622467,27136,5422,4490,649603,9912,659515,2002,AUG,3951,3,8/1/02,2591,,
Stanislaus,5576,254,7,4043,228,37,9619,482,44,17521,12429,29950,769,307,693,302,1462,609,18,66,84,,10682,0,10682,2141526,110569,28551,6938,2252095,35489,2287584,2002,AUG,10145,3,8/1/02,0,,
Sutter,474,22,0,954,41,5,1428,63,5,1387,2516,3903,63,25,131,48,194,73,0,5,5,,0,370,1691,297287,14713,2017,458,312000,2475,314475,2002,AUG,1496,3,8/1/02,1321,,
Tehama,714,21,0,1110,41,10,1824,62,10,1793,2496,4289,63,23,122,44,185,67,0,14,14,,0,0,1888,314412,11633,4302,1459,326045,5761,331806,2002,AUG,1896,3,8/1/02,1888,,
Trinity,103,0,0,193,0,1,296,0,1,334,401,735,0,0,0,0,0,0,0,1,1,,0,83,297,58399,0,0,135,58399,135,58534,2002,AUG,297,3,8/1/02,214,,
Tulare,9171,734,9,5096,511,87,14267,1245,96,28328,12940,41268,2246,1253,1243,1218,3489,2471,24,437,461,,16099,0,16100,2970391,268672,60664,17300,3239063,77964,3317027,2002,AUG,15608,3,8/1/02,1,,
Tuolumne,383,0,0,462,0,0,845,0,0,1049,1008,2057,0,0,0,0,0,0,0,0,0,,921,0,925,152859,0,0,0,152859,0,152859,2002,AUG,845,3,8/1/02,4,,
Ventura,3351,141,53,4388,267,149,7739,408,202,9132,10862,19994,366,148,736,337,1102,485,157,198,355,,8419,0,8496,1422075,83603,16247,28980,1505678,45227,1550905,2002,AUG,8349,3,8/1/02,77,,
Yolo,1404,122,17,675,21,17,2079,143,34,3991,1300,5291,313,242,50,34,363,276,45,37,82,,0,2256,2256,407703,22101,19030,6765,429804,25795,455599,2002,AUG,2256,3,8/1/02,0,,
Yuba,1131,46,0,1283,34,9,2414,80,9,3686,3313,6999,313,57,173,41,486,98,0,9,9,,0,506,2710,505258,30910,6265,1218,536168,7483,543651,2002,AUG,2503,3,8/1/02,2204,,
California,300694,25665,1367,305002,27691,14971,605696,53356,16338,829948,698483,1528431,65592,30169,80084,35294,145676,65463,3956,19485,23441,,530353,91944,727930,130291714,12486278,3219303,2680084,142777992,5899387,148677379,2002,DEC,675390,4,12/1/02,105633,,
Alameda,13715,180,0,7049,48,222,20764,228,222,35110,18045,53155,366,183,273,138,639,321,0,288,288,,21214,0,21214,4107401,30021,15081,43915,4137422,58996,4196418,2002,DEC,21214,4,12/1/02,0,,
Alpine,10,0,0,25,0,0,35,0,0,28,72,100,0,0,0,0,0,0,0,0,0,,0,0,35,8076,0,0,0,8076,0,8076,2002,DEC,35,4,12/1/02,35,,
Amador,132,3,0,261,1,0,393,4,0,364,551,915,7,3,2,1,9,4,0,0,0,,0,53,451,78690,0,0,0,78690,0,78690,2002,DEC,397,4,12/1/02,398,,
Butte,2480,29,2,3276,26,7,5756,55,9,7231,7809,15040,141,34,117,32,258,66,1,7,8,,0,0,6489,1240100,19017,3854,918,1259117,4772,1263889,2002,DEC,5820,4,12/1/02,6489,,
Calaveras,193,0,0,435,0,0,628,0,0,520,892,1412,0,0,0,0,0,0,0,0,0,,0,127,680,119327,0,0,0,119327,0,119327,2002,DEC,628,4,12/1/02,553,,
Colusa,84,3,0,267,31,6,351,34,6,233,679,912,4,6,84,43,88,49,0,8,8,,0,0,428,68803,6663,1879,1183,75466,3062,78528,2002,DEC,391,4,12/1/02,428,,
