county,consortium,quarter,year,federal_fiscal_year,state_fiscal_year,qtr_timeliness_exp_pct,qtr_30d_churn_reapps_pct,qtr_90d_churn_reapps_pct,qtr_30d_churn_recerts_pct,qtr_90d_churn_recerts_pct,month,fulldate
Mendocino,C-IV,1.0,2012,2012.0,201112.0,0.9946,0.041,0.156,0.176,0.198,JAN,2012-01-01
Merced,C-IV,1.0,2012,2012.0,201112.0,0.9744,0.05,0.162,0.217,0.236,JAN,2012-01-01
Modoc,C-IV,1.0,2012,2012.0,201112.0,0.9556,0.033,0.136,0.136,0.152,JAN,2012-01-01
Mono,C-IV,1.0,2012,2012.0,201112.0,0.9259,0.029,0.123,0.01,0.016,JAN,2012-01-01
Monterey,C-IV,1.0,2012,2012.0,201112.0,0.9938,0.023,0.104,0.102,0.111,JAN,2012-01-01
Napa,C-IV,1.0,2012,2012.0,201112.0,0.9641,0.025,0.094,0.17,0.195,JAN,2012-01-01
Nevada,C-IV,1.0,2012,2012.0,201112.0,0.9843,0.024,0.101,0.12,0.138,JAN,2012-01-01
Orange,CalWIN,1.0,2012,2012.0,201112.0,0.9945,0.116,0.191,0.031,0.054,JAN,2012-01-01
Placer,CalWIN,1.0,2012,2012.0,201112.0,0.8333,0.105,0.193,0.037,0.071,JAN,2012-01-01
Plumas,C-IV,1.0,2012,2012.0,201112.0,0.9608,0.052,0.108,0.102,0.105,JAN,2012-01-01
Riverside,C-IV,1.0,2012,2012.0,201112.0,0.9388,0.029,0.118,0.147,0.166,JAN,2012-01-01
Sacramento,CalWIN,1.0,2012,2012.0,201112.0,0.9231,0.124,0.204,0.031,0.061,JAN,2012-01-01
San Benito,C-IV,1.0,2012,2012.0,201112.0,0.9865,0.032,0.144,0.126,0.143,JAN,2012-01-01
San Bernardino,C-IV,1.0,2012,2012.0,201112.0,0.9343,0.036,0.124,0.181,0.196,JAN,2012-01-01
San Diego,CalWIN,1.0,2012,2012.0,201112.0,0.9482,0.173,0.271,0.079,0.13,JAN,2012-01-01
San Francisco,CalWIN,1.0,2012,2012.0,201112.0,0.921,0.108,0.206,0.062,0.094,JAN,2012-01-01
San Joaquin,C-IV,1.0,2012,2012.0,201112.0,0.9538,0.048,0.13,0.162,0.178,JAN,2012-01-01
San Luis Obispo,CalWIN,1.0,2012,2012.0,201112.0,0.8649,0.108,0.194,0.022,0.046,JAN,2012-01-01
San Mateo,CalWIN,1.0,2012,2012.0,201112.0,0.842,0.088,0.165,0.021,0.044,JAN,2012-01-01
Santa Barbara,CalWIN,1.0,2012,2012.0,201112.0,0.8384,0.151,0.231,0.036,0.06,JAN,2012-01-01
Santa Clara,CalWIN,1.0,2012,2012.0,201112.0,0.255,0.096,0.17,0.007,0.034,JAN,2012-01-01
Santa Cruz,CalWIN,1.0,2012,2012.0,201112.0,0.8651,0.109,0.194,0.019,0.046,JAN,2012-01-01
Shasta,C-IV,1.0,2012,2012.0,201112.0,0.9335,0.025,0.124,0.161,0.18,JAN,2012-01-01
Sierra,C-IV,1.0,2012,2012.0,201112.0,0.9231,0.024,0.049,0.098,0.098,JAN,2012-01-01
Siskiyou,C-IV,1.0,2012,2012.0,201112.0,0.9504,0.024,0.119,0.169,0.185,JAN,2012-01-01
Solano,CalWIN,1.0,2012,2012.0,201112.0,0.9469,0.079,0.181,0.013,0.055,JAN,2012-01-01
Sonoma,CalWIN,1.0,2012,2012.0,201112.0,0.4607,0.106,0.186,0.029,0.057,JAN,2012-01-01
Stanislaus,C-IV,1.0,2012,2012.0,201112.0,0.9711,0.018,0.129,0.156,0.178,JAN,2012-01-01
Sutter,C-IV,1.0,2012,2012.0,201112.0,0.9607,0.035,0.123,0.11,0.121,JAN,2012-01-01
Tehama,C-IV,1.0,2012,2012.0,201112.0,0.9952,0.042,0.116,0.138,0.149,JAN,2012-01-01
Trinity,C-IV,1.0,2012,2012.0,201112.0,0.9889,0.048,0.128,0.159,0.179,JAN,2012-01-01
Tulare,CalWIN,1.0,2012,2012.0,201112.0,0.9393,0.234,0.352,0.08,0.122,JAN,2012-01-01
Tuolumne,C-IV,1.0,2012,2012.0,201112.0,0.9371,0.038,0.151,0.109,0.123,JAN,2012-01-01
Ventura,CalWIN,1.0,2012,2012.0,201112.0,0.9563,0.125,0.237,0.053,0.084,JAN,2012-01-01
Yolo,CalWIN,1.0,2012,2012.0,201112.0,0.9119,0.138,0.225,0.036,0.065,JAN,2012-01-01
Yuba,C-IV,1.0,2012,2012.0,201112.0,0.9447,0.034,0.13,0.169,0.194,JAN,2012-01-01
California,\N,2.0,2012,2012.0,201112.0,0.9402,0.093,0.183,0.078,0.101,APR,2012-04-01
Alameda,CalWIN,2.0,2012,2012.0,201112.0,0.8729,0.088,0.179,0.034,0.072,APR,2012-04-01
Alpine,C-IV,2.0,2012,2012.0,201112.0,1.0,0.042,0.083,0.042,0.042,APR,2012-04-01
Amador,C-IV,2.0,2012,2012.0,201112.0,0.8607,0.029,0.142,0.187,0.2,APR,2012-04-01
Butte,C-IV,2.0,2012,2012.0,201112.0,0.9225,0.028,0.123,0.292,0.316,APR,2012-04-01
Calaveras,C-IV,2.0,2012,2012.0,201112.0,0.9924,0.022,0.103,0.165,0.192,APR,2012-04-01
Colusa,C-IV,2.0,2012,2012.0,201112.0,0.9722,0.041,0.139,0.169,0.191,APR,2012-04-01
Contra Costa,CalWIN,2.0,2012,2012.0,201112.0,0.8911,0.11,0.184,0.039,0.066,APR,2012-04-01
Del Norte,C-IV,2.0,2012,2012.0,201112.0,0.9918,0.045,0.176,0.197,0.213,APR,2012-04-01
El Dorado,C-IV,2.0,2012,2012.0,201112.0,0.963,0.028,0.115,0.142,0.158,APR,2012-04-01
Fresno,CalWIN,2.0,2012,2012.0,201112.0,0.9709,0.172,0.283,0.084,0.129,APR,2012-04-01
Glenn,C-IV,2.0,2012,2012.0,201112.0,1.0,0.037,0.136,0.131,0.14,APR,2012-04-01
Humboldt,C-IV,2.0,2012,2012.0,201112.0,0.9284,0.03,0.124,0.201,0.228,APR,2012-04-01
Imperial,C-IV,2.0,2012,2012.0,201112.0,0.9867,0.037,0.136,0.164,0.185,APR,2012-04-01
Inyo,C-IV,2.0,2012,2012.0,201112.0,0.9912,0.044,0.17,0.145,0.155,APR,2012-04-01
Kern,C-IV,2.0,2012,2012.0,201112.0,0.9695,0.051,0.152,0.143,0.164,APR,2012-04-01
Kings,C-IV,2.0,2012,2012.0,201112.0,0.8651,0.052,0.154,0.134,0.152,APR,2012-04-01
Lake,C-IV,2.0,2012,2012.0,201112.0,0.9347,0.018,0.076,0.257,0.278,APR,2012-04-01
Lassen,C-IV,2.0,2012,2012.0,201112.0,0.9364,0.104,0.278,0.125,0.144,APR,2012-04-01
Los Angeles,LRS,2.0,2012,2012.0,201112.0,0.9483,0.118,0.209,0.0,0.003,APR,2012-04-01
Madera,C-IV,2.0,2012,2012.0,201112.0,0.9905,0.045,0.139,0.184,0.207,APR,2012-04-01
Marin,C-IV,2.0,2012,2012.0,201112.0,0.9401,0.047,0.125,0.113,0.135,APR,2012-04-01
Mariposa,C-IV,2.0,2012,2012.0,201112.0,0.967,0.02,0.096,0.161,0.173,APR,2012-04-01
Mendocino,C-IV,2.0,2012,2012.0,201112.0,0.9978,0.043,0.153,0.149,0.176,APR,2012-04-01
Merced,C-IV,2.0,2012,2012.0,201112.0,0.9836,0.051,0.143,0.255,0.28,APR,2012-04-01
Modoc,C-IV,2.0,2012,2012.0,201112.0,0.9412,0.025,0.14,0.153,0.172,APR,2012-04-01
Mono,C-IV,2.0,2012,2012.0,201112.0,0.8881,0.021,0.17,0.032,0.043,APR,2012-04-01
Monterey,C-IV,2.0,2012,2012.0,201112.0,0.9913,0.026,0.118,0.135,0.149,APR,2012-04-01
Napa,C-IV,2.0,2012,2012.0,201112.0,0.9816,0.027,0.082,0.23,0.245,APR,2012-04-01
Nevada,C-IV,2.0,2012,2012.0,201112.0,0.9919,0.035,0.114,0.112,0.131,APR,2012-04-01
Orange,CalWIN,2.0,2012,2012.0,201112.0,0.9946,0.106,0.183,0.044,0.071,APR,2012-04-01
Placer,CalWIN,2.0,2012,2012.0,201112.0,0.9581,0.101,0.181,0.037,0.063,APR,2012-04-01
Plumas,C-IV,2.0,2012,2012.0,201112.0,0.9694,0.027,0.111,0.081,0.088,APR,2012-04-01
Riverside,C-IV,2.0,2012,2012.0,201112.0,0.9484,0.027,0.116,0.165,0.184,APR,2012-04-01
Sacramento,CalWIN,2.0,2012,2012.0,201112.0,0.9647,0.101,0.176,0.04,0.071,APR,2012-04-01
San Benito,C-IV,2.0,2012,2012.0,201112.0,0.9952,0.028,0.12,0.177,0.201,APR,2012-04-01
San Bernardino,C-IV,2.0,2012,2012.0,201112.0,0.9534,0.033,0.118,0.186,0.202,APR,2012-04-01
San Diego,CalWIN,2.0,2012,2012.0,201112.0,0.9387,0.17,0.27,0.084,0.138,APR,2012-04-01
San Francisco,CalWIN,2.0,2012,2012.0,201112.0,0.9666,0.113,0.204,0.066,0.101,APR,2012-04-01
San Joaquin,C-IV,2.0,2012,2012.0,201112.0,0.9421,0.05,0.124,0.154,0.173,APR,2012-04-01
San Luis Obispo,CalWIN,2.0,2012,2012.0,201112.0,0.8425,0.087,0.174,0.038,0.071,APR,2012-04-01
San Mateo,CalWIN,2.0,2012,2012.0,201112.0,0.8595,0.1,0.168,0.033,0.059,APR,2012-04-01
Santa Barbara,CalWIN,2.0,2012,2012.0,201112.0,0.8893,0.101,0.17,0.047,0.082,APR,2012-04-01
Santa Clara,CalWIN,2.0,2012,2012.0,201112.0,0.4774,0.094,0.159,0.009,0.034,APR,2012-04-01
Santa Cruz,CalWIN,2.0,2012,2012.0,201112.0,0.9033,0.058,0.13,0.016,0.039,APR,2012-04-01
Shasta,C-IV,2.0,2012,2012.0,201112.0,0.9007,0.026,0.116,0.169,0.189,APR,2012-04-01
Sierra,C-IV,2.0,2012,2012.0,201112.0,1.0,0.079,0.127,0.095,0.095,APR,2012-04-01
Siskiyou,C-IV,2.0,2012,2012.0,201112.0,0.9094,0.039,0.134,0.155,0.176,APR,2012-04-01
Solano,CalWIN,2.0,2012,2012.0,201112.0,0.9596,0.052,0.153,0.013,0.059,APR,2012-04-01
Sonoma,CalWIN,2.0,2012,2012.0,201112.0,0.6167,0.092,0.17,0.032,0.061,APR,2012-04-01
Stanislaus,C-IV,2.0,2012,2012.0,201112.0,0.9666,0.026,0.13,0.183,0.21,APR,2012-04-01
Sutter,C-IV,2.0,2012,2012.0,201112.0,0.9446,0.048,0.133,0.152,0.163,APR,2012-04-01
Tehama,C-IV,2.0,2012,2012.0,201112.0,0.9914,0.049,0.124,0.15,0.162,APR,2012-04-01
Trinity,C-IV,2.0,2012,2012.0,201112.0,0.9828,0.021,0.108,0.191,0.201,APR,2012-04-01
Tulare,CalWIN,2.0,2012,2012.0,201112.0,0.9719,0.209,0.325,0.108,0.156,APR,2012-04-01
Tuolumne,C-IV,2.0,2012,2012.0,201112.0,0.9271,0.039,0.145,0.126,0.148,APR,2012-04-01
Ventura,CalWIN,2.0,2012,2012.0,201112.0,0.9696,0.111,0.223,0.065,0.111,APR,2012-04-01
Yolo,CalWIN,2.0,2012,2012.0,201112.0,0.914,0.102,0.168,0.046,0.079,APR,2012-04-01
Yuba,C-IV,2.0,2012,2012.0,201112.0,0.9469,0.028,0.117,0.173,0.193,APR,2012-04-01
California,\N,3.0,2012,2012.0,201213.0,0.9417,0.0817,0.1672,0.0864,0.1092,JUL,2012-07-01
Alameda,CalWIN,3.0,2012,2012.0,201213.0,0.8771,0.0779,0.1615,0.0428,0.0815,JUL,2012-07-01
Alpine,C-IV,3.0,2012,2012.0,201213.0,1.0,0.0526,0.1053,0.1053,0.1053,JUL,2012-07-01
Amador,C-IV,3.0,2012,2012.0,201213.0,0.9276,0.0328,0.1466,0.1517,0.1707,JUL,2012-07-01
Butte,C-IV,3.0,2012,2012.0,201213.0,0.9487,0.0356,0.116,0.2469,0.2637,JUL,2012-07-01
Calaveras,C-IV,3.0,2012,2012.0,201213.0,0.9923,0.0278,0.1071,0.209,0.2341,JUL,2012-07-01
Colusa,C-IV,3.0,2012,2012.0,201213.0,1.0,0.0433,0.1535,0.1693,0.189,JUL,2012-07-01
Contra Costa,CalWIN,3.0,2012,2012.0,201213.0,0.8465,0.0878,0.1598,0.0335,0.057,JUL,2012-07-01
Del Norte,C-IV,3.0,2012,2012.0,201213.0,0.988,0.0656,0.1826,0.2297,0.2625,JUL,2012-07-01
El Dorado,C-IV,3.0,2012,2012.0,201213.0,0.9589,0.0321,0.131,0.1573,0.1731,JUL,2012-07-01
Fresno,CalWIN,3.0,2012,2012.0,201213.0,0.9728,0.157,0.2719,0.0925,0.1489,JUL,2012-07-01
Glenn,C-IV,3.0,2012,2012.0,201213.0,0.9817,0.024,0.1158,0.1118,0.1238,JUL,2012-07-01
Humboldt,C-IV,3.0,2012,2012.0,201213.0,0.9441,0.0346,0.1245,0.1838,0.207,JUL,2012-07-01
Imperial,C-IV,3.0,2012,2012.0,201213.0,0.9838,0.0344,0.1212,0.1681,0.1863,JUL,2012-07-01
Inyo,C-IV,3.0,2012,2012.0,201213.0,0.9928,0.0536,0.1607,0.125,0.128,JUL,2012-07-01
Kern,C-IV,3.0,2012,2012.0,201213.0,0.9514,0.054,0.1587,0.1568,0.1815,JUL,2012-07-01
Kings,C-IV,3.0,2012,2012.0,201213.0,0.8821,0.0428,0.1444,0.1447,0.1639,JUL,2012-07-01
Lake,C-IV,3.0,2012,2012.0,201213.0,0.94,0.0153,0.0826,0.2562,0.2784,JUL,2012-07-01
Lassen,C-IV,3.0,2012,2012.0,201213.0,0.9298,0.0551,0.177,0.1586,0.1736,JUL,2012-07-01
Los Angeles,LRS,3.0,2012,2012.0,201213.0,0.9586,0.1045,0.1774,0.0001,0.0029,JUL,2012-07-01
Madera,C-IV,3.0,2012,2012.0,201213.0,0.9916,0.0543,0.1605,0.1802,0.2152,JUL,2012-07-01
Marin,C-IV,3.0,2012,2012.0,201213.0,0.9435,0.0371,0.1178,0.1375,0.1598,JUL,2012-07-01
Mariposa,C-IV,3.0,2012,2012.0,201213.0,0.9886,0.028,0.1014,0.1538,0.1783,JUL,2012-07-01
Mendocino,C-IV,3.0,2012,2012.0,201213.0,0.9865,0.0338,0.1324,0.1534,0.1829,JUL,2012-07-01
Merced,C-IV,3.0,2012,2012.0,201213.0,0.9773,0.0493,0.1556,0.2465,0.2698,JUL,2012-07-01
Modoc,C-IV,3.0,2012,2012.0,201213.0,1.0,0.0491,0.1104,0.1227,0.1288,JUL,2012-07-01
Mono,C-IV,3.0,2012,2012.0,201213.0,0.95,0.0155,0.1443,0.0825,0.0979,JUL,2012-07-01
Monterey,C-IV,3.0,2012,2012.0,201213.0,0.9939,0.025,0.1214,0.1466,0.1643,JUL,2012-07-01
Napa,C-IV,3.0,2012,2012.0,201213.0,0.9849,0.0253,0.0918,0.2286,0.2532,JUL,2012-07-01
Nevada,C-IV,3.0,2012,2012.0,201213.0,0.988,0.0224,0.0942,0.1359,0.1614,JUL,2012-07-01
Orange,CalWIN,3.0,2012,2012.0,201213.0,0.9955,0.0834,0.1626,0.0465,0.0743,JUL,2012-07-01
Placer,CalWIN,3.0,2012,2012.0,201213.0,0.963,0.0995,0.1801,0.0401,0.07,JUL,2012-07-01
Plumas,C-IV,3.0,2012,2012.0,201213.0,0.9375,0.0213,0.0912,0.1489,0.1581,JUL,2012-07-01
Riverside,C-IV,3.0,2012,2012.0,201213.0,0.9468,0.0257,0.1096,0.18,0.1965,JUL,2012-07-01
Sacramento,CalWIN,3.0,2012,2012.0,201213.0,0.985,0.0799,0.1548,0.0419,0.0723,JUL,2012-07-01
San Benito,C-IV,3.0,2012,2012.0,201213.0,0.9751,0.0388,0.1333,0.2182,0.2461,JUL,2012-07-01
San Bernardino,C-IV,3.0,2012,2012.0,201213.0,0.932,0.0334,0.1139,0.219,0.2336,JUL,2012-07-01
San Diego,CalWIN,3.0,2012,2012.0,201213.0,0.8848,0.1574,0.2552,0.0895,0.1447,JUL,2012-07-01
San Francisco,CalWIN,3.0,2012,2012.0,201213.0,0.9317,0.0864,0.1831,0.0637,0.1004,JUL,2012-07-01
San Joaquin,C-IV,3.0,2012,2012.0,201213.0,0.9273,0.0478,0.1304,0.1641,0.1842,JUL,2012-07-01
San Luis Obispo,CalWIN,3.0,2012,2012.0,201213.0,0.8355,0.0649,0.1557,0.0303,0.0575,JUL,2012-07-01
San Mateo,CalWIN,3.0,2012,2012.0,201213.0,0.8656,0.08,0.1575,0.0332,0.0606,JUL,2012-07-01
Santa Barbara,CalWIN,3.0,2012,2012.0,201213.0,0.9452,0.0819,0.1859,0.0497,0.0925,JUL,2012-07-01
Santa Clara,CalWIN,3.0,2012,2012.0,201213.0,0.8638,0.0806,0.1471,0.0115,0.0396,JUL,2012-07-01
Santa Cruz,CalWIN,3.0,2012,2012.0,201213.0,0.9458,0.0485,0.1228,0.0354,0.0836,JUL,2012-07-01
Shasta,C-IV,3.0,2012,2012.0,201213.0,0.8814,0.0253,0.1309,0.1862,0.2065,JUL,2012-07-01
Sierra,C-IV,3.0,2012,2012.0,201213.0,1.0,0.0556,0.1481,0.037,0.037,JUL,2012-07-01
Siskiyou,C-IV,3.0,2012,2012.0,201213.0,0.9704,0.0227,0.0963,0.171,0.184,JUL,2012-07-01
Solano,CalWIN,3.0,2012,2012.0,201213.0,0.9563,0.0298,0.1306,0.012,0.0507,JUL,2012-07-01
Sonoma,CalWIN,3.0,2012,2012.0,201213.0,0.6995,0.0798,0.1645,0.0362,0.0719,JUL,2012-07-01
Stanislaus,C-IV,3.0,2012,2012.0,201213.0,0.9601,0.0215,0.1276,0.2303,0.2537,JUL,2012-07-01
Sutter,C-IV,3.0,2012,2012.0,201213.0,0.9431,0.0347,0.1312,0.1486,0.1624,JUL,2012-07-01
Tehama,C-IV,3.0,2012,2012.0,201213.0,0.9977,0.0585,0.1261,0.1749,0.1875,JUL,2012-07-01
Trinity,C-IV,3.0,2012,2012.0,201213.0,0.9217,0.0356,0.1276,0.273,0.3086,JUL,2012-07-01
Tulare,CalWIN,3.0,2012,2012.0,201213.0,0.9699,0.1646,0.2873,0.1041,0.1526,JUL,2012-07-01
Tuolumne,C-IV,3.0,2012,2012.0,201213.0,0.9465,0.04,0.1578,0.1686,0.1903,JUL,2012-07-01
Ventura,CalWIN,3.0,2012,2012.0,201213.0,0.9644,0.0925,0.2153,0.0569,0.1006,JUL,2012-07-01
Yolo,CalWIN,3.0,2012,2012.0,201213.0,0.9172,0.0996,0.1835,0.0452,0.0805,JUL,2012-07-01
Yuba,C-IV,3.0,2012,2012.0,201213.0,0.9842,0.0283,0.1187,0.1667,0.1852,JUL,2012-07-01
California,\N,4.0,2012,2013.0,201213.0,0.9393,0.0888,0.1831,0.0912,0.1155,OCT,2012-10-01
Alameda,CalWIN,4.0,2012,2013.0,201213.0,0.8546,0.0846,0.1834,0.0451,0.0942,OCT,2012-10-01
Alpine,C-IV,4.0,2012,2013.0,201213.0,0.9375,0.0,0.087,0.087,0.087,OCT,2012-10-01
Amador,C-IV,4.0,2012,2013.0,201213.0,0.9363,0.0285,0.1404,0.1992,0.2277,OCT,2012-10-01
Butte,C-IV,4.0,2012,2013.0,201213.0,0.9555,0.0378,0.1323,0.2782,0.2985,OCT,2012-10-01
Calaveras,C-IV,4.0,2012,2013.0,201213.0,0.9884,0.0333,0.1409,0.2061,0.2348,OCT,2012-10-01
Colusa,C-IV,4.0,2012,2013.0,201213.0,1.0,0.0406,0.1313,0.1031,0.1125,OCT,2012-10-01
Contra Costa,CalWIN,4.0,2012,2013.0,201213.0,0.8748,0.1044,0.1801,0.0474,0.09,OCT,2012-10-01
Del Norte,C-IV,4.0,2012,2013.0,201213.0,0.978,0.0775,0.2367,0.2496,0.2812,OCT,2012-10-01
El Dorado,C-IV,4.0,2012,2013.0,201213.0,0.9725,0.0375,0.1272,0.1737,0.1961,OCT,2012-10-01
Fresno,CalWIN,4.0,2012,2013.0,201213.0,0.9704,0.16,0.2972,0.0718,0.1139,OCT,2012-10-01
Glenn,C-IV,4.0,2012,2013.0,201213.0,0.9919,0.0525,0.1677,0.1899,0.2101,OCT,2012-10-01
Humboldt,C-IV,4.0,2012,2013.0,201213.0,0.8967,0.047,0.1363,0.2379,0.2697,OCT,2012-10-01
Imperial,C-IV,4.0,2012,2013.0,201213.0,0.9885,0.062,0.1486,0.1647,0.1818,OCT,2012-10-01
Inyo,C-IV,4.0,2012,2013.0,201213.0,0.9903,0.0561,0.1584,0.2079,0.2211,OCT,2012-10-01
Kern,C-IV,4.0,2012,2013.0,201213.0,0.9633,0.0625,0.1787,0.1732,0.2012,OCT,2012-10-01
Kings,C-IV,4.0,2012,2013.0,201213.0,0.9076,0.0554,0.1916,0.1681,0.1887,OCT,2012-10-01
Lake,C-IV,4.0,2012,2013.0,201213.0,0.9546,0.019,0.0971,0.2766,0.2985,OCT,2012-10-01
Lassen,C-IV,4.0,2012,2013.0,201213.0,0.9014,0.0987,0.2122,0.1723,0.187,OCT,2012-10-01
Los Angeles,LRS,4.0,2012,2013.0,201213.0,0.9494,0.1074,0.1823,0.0001,0.0036,OCT,2012-10-01
Madera,C-IV,4.0,2012,2013.0,201213.0,0.9849,0.0543,0.1919,0.2063,0.2372,OCT,2012-10-01
Marin,C-IV,4.0,2012,2013.0,201213.0,0.9461,0.041,0.1153,0.1746,0.1902,OCT,2012-10-01
Mariposa,C-IV,4.0,2012,2013.0,201213.0,0.9634,0.0471,0.1451,0.1804,0.1961,OCT,2012-10-01
Mendocino,C-IV,4.0,2012,2013.0,201213.0,0.9906,0.0665,0.1898,0.2607,0.3067,OCT,2012-10-01
Merced,C-IV,4.0,2012,2013.0,201213.0,0.986,0.0617,0.1958,0.2675,0.2916,OCT,2012-10-01
Modoc,C-IV,4.0,2012,2013.0,201213.0,1.0,0.0818,0.195,0.2327,0.2642,OCT,2012-10-01
Mono,C-IV,4.0,2012,2013.0,201213.0,0.945,0.0192,0.1846,0.0923,0.0962,OCT,2012-10-01
Monterey,C-IV,4.0,2012,2013.0,201213.0,0.9926,0.0378,0.1368,0.1095,0.1199,OCT,2012-10-01
Napa,C-IV,4.0,2012,2013.0,201213.0,0.9623,0.0369,0.103,0.2667,0.3221,OCT,2012-10-01
Nevada,C-IV,4.0,2012,2013.0,201213.0,0.9692,0.0329,0.1292,0.1613,0.1858,OCT,2012-10-01
Orange,CalWIN,4.0,2012,2013.0,201213.0,0.9935,0.0855,0.1714,0.0507,0.0809,OCT,2012-10-01
Placer,CalWIN,4.0,2012,2013.0,201213.0,0.9482,0.0872,0.1747,0.0391,0.0657,OCT,2012-10-01
Plumas,C-IV,4.0,2012,2013.0,201213.0,0.9541,0.0301,0.0934,0.1687,0.1747,OCT,2012-10-01
Riverside,C-IV,4.0,2012,2013.0,201213.0,0.9416,0.0327,0.123,0.1859,0.2034,OCT,2012-10-01
Sacramento,CalWIN,4.0,2012,2013.0,201213.0,0.9735,0.09,0.1723,0.0519,0.0844,OCT,2012-10-01
San Benito,C-IV,4.0,2012,2013.0,201213.0,0.9962,0.0434,0.1509,0.1726,0.2052,OCT,2012-10-01
San Bernardino,C-IV,4.0,2012,2013.0,201213.0,0.9358,0.0438,0.1327,0.2236,0.2403,OCT,2012-10-01
San Diego,CalWIN,4.0,2012,2013.0,201213.0,0.8916,0.1691,0.2758,0.0781,0.125,OCT,2012-10-01
San Francisco,CalWIN,4.0,2012,2013.0,201213.0,0.9129,0.0872,0.1911,0.0705,0.1165,OCT,2012-10-01
San Joaquin,C-IV,4.0,2012,2013.0,201213.0,0.9626,0.0561,0.1464,0.1803,0.1988,OCT,2012-10-01
San Luis Obispo,CalWIN,4.0,2012,2013.0,201213.0,0.8978,0.0757,0.1581,0.0465,0.0731,OCT,2012-10-01
San Mateo,CalWIN,4.0,2012,2013.0,201213.0,0.8265,0.0809,0.169,0.0451,0.0798,OCT,2012-10-01
Santa Barbara,CalWIN,4.0,2012,2013.0,201213.0,0.9329,0.1115,0.2203,0.0493,0.0835,OCT,2012-10-01
Santa Clara,CalWIN,4.0,2012,2013.0,201213.0,0.8511,0.0647,0.1426,0.0114,0.0419,OCT,2012-10-01
Santa Cruz,CalWIN,4.0,2012,2013.0,201213.0,0.8895,0.0546,0.1755,0.0251,0.0609,OCT,2012-10-01
Shasta,C-IV,4.0,2012,2013.0,201213.0,0.896,0.0393,0.1417,0.26,0.2864,OCT,2012-10-01
Sierra,C-IV,4.0,2012,2013.0,201213.0,0.9583,0.0,0.1633,0.1224,0.1224,OCT,2012-10-01
Siskiyou,C-IV,4.0,2012,2013.0,201213.0,0.9502,0.0339,0.1253,0.1591,0.1786,OCT,2012-10-01
