,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
Monterey,2928.0,15.0,2.0,15404.0,103.0,16.0,18332.0,118.0,18.0,7490.0,33999.0,41489.0,39.0,17.0,303.0,120.0,342.0,137.0,3.0,23.0,26.0,0.0,0.0,0.0,27091.0,27091.0,0.0,6006158.0,21399.0,6027557.0
Napa,420.0,13.0,1.0,2899.0,49.0,5.0,3319.0,62.0,6.0,1011.0,5929.0,6940.0,31.0,14.0,133.0,56.0,164.0,70.0,1.0,6.0,7.0,0.0,0.0,0.0,5102.0,5102.0,0.0,1027451.0,9734.0,1037185.0
Nevada,458.0,2.0,0.0,3360.0,6.0,4.0,3818.0,8.0,4.0,1154.0,6153.0,7307.0,6.0,2.0,12.0,7.0,18.0,9.0,0.0,5.0,5.0,0.0,0.0,0.0,5265.0,5265.0,0.0,1112445.0,1593.0,1114038.0
Orange,13066.0,162.0,0.0,85344.0,1937.0,701.0,98410.0,2099.0,701.0,33116.0,183609.0,216725.0,360.0,213.0,4542.0,2433.0,4902.0,2646.0,0.0,939.0,939.0,0.0,0.0,0.0,108759.0,108759.0,0.0,32077468.0,406044.0,32483512.0
Placer,1006.0,5.0,0.0,7187.0,35.0,19.0,8193.0,40.0,19.0,2620.0,15054.0,17674.0,10.0,6.0,76.0,46.0,86.0,52.0,0.0,22.0,22.0,0.0,0.0,0.0,8930.0,8930.0,0.0,2541323.0,8365.0,2549688.0
Plumas,107.0,0.0,0.0,664.0,0.0,1.0,771.0,0.0,1.0,297.0,1314.0,1611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1067.0,1067.0,0.0,229919.0,200.0,230119.0
Riverside,19924.0,152.0,4.0,92054.0,1232.0,274.0,111978.0,1384.0,278.0,54463.0,216060.0,270523.0,414.0,166.0,3690.0,1345.0,4104.0,1511.0,5.0,338.0,343.0,0.0,0.0,0.0,165328.0,165328.0,0.0,39630110.0,242252.0,39872362.0
Sacramento,17339.0,346.0,3.0,74355.0,960.0,408.0,91694.0,1306.0,411.0,43714.0,159491.0,203205.0,750.0,509.0,2437.0,1266.0,3187.0,1775.0,3.0,539.0,542.0,0.0,0.0,0.0,100128.0,100128.0,0.0,31780532.0,310116.0,32090648.0
San Benito,404.0,6.0,0.0,2137.0,30.0,3.0,2541.0,36.0,3.0,1099.0,4816.0,5915.0,14.0,6.0,82.0,32.0,96.0,38.0,0.0,4.0,4.0,0.0,0.0,0.0,3751.0,3751.0,0.0,849482.0,4695.0,854177.0
San Bernardino,28471.0,170.0,5.0,125939.0,1016.0,258.0,154410.0,1186.0,263.0,76803.0,287145.0,363948.0,443.0,192.0,2870.0,1141.0,3313.0,1333.0,5.0,336.0,341.0,0.0,0.0,0.0,222796.0,222796.0,0.0,54219237.0,226361.0,54445598.0
San Diego,17294.0,376.0,2.0,95334.0,1772.0,594.0,112628.0,2148.0,596.0,47308.0,197554.0,244862.0,899.0,485.0,4569.0,2041.0,5468.0,2526.0,4.0,771.0,775.0,0.0,0.0,0.0,126690.0,126690.0,0.0,37331797.41,405884.32,37737681.73
San Francisco,2825.0,171.0,2.0,28693.0,573.0,581.0,31518.0,744.0,583.0,6140.0,41674.0,47814.0,308.0,200.0,1099.0,787.0,1407.0,987.0,2.0,784.0,786.0,0.0,0.0,0.0,34706.0,34706.0,0.0,7607707.43,222066.55,7829773.98
San Joaquin  a/,9395.0,71.0,2.0,34519.0,465.0,96.0,43914.0,536.0,98.0,24199.0,82205.0,106404.0,183.0,77.0,1331.0,576.0,1514.0,653.0,2.0,146.0,148.0,0.0,0.0,0.0,64971.0,64971.0,0.0,16104382.0,111871.0,16216253.0
San Luis Obispo,1145.0,6.0,0.0,7781.0,53.0,10.0,8926.0,59.0,10.0,2913.0,14455.0,17368.0,14.0,6.0,145.0,56.0,159.0,62.0,0.0,14.0,14.0,0.0,0.0,0.0,10313.0,10313.0,0.0,2516466.49,8541.86,2525008.35
San Mateo,1781.0,52.0,0.0,11593.0,378.0,141.0,13374.0,430.0,141.0,4443.0,22706.0,27149.0,102.0,60.0,957.0,446.0,1059.0,506.0,0.0,186.0,186.0,0.0,0.0,0.0,15141.0,15141.0,0.0,4153320.36,79914.83,4233235.19
Santa Barbara,2412.0,6.0,1.0,11512.0,83.0,13.0,13924.0,89.0,14.0,6085.0,25239.0,31324.0,14.0,6.0,240.0,90.0,254.0,96.0,2.0,20.0,22.0,0.0,0.0,0.0,15785.0,15785.0,0.0,4541024.37,13143.07,4554167.44
Santa Clara,7201.0,90.0,2.0,41624.0,770.0,643.0,48825.0,860.0,645.0,17430.0,86711.0,104141.0,178.0,112.0,1600.0,1065.0,1778.0,1177.0,2.0,973.0,975.0,0.0,0.0,0.0,54924.0,54924.0,0.0,15819412.0,290501.0,16109913.0
Santa Cruz,1217.0,2.0,0.0,9581.0,49.0,7.0,10798.0,51.0,7.0,3019.0,17951.0,20970.0,3.0,2.0,124.0,55.0,127.0,57.0,0.0,7.0,7.0,0.0,0.0,0.0,12269.0,12269.0,0.0,3168144.0,6677.0,3174821.0
Shasta,1795.0,3.0,0.0,10487.0,21.0,13.0,12282.0,24.0,13.0,4521.0,20073.0,24594.0,7.0,3.0,43.0,22.0,50.0,25.0,0.0,20.0,20.0,0.0,0.0,0.0,17317.0,17317.0,0.0,3579133.0,6042.0,3585175.0
Sierra,14.0,0.0,0.0,141.0,0.0,0.0,155.0,0.0,0.0,32.0,260.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,0.0,44118.0,0.0,44118.0
Siskiyou ,456.0,0.0,0.0,2286.0,4.0,1.0,2742.0,4.0,1.0,1271.0,4831.0,6102.0,0.0,0.0,7.0,4.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3967.0,3967.0,0.0,891025.0,681.0,891706.0
Solano,3279.0,29.0,0.0,17057.0,127.0,34.0,20336.0,156.0,34.0,7832.0,32663.0,40495.0,61.0,35.0,344.0,146.0,405.0,181.0,0.0,38.0,38.0,0.0,0.0,0.0,22619.0,22619.0,0.0,6302001.93,29008.07,6331010.0
Sonoma,2232.0,35.0,0.0,15942.0,203.0,55.0,18174.0,238.0,55.0,5296.0,28075.0,33371.0,85.0,36.0,500.0,233.0,585.0,269.0,0.0,63.0,63.0,0.0,0.0,0.0,20168.0,20168.0,0.0,5160611.0,37158.0,5197769.0
Stanislaus,7235.0,23.0,1.0,33232.0,128.0,32.0,40467.0,151.0,33.0,18997.0,69840.0,88837.0,59.0,27.0,350.0,140.0,409.0,167.0,1.0,44.0,45.0,0.0,0.0,0.0,57307.0,57307.0,0.0,13063060.0,27505.0,13090565.0
Sutter,800.0,12.0,0.0,4089.0,35.0,5.0,4889.0,47.0,5.0,2231.0,9483.0,11714.0,28.0,14.0,95.0,43.0,123.0,57.0,0.0,7.0,7.0,0.0,0.0,0.0,7188.0,7188.0,0.0,1696803.01,8456.0,1705259.01
Tehama,747.0,0.0,0.0,3401.0,14.0,6.0,4148.0,14.0,6.0,2104.0,7521.0,9625.0,0.0,0.0,44.0,16.0,44.0,16.0,0.0,8.0,8.0,0.0,0.0,0.0,6070.0,6070.0,0.0,1405178.0,3077.0,1408255.0
Trinity,80.0,0.0,0.0,744.0,0.0,1.0,824.0,0.0,1.0,187.0,1449.0,1636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1154.0,1154.0,0.0,242940.0,367.0,243307.0
Tulare,8650.0,63.0,0.0,34253.0,504.0,139.0,42903.0,567.0,139.0,23721.0,84448.0,108169.0,150.0,65.0,1442.0,564.0,1592.0,629.0,0.0,169.0,169.0,0.0,0.0,0.0,48002.0,48002.0,0.0,15987415.0,94275.0,16081690.0
Tuolumne,392.0,0.0,0.0,2386.0,6.0,1.0,2778.0,6.0,1.0,995.0,4133.0,5128.0,0.0,0.0,16.0,6.0,16.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,3893.0,3893.0,0.0,762897.0,1154.0,764051.0
Ventura,3686.0,23.0,0.0,27837.0,281.0,75.0,31523.0,304.0,75.0,9260.0,55829.0,65089.0,46.0,28.0,638.0,284.0,684.0,312.0,0.0,94.0,94.0,0.0,0.0,0.0,34332.0,34332.0,0.0,9631214.72,47309.39,9678524.11
Yolo,976.0,33.0,1.0,6668.0,108.0,75.0,7644.0,141.0,76.0,2486.0,13788.0,16274.0,86.0,51.0,277.0,143.0,363.0,194.0,1.0,97.0,98.0,0.0,0.0,0.0,8486.0,8486.0,0.0,2453528.0,39950.0,2493478.0
Yuba,978.0,5.0,0.0,4760.0,22.0,5.0,5738.0,27.0,5.0,2600.0,10249.0,12849.0,7.0,5.0,61.0,25.0,68.0,30.0,0.0,5.0,5.0,0.0,0.0,0.0,8095.0,8095.0,0.0,1923290.0,5276.0,1928566.0
