,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
Monterey,3995.0,20.0,1.0,15621.0,150.0,21.0,19616.0,170.0,22.0,9948.0,35136.0,45084.0,57.0,22.0,448.0,168.0,505.0,190.0,3.0,27.0,30.0,0.0,0.0,0.0,20827.0,20827.0,0.0,6568292.0,30303.0,6598595.0
Napa,480.0,8.0,2.0,2923.0,51.0,6.0,3403.0,59.0,8.0,1147.0,5972.0,7119.0,19.0,9.0,148.0,58.0,167.0,67.0,2.0,7.0,9.0,0.0,0.0,0.0,3839.0,3839.0,0.0,1069922.0,9562.0,1079484.0
Nevada,481.0,1.0,0.0,3145.0,8.0,2.0,3626.0,9.0,2.0,1240.0,5774.0,7014.0,3.0,1.0,17.0,9.0,20.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,3888.0,3888.0,0.0,1068929.0,1748.0,1070677.0
Orange,13438.0,174.0,2.0,80456.0,1895.0,723.0,93894.0,2069.0,725.0,33937.0,174844.0,208781.0,397.0,233.0,4443.0,2392.0,4840.0,2625.0,3.0,957.0,960.0,0.0,0.0,0.0,103486.0,103486.0,0.0,30822347.0,404917.0,31227264.0
Placer,1036.0,7.0,0.0,7091.0,40.0,19.0,8127.0,47.0,19.0,2595.0,15145.0,17740.0,19.0,10.0,104.0,48.0,123.0,58.0,0.0,23.0,23.0,0.0,0.0,0.0,8832.0,8832.0,0.0,2562262.33,9901.0,2572163.33
Plumas,115.0,0.0,0.0,638.0,0.0,0.0,753.0,0.0,0.0,322.0,1335.0,1657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,806.0,0.0,238116.0,0.0,238116.0
Riverside,19493.0,174.0,5.0,86198.0,1244.0,264.0,105691.0,1418.0,269.0,53459.0,204476.0,257935.0,454.0,193.0,3741.0,1384.0,4195.0,1577.0,6.0,322.0,328.0,0.0,0.0,0.0,113566.0,113566.0,0.0,37441367.0,244081.0,37685448.0
Sacramento,17674.0,389.0,7.0,70545.0,929.0,417.0,88219.0,1318.0,424.0,44804.0,152945.0,197749.0,875.0,568.0,2413.0,1249.0,3288.0,1817.0,8.0,554.0,562.0,0.0,0.0,0.0,95908.0,95908.0,0.0,30813840.07,308865.77,31122705.84
San Benito,424.0,5.0,0.0,2177.0,29.0,4.0,2601.0,34.0,4.0,1124.0,4947.0,6071.0,13.0,5.0,77.0,30.0,90.0,35.0,0.0,6.0,6.0,0.0,0.0,0.0,2768.0,2768.0,0.0,871260.0,4858.0,876118.0
San Bernardino,28322.0,162.0,4.0,120058.0,993.0,292.0,148380.0,1155.0,296.0,76463.0,276671.0,353134.0,418.0,184.0,2780.0,1113.0,3198.0,1297.0,4.0,378.0,382.0,0.0,0.0,0.0,158938.0,158938.0,0.0,52237879.0,217402.0,52455281.0
San Diego  a/,17681.0,387.0,1.0,90685.0,1785.0,702.0,108366.0,2172.0,703.0,48352.0,188739.0,237091.0,933.0,517.0,4583.0,2084.0,5516.0,2601.0,1.0,900.0,901.0,0.0,0.0,0.0,121534.0,121534.0,0.0,36255718.0,429787.0,36685505.0
San Francisco,2904.0,170.0,2.0,28743.0,605.0,633.0,31647.0,775.0,635.0,6322.0,41539.0,47861.0,318.0,198.0,1129.0,832.0,1447.0,1030.0,2.0,876.0,878.0,0.0,0.0,0.0,34996.0,34996.0,0.0,7671958.36,239924.55,7911882.91
San Joaquin,9526.0,77.0,0.0,33529.0,473.0,100.0,43055.0,550.0,100.0,24459.0,80758.0,105217.0,175.0,86.0,1375.0,562.0,1550.0,648.0,0.0,160.0,160.0,0.0,0.0,0.0,46525.0,46525.0,0.0,15810256.0,104737.0,15914993.0
San Luis Obispo,1208.0,6.0,1.0,7694.0,55.0,12.0,8902.0,61.0,13.0,2974.0,14344.0,17318.0,13.0,6.0,141.0,60.0,154.0,66.0,1.0,13.0,14.0,0.0,0.0,0.0,9963.0,9963.0,0.0,2536274.0,7530.0,2543804.0
San Mateo,1900.0,59.0,0.0,11033.0,366.0,121.0,12933.0,425.0,121.0,4757.0,21507.0,26264.0,134.0,70.0,905.0,434.0,1039.0,504.0,0.0,156.0,156.0,0.0,0.0,0.0,14539.0,14539.0,0.0,4025610.96,73849.04,4099460.0
Santa Barbara,2947.0,7.0,0.0,11468.0,85.0,12.0,14415.0,92.0,12.0,7250.0,25237.0,32487.0,15.0,7.0,268.0,92.0,283.0,99.0,0.0,19.0,19.0,0.0,0.0,0.0,15971.0,15971.0,0.0,4715152.8,11346.2,4726499.0
Santa Clara,7675.0,122.0,0.0,40033.0,762.0,695.0,47708.0,884.0,695.0,18662.0,83315.0,101977.0,234.0,152.0,1620.0,1049.0,1854.0,1201.0,0.0,1051.0,1051.0,0.0,0.0,0.0,54251.0,54251.0,0.0,15760505.0,310104.0,16070609.0
Santa Cruz,1392.0,3.0,0.0,9841.0,65.0,10.0,11233.0,68.0,10.0,3356.0,18807.0,22163.0,6.0,4.0,174.0,74.0,180.0,78.0,0.0,10.0,10.0,0.0,0.0,0.0,12851.0,12851.0,0.0,3364280.0,9053.0,3373333.0
Shasta,1803.0,5.0,0.0,10751.0,19.0,14.0,12554.0,24.0,14.0,4553.0,20572.0,25125.0,14.0,5.0,39.0,23.0,53.0,28.0,0.0,22.0,22.0,0.0,0.0,0.0,13483.0,13483.0,0.0,3625248.0,6365.0,3631613.0
Sierra,22.0,0.0,0.0,132.0,0.0,0.0,154.0,0.0,0.0,65.0,228.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.0,40697.0,0.0,40697.0
Siskiyou,457.0,1.0,0.0,2250.0,5.0,1.0,2707.0,6.0,1.0,1242.0,4854.0,6096.0,4.0,1.0,9.0,5.0,13.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2892.0,2892.0,0.0,888092.0,729.0,888821.0
Solano,3354.0,28.0,1.0,16199.0,140.0,36.0,19553.0,168.0,37.0,8122.0,31288.0,39410.0,57.0,31.0,385.0,162.0,442.0,193.0,1.0,46.0,47.0,0.0,0.0,0.0,21523.0,21523.0,0.0,6104650.24,29992.02,6134642.26
Sonoma,2372.0,43.0,1.0,15511.0,212.0,53.0,17883.0,255.0,54.0,5665.0,27487.0,33152.0,99.0,43.0,558.0,240.0,657.0,283.0,1.0,65.0,66.0,0.0,0.0,0.0,19569.0,19569.0,0.0,5117651.06,38121.94,5155773.0
Stanislaus,7270.0,24.0,1.0,32196.0,126.0,28.0,39466.0,150.0,29.0,19233.0,68628.0,87861.0,55.0,28.0,351.0,140.0,406.0,168.0,1.0,39.0,40.0,0.0,0.0,0.0,41563.0,41563.0,0.0,12783622.0,26622.0,12810244.0
Sutter,861.0,10.0,0.0,4038.0,45.0,5.0,4899.0,55.0,5.0,2406.0,9418.0,11824.0,20.0,12.0,127.0,53.0,147.0,65.0,0.0,7.0,7.0,0.0,0.0,0.0,5237.0,5237.0,0.0,1701844.48,8806.0,1710650.48
Tehama,785.0,3.0,1.0,3405.0,18.0,4.0,4190.0,21.0,5.0,2143.0,7667.0,9810.0,9.0,3.0,57.0,26.0,66.0,29.0,2.0,5.0,7.0,0.0,0.0,0.0,4614.0,4614.0,0.0,1427465.0,4008.0,1431473.0
Trinity,98.0,0.0,0.0,671.0,1.0,1.0,769.0,1.0,1.0,243.0,1311.0,1554.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,830.0,830.0,0.0,231013.0,534.0,231547.0
Tulare,9139.0,67.0,1.0,34701.0,562.0,139.0,43840.0,629.0,140.0,24839.0,83284.0,108123.0,161.0,70.0,1673.0,632.0,1834.0,702.0,1.0,169.0,170.0,0.0,0.0,0.0,47275.0,47275.0,0.0,15985512.0,98539.0,16084051.0
Tuolumne,370.0,1.0,0.0,2388.0,7.0,1.0,2758.0,8.0,1.0,932.0,4221.0,5153.0,2.0,1.0,16.0,7.0,18.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2971.0,2971.0,0.0,761589.0,1365.0,762954.0
Ventura,3705.0,20.0,0.0,22647.0,210.0,59.0,26352.0,230.0,59.0,9298.0,54600.0,63898.0,39.0,26.0,557.0,233.0,596.0,259.0,0.0,72.0,72.0,0.0,0.0,0.0,33502.0,33502.0,0.0,9420128.64,38671.84,9458800.48
Yolo,1064.0,37.0,2.0,6451.0,127.0,71.0,7515.0,164.0,73.0,2752.0,13506.0,16258.0,81.0,59.0,345.0,154.0,426.0,213.0,4.0,91.0,95.0,0.0,0.0,0.0,8362.0,8362.0,0.0,2447267.0,41383.0,2488650.0
Yuba,1023.0,5.0,0.0,4714.0,29.0,8.0,5737.0,34.0,8.0,2689.0,10227.0,12916.0,12.0,5.0,90.0,33.0,102.0,38.0,0.0,9.0,9.0,0.0,0.0,0.0,6238.0,6238.0,0.0,1934578.0,6600.0,1941178.0
