county,req_exped_service_adjustment,req_exped_service_pend_prev_qtr,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_5_days,req_exped_service_disposed_entitled_pacf_over_5_days,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_5_days,req_exped_service_disposed_entitled_nacf_over_5_days,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_tot_hh_fail_complete_app_process,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,year,month,quarter,fulldate
Monterey,-7.0,49.0,1258.0,1307.0,1281.0,553.0,76.0,2.0,5.0,447.0,7.0,16.0,728.0,71.0,657.0,26.0,5.0,1.0,4.0,2003,JAN,1.0,2003-01-01
Napa,\N,6.0,349.0,355.0,345.0,97.0,0.0,0.0,0.0,89.0,1.0,7.0,248.0,45.0,203.0,10.0,8.0,0.0,8.0,2003,JAN,1.0,2003-01-01
Nevada,-2.0,92.0,76.0,168.0,67.0,49.0,3.0,2.0,2.0,33.0,2.0,7.0,18.0,4.0,14.0,101.0,1.0,0.0,1.0,2003,JAN,1.0,2003-01-01
Orange,\N,18.0,762.0,780.0,761.0,628.0,95.0,0.0,1.0,530.0,1.0,1.0,133.0,20.0,113.0,19.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Placer,\N,45.0,370.0,415.0,370.0,220.0,37.0,0.0,3.0,177.0,2.0,1.0,150.0,33.0,117.0,45.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Plumas,\N,0.0,35.0,35.0,35.0,19.0,1.0,0.0,0.0,18.0,0.0,0.0,16.0,1.0,15.0,0.0,4.0,0.0,4.0,2003,JAN,1.0,2003-01-01
Riverside,\N,21.0,5027.0,5048.0,5024.0,1346.0,273.0,42.0,0.0,933.0,87.0,11.0,3678.0,561.0,3117.0,24.0,38.0,1.0,37.0,2003,JAN,1.0,2003-01-01
Sacramento,\N,291.0,4859.0,5150.0,4627.0,1748.0,317.0,5.0,11.0,1323.0,50.0,42.0,2879.0,1761.0,1118.0,523.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
San Benito,\N,0.0,104.0,104.0,103.0,89.0,28.0,1.0,2.0,55.0,3.0,0.0,14.0,0.0,14.0,1.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
San Bernardino,\N,0.0,7142.0,7142.0,7142.0,5399.0,1504.0,88.0,240.0,2988.0,170.0,409.0,1743.0,784.0,959.0,0.0,149.0,78.0,71.0,2003,JAN,1.0,2003-01-01
San Diego,\N,30.0,8138.0,8168.0,8134.0,1854.0,144.0,1.0,6.0,1640.0,22.0,41.0,6280.0,2763.0,3517.0,34.0,6.0,3.0,3.0,2003,JAN,1.0,2003-01-01
San Francisco,\N,1398.0,4299.0,5697.0,4293.0,1898.0,68.0,1.0,0.0,1827.0,0.0,2.0,2395.0,0.0,2395.0,1404.0,8.0,1.0,7.0,2003,JAN,1.0,2003-01-01
San Joaquin,\N,5.0,183.0,188.0,182.0,155.0,49.0,5.0,11.0,79.0,2.0,9.0,27.0,8.0,19.0,6.0,3.0,0.0,3.0,2003,JAN,1.0,2003-01-01
San Luis Obispo,\N,3035.0,510.0,3545.0,486.0,254.0,77.0,1.0,1.0,171.0,1.0,3.0,232.0,63.0,169.0,3059.0,1.0,1.0,0.0,2003,JAN,1.0,2003-01-01
San Mateo,\N,6.0,570.0,576.0,567.0,557.0,364.0,3.0,17.0,150.0,5.0,18.0,10.0,2.0,8.0,9.0,56.0,4.0,52.0,2003,JAN,1.0,2003-01-01
Santa Barbara,\N,0.0,1249.0,1249.0,1248.0,330.0,64.0,1.0,0.0,244.0,4.0,17.0,918.0,218.0,700.0,1.0,1.0,1.0,0.0,2003,JAN,1.0,2003-01-01
Santa Clara,\N,445.0,5367.0,5812.0,4768.0,550.0,152.0,6.0,12.0,267.0,9.0,104.0,4218.0,727.0,3491.0,1044.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Santa Cruz,\N,93.0,1292.0,1385.0,1170.0,460.0,29.0,2.0,1.0,199.0,24.0,205.0,710.0,43.0,667.0,215.0,6.0,6.0,0.0,2003,JAN,1.0,2003-01-01
Shasta,\N,181.0,453.0,634.0,430.0,355.0,23.0,1.0,4.0,309.0,3.0,15.0,75.0,4.0,71.0,204.0,6.0,0.0,6.0,2003,JAN,1.0,2003-01-01
Sierra,\N,0.0,7.0,7.0,7.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Siskiyou,-8.0,3.0,195.0,198.0,187.0,128.0,18.0,0.0,1.0,101.0,7.0,1.0,59.0,5.0,54.0,11.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Solano,\N,0.0,660.0,660.0,660.0,623.0,57.0,7.0,12.0,498.0,34.0,15.0,37.0,0.0,37.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Sonoma,\N,16.0,1487.0,1503.0,1491.0,895.0,111.0,2.0,1.0,747.0,18.0,16.0,596.0,293.0,303.0,12.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Stanislaus,\N,0.0,327.0,327.0,327.0,154.0,24.0,5.0,2.0,94.0,23.0,6.0,173.0,55.0,118.0,0.0,9.0,7.0,2.0,2003,JAN,1.0,2003-01-01
Sutter,\N,14.0,216.0,230.0,212.0,109.0,25.0,2.0,1.0,71.0,3.0,7.0,103.0,24.0,79.0,18.0,1.0,0.0,1.0,2003,JAN,1.0,2003-01-01
Tehama,\N,2.0,400.0,402.0,399.0,183.0,22.0,5.0,0.0,127.0,14.0,15.0,216.0,110.0,106.0,3.0,6.0,0.0,6.0,2003,JAN,1.0,2003-01-01
Trinity,\N,13.0,54.0,67.0,48.0,43.0,4.0,0.0,0.0,35.0,2.0,2.0,5.0,0.0,5.0,19.0,16.0,0.0,16.0,2003,JAN,1.0,2003-01-01
Tulare,\N,652.0,889.0,1541.0,901.0,488.0,82.0,1.0,1.0,385.0,12.0,7.0,413.0,76.0,337.0,640.0,2.0,2.0,0.0,2003,JAN,1.0,2003-01-01
Tuolumne,\N,7.0,348.0,355.0,349.0,129.0,12.0,1.0,2.0,109.0,2.0,3.0,220.0,65.0,155.0,6.0,1.0,0.0,1.0,2003,JAN,1.0,2003-01-01
Ventura,\N,374.0,1426.0,1800.0,1443.0,911.0,2.0,0.0,1.0,652.0,155.0,101.0,532.0,2.0,530.0,357.0,104.0,19.0,85.0,2003,JAN,1.0,2003-01-01
Yolo,\N,0.0,417.0,417.0,417.0,358.0,71.0,0.0,1.0,241.0,18.0,27.0,59.0,1.0,58.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Yuba,\N,33.0,346.0,379.0,335.0,256.0,50.0,1.0,6.0,183.0,8.0,8.0,79.0,10.0,69.0,44.0,9.0,0.0,9.0,2003,JAN,1.0,2003-01-01
