county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Solano,216.0,222.0,-6.0,866.0,1082.0,129.0,47.0,22.0,4.0,21.0,648.0,286.0,161.0,19.0,106.0,777.0,333.0,183.0,23.0,127.0,82.0,362.0,444.0,305.0,0.0,4.0,4.0,2005,OCT,4.0,2005-10-01
Sonoma,156.0,342.0,-186.0,2106.0,2262.0,153.0,76.0,20.0,15.0,41.0,1694.0,666.0,398.0,132.0,136.0,1847.0,742.0,418.0,147.0,177.0,77.0,1028.0,1105.0,415.0,0.0,21.0,21.0,2005,OCT,4.0,2005-10-01
Stanislaus,45.0,45.0,0.0,243.0,288.0,12.0,2.0,2.0,0.0,0.0,240.0,139.0,139.0,0.0,0.0,252.0,141.0,141.0,0.0,0.0,10.0,101.0,111.0,36.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Sutter,15.0,15.0,0.0,216.0,231.0,31.0,10.0,8.0,1.0,1.0,191.0,106.0,92.0,6.0,8.0,222.0,116.0,100.0,7.0,9.0,21.0,85.0,106.0,9.0,0.0,1.0,1.0,2005,OCT,4.0,2005-10-01
Tehama,7.0,7.0,0.0,422.0,429.0,145.0,39.0,35.0,2.0,2.0,274.0,130.0,114.0,6.0,10.0,419.0,169.0,149.0,8.0,12.0,106.0,144.0,250.0,10.0,0.0,3.0,3.0,2005,OCT,4.0,2005-10-01
Trinity,37.0,37.0,0.0,56.0,93.0,5.0,5.0,4.0,0.0,1.0,50.0,50.0,50.0,0.0,0.0,55.0,55.0,54.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,14.0,14.0,2005,OCT,4.0,2005-10-01
Tulare,706.0,706.0,0.0,1241.0,1947.0,48.0,25.0,21.0,4.0,0.0,1203.0,873.0,818.0,44.0,11.0,1251.0,898.0,839.0,48.0,11.0,23.0,330.0,353.0,696.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Tuolumne,9.0,9.0,0.0,417.0,426.0,97.0,9.0,8.0,1.0,0.0,324.0,136.0,130.0,1.0,5.0,421.0,145.0,138.0,2.0,5.0,88.0,188.0,276.0,5.0,0.0,2.0,2.0,2005,OCT,4.0,2005-10-01
Ventura,1582.0,1582.0,0.0,1850.0,3432.0,4.0,4.0,0.0,0.0,4.0,1781.0,1150.0,814.0,270.0,66.0,1785.0,1154.0,814.0,270.0,70.0,0.0,631.0,631.0,1647.0,11.0,105.0,116.0,2005,OCT,4.0,2005-10-01
Yolo,28.0,28.0,0.0,326.0,354.0,14.0,9.0,4.0,2.0,3.0,285.0,186.0,169.0,10.0,7.0,299.0,195.0,173.0,12.0,10.0,5.0,99.0,104.0,55.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Yuba,15.0,15.0,0.0,742.0,757.0,227.0,41.0,38.0,1.0,2.0,512.0,204.0,183.0,12.0,9.0,739.0,245.0,221.0,13.0,11.0,186.0,308.0,494.0,18.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
