Mariposa,,,b. ,Found not entitled to ES…………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………………………………………………………………………………..….,,,,,,,,,,,,,,,38.0,1654.0,39.0,65086.0,40.0,66740.0
Mendocino,,PART C.  CERTIFIED CASELOAD MOVEMENT,,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Merced,,4.,Cases brought forward at the beginning of the month……………………..…………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………..………………………………………………………………………………………...…………………...………………..,,,,,,,,,,,,,,,,41.0,236757.0,42.0,1621899.0,43.0,1858656.0
Modoc,,,a. ,"Item 8 from last month's report, as reported to CDSS………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...………………………………………….……………………………………………………………………………………………………………..………..",,,,,,,,,,,,,,,44.0,238123.0,45.0,1632788.0,46.0,1870911.0
Mono,,,b. ,"Adjustment (Item 4 minus Item 4a, positive or negative number, explain in the Item 4b Adjustment Explanation box)…………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………………………………………………………….",,,,,,,,,,,,,,,47.0,-1366.0,48.0,-10889.0,49.0,-12255.0
Riverside,,5.,"Cases added during the month (Sum of Items 5a through 5e, positive or negative number)………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………………………………………………………………..",,,,,,,,,,,,,,,,50.0,10351.0,51.0,152748.0,52.0,163099.0
Sacramento,,,,,,,PACF,,,,,,NACF,,,,,,,,,,,
San Benito,,,,,,,Federal,,Fed/State,,State,,Federal,,Fed/State,,State,,,,,,,
San Bernardino,,,a.,Applications approved………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..……………………………………………………………………………………………………………………………………………………………...…………..,,,53.0,5990.0,54.0,145.0,55.0,16.0,56.0,85671.0,57.0,889.0,58.0,728.0,59.0,6151.0,60.0,87288.0,61.0,93439.0
San Diego,,,b.,Change in assistance status from PACF or NACF………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..…………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………...…………………………………………………………………………….,,,,,,,,,,,,,,,62.0,-4451.0,63.0,4451.0,64.0,0.0
San Francisco,,,c.  ,Inter-County Transfers ………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..……………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………………………………………………………...……….,,,,,,,,,,,,,,,65.0,439.0,66.0,2467.0,67.0,2906.0
San Joaquin,,,d.,Cases with eligibility reinstated and benefits pro-rated during the month……………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..……………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………………………………………………………………..,,,,,,,,,,,,,,,68.0,1106.0,69.0,14187.0,70.0,15293.0
San Luis Obispo,,,e.,Other approvals……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………………………………………………………………………………………………………………………………………………….……………..….,,,,,,,,,,,,,,,71.0,7106.0,72.0,44355.0,73.0,51461.0
San Mateo,,6.  ,Total cases open during the month (Certified eligible to participate during the month),,,,,,,,,,,,,,,,,,,,,
Santa Barbara,,,(Item 4 plus Item 5; also sum of Items 6a through 6c)…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………………………………….………………………………..,,,,,,,,,,,,,,,,74.0,247108.0,75.0,1774647.0,76.0,2021755.0
Santa Clara,,,a.,Pure federal cases………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….…….……………….,,,,,,,,,,,,,,,77.0,242057.0,78.0,1742945.0,79.0,1985002.0
Santa Cruz,,,,1),Federal persons in Item 6a cases,,,,,,,,Federal Persons,,State Persons,,,,,,,,,
Shasta,,,,,plus federal persons in Item 6b cases……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….……,,,,,,,,80.0,4126796.0,Singles,,Families,,,,,,,
Sierra,,,b.,Federal/State combined cases…………………………………………………………………….……………………………………………………………………,,,,,,,,,,,81.0,2638.0,82.0,31205.0,83.0,4763.0,84.0,21254.0,85.0,26017.0
Siskiyou,,,c.,Pure state cases……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...……………………………………………………………………………………………………………………………………………………………………….……..,,,,,,,,,,,86.0,13024.0,87.0,1133.0,88.0,288.0,89.0,10448.0,90.0,10736.0
Solano,,7.  ,Cases discontinued during the month……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….………………………………………………………………………..,,,,,,,,,,,,,,,,91.0,12364.0,92.0,147039.0,93.0,159403.0
Sonoma,,,a.  ,Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only)…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…..,,,,,,,,,,,,,,,94.0,77.0,95.0,784.0,96.0,861.0
Stanislaus,,8.  ,Cases brought forward at the end of the month (Item 6 minus Item 7)…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………..,,,,,,,,,,,,,,,,97.0,234744.0,98.0,1627608.0,99.0,1862352.0
Sutter,,PART D.  RECERTIFICATIONS,,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Tehama,,9.,Recertifications disposed of during the month (Item 9a plus Item 9b)………………………………………………………………………………………………………………………,,,,,,,,,,,,,,,,100.0,17273.0,101.0,79665.0,102.0,96938.0
Trinity,,,,,,,PACF,,,,,,NACF,,,,,,,,,,,
Tulare,,,,,,,Federal,,Fed/State,,State,,Federal,,Fed/State,,State,,,,,,,
Tuolumne,,,a.,Determined continuing eligible………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….…..,,,103.0,16603.0,104.0,336.0,105.0,4.0,106.0,73953.0,107.0,1105.0,108.0,274.0,109.0,16943.0,110.0,75332.0,111.0,92275.0
Ventura,,,b.,Determined ineligible………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………,,,112.0,320.0,113.0,9.0,114.0,1.0,115.0,4186.0,116.0,113.0,117.0,34.0,118.0,330.0,119.0,4333.0,120.0,4663.0
Yolo,,10.,Overdue recertifications (CWD caused) during the month…………………………………………………………………………………………………………………………………………………………………………………………,,,,,,,,,,,,,,,,121.0,34.0,122.0,158.0,123.0,192.0
Yuba,,COMMENTS  a/,,,,,,,,,,,,,,,,,,,,,,
,,Now revising:  Fresno,,,,,,,,,,,,,,,,,,,,,,
