August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,Part B,,Part B,,,,,,Part B,,,,,,Part B,,,,PART C,,PART C,,,,,,PART C,,,,,,PART C,,,,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,,PART D,,,,PART D,,,,,,,,PART D,,,PART D,,,,,,,,PART D,
Contra Costa  a/,2714.0,759.0,2309.0,1199.0,4.0,52.0,56.0,1.0,974.0,975.0,1.0,966.0,967.0,0.0,8.0,8.0,0.0,66.0,66.0,0.0,135.0,135.0,58.0,1349.0,1407.0,36.0,546.0,582.0,34.0,540.0,574.0,2.0,6.0,8.0,0.0,0.0,0.0,22.0,803.0,825.0,3902.0,26876.0,30778.0,3878.0,26680.0,30558.0,24.0,196.0,220.0,175.0,3014.0,3189.0,104.0,4.0,0.0,1065.0,22.0,4.0,108.0,1091.0,1199.0,-114.0,114.0,0.0,15.0,78.0,93.0,15.0,47.0,62.0,151.0,1684.0,1835.0,4077.0,29890.0,33967.0,3974.0,29367.0,33341.0,67846.0,37.0,624.0,102.0,367.0,469.0,198.0,12.0,1.0,156.0,157.0,207.0,3215.0,3422.0,0.0,0.0,0.0,3870.0,26675.0,30545.0,320.0,1464.0,1784.0,314.0,5.0,0.0,1407.0,22.0,7.0,319.0,1436.0,1755.0,1.0,0.0,0.0,27.0,1.0,0.0,1.0,28.0,29.0,1.0,5.0,6.0,
Del Norte,171.0,20.0,174.0,94.0,0.0,1.0,1.0,0.0,70.0,70.0,0.0,26.0,26.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,166.0,172.0,2.0,65.0,67.0,2.0,62.0,64.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,101.0,105.0,371.0,2034.0,2405.0,371.0,2034.0,2405.0,0.0,0.0,0.0,20.0,186.0,206.0,6.0,0.0,0.0,88.0,0.0,0.0,6.0,88.0,94.0,-4.0,4.0,0.0,2.0,1.0,3.0,2.0,20.0,22.0,14.0,73.0,87.0,391.0,2220.0,2611.0,391.0,2219.0,2610.0,5322.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,201.0,219.0,0.0,0.0,0.0,373.0,2019.0,2392.0,31.0,109.0,140.0,31.0,0.0,0.0,103.0,1.0,0.0,31.0,104.0,135.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,
El Dorado,559.0,97.0,586.0,349.0,1.0,8.0,9.0,0.0,212.0,212.0,0.0,78.0,78.0,0.0,134.0,134.0,0.0,2.0,2.0,0.0,25.0,25.0,12.0,574.0,586.0,7.0,255.0,262.0,6.0,251.0,257.0,1.0,3.0,4.0,0.0,1.0,1.0,5.0,319.0,324.0,519.0,6168.0,6687.0,519.0,6168.0,6687.0,0.0,0.0,0.0,32.0,567.0,599.0,12.0,1.0,0.0,334.0,2.0,0.0,13.0,336.0,349.0,9.0,-9.0,0.0,2.0,34.0,36.0,1.0,57.0,58.0,7.0,149.0,156.0,551.0,6735.0,7286.0,549.0,6694.0,7243.0,12861.0,2.0,40.0,2.0,33.0,35.0,9.0,0.0,0.0,8.0,8.0,39.0,686.0,725.0,0.0,0.0,0.0,512.0,6049.0,6561.0,23.0,270.0,293.0,23.0,0.0,0.0,268.0,2.0,0.0,23.0,270.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fresno,5009.0,2008.0,4767.0,3330.0,26.0,117.0,143.0,1.0,1341.0,1342.0,1.0,1335.0,1336.0,0.0,6.0,6.0,1.0,261.0,262.0,0.0,95.0,95.0,54.0,3882.0,3936.0,31.0,1618.0,1649.0,29.0,1560.0,1589.0,2.0,44.0,46.0,0.0,14.0,14.0,23.0,2264.0,2287.0,12183.0,78385.0,90568.0,11676.0,75225.0,86901.0,507.0,3160.0,3667.0,58.0,3385.0,3443.0,251.0,3.0,0.0,3015.0,28.0,33.0,254.0,3076.0,3330.0,-210.0,210.0,0.0,8.0,29.0,37.0,0.0,18.0,18.0,6.0,52.0,58.0,12241.0,81770.0,94011.0,12044.0,80882.0,92926.0,216656.0,65.0,925.0,181.0,673.0,854.0,262.0,36.0,16.0,215.0,231.0,609.0,6662.0,7271.0,0.0,42.0,42.0,11632.0,75108.0,86740.0,1063.0,5870.0,6933.0,959.0,21.0,2.0,4947.0,46.0,10.0,982.0,5003.0,5985.0,81.0,0.0,0.0,855.0,10.0,2.0,81.0,867.0,948.0,8.0,45.0,53.0,
Glenn,109.0,16.0,108.0,66.0,0.0,1.0,1.0,0.0,34.0,34.0,0.0,9.0,9.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,106.0,108.0,0.0,41.0,41.0,0.0,35.0,35.0,0.0,1.0,1.0,0.0,5.0,5.0,2.0,65.0,67.0,222.0,1275.0,1497.0,222.0,1275.0,1497.0,0.0,0.0,0.0,-2.0,111.0,109.0,2.0,0.0,0.0,64.0,0.0,0.0,2.0,64.0,66.0,-10.0,10.0,0.0,1.0,2.0,3.0,0.0,10.0,10.0,5.0,25.0,30.0,220.0,1386.0,1606.0,219.0,1375.0,1594.0,3738.0,0.0,12.0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,108.0,115.0,0.0,0.0,0.0,213.0,1278.0,1491.0,23.0,62.0,85.0,23.0,0.0,0.0,60.0,1.0,0.0,23.0,61.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Humboldt,1323.0,303.0,1167.0,633.0,1.0,2.0,3.0,1.0,490.0,491.0,1.0,155.0,156.0,0.0,335.0,335.0,0.0,5.0,5.0,0.0,43.0,43.0,23.0,948.0,971.0,19.0,449.0,468.0,19.0,430.0,449.0,0.0,16.0,16.0,0.0,3.0,3.0,4.0,499.0,503.0,879.0,10682.0,11561.0,879.0,10682.0,11561.0,0.0,0.0,0.0,54.0,1113.0,1167.0,21.0,0.0,0.0,609.0,1.0,2.0,21.0,612.0,633.0,0.0,0.0,0.0,4.0,25.0,29.0,2.0,102.0,104.0,27.0,374.0,401.0,933.0,11795.0,12728.0,933.0,11757.0,12690.0,21483.0,9.0,25.0,0.0,29.0,29.0,8.0,3.0,0.0,9.0,9.0,50.0,1263.0,1313.0,0.0,0.0,0.0,883.0,10532.0,11415.0,61.0,460.0,521.0,61.0,0.0,0.0,453.0,2.0,1.0,61.0,456.0,517.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,
Imperial,1396.0,166.0,1328.0,907.0,0.0,27.0,27.0,0.0,372.0,372.0,0.0,201.0,201.0,0.0,171.0,171.0,0.0,12.0,12.0,0.0,49.0,49.0,52.0,1275.0,1327.0,40.0,520.0,560.0,37.0,476.0,513.0,3.0,28.0,31.0,0.0,16.0,16.0,12.0,755.0,767.0,2201.0,14332.0,16533.0,2201.0,14333.0,16534.0,0.0,-1.0,-1.0,115.0,1229.0,1344.0,69.0,0.0,0.0,813.0,21.0,4.0,69.0,838.0,907.0,-17.0,17.0,0.0,3.0,10.0,13.0,7.0,111.0,118.0,53.0,253.0,306.0,2316.0,15561.0,17877.0,2284.0,15182.0,17466.0,42928.0,33.0,354.0,28.0,322.0,350.0,60.0,9.0,4.0,57.0,61.0,97.0,1009.0,1106.0,0.0,0.0,0.0,2219.0,14552.0,16771.0,160.0,945.0,1105.0,160.0,0.0,0.0,909.0,25.0,2.0,160.0,936.0,1096.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,
Inyo,64.0,7.0,70.0,40.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,69.0,70.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,45.0,93.0,908.0,1001.0,93.0,908.0,1001.0,0.0,0.0,0.0,1.0,70.0,71.0,1.0,0.0,0.0,39.0,0.0,0.0,1.0,39.0,40.0,-4.0,4.0,0.0,0.0,4.0,4.0,1.0,9.0,10.0,3.0,14.0,17.0,94.0,978.0,1072.0,93.0,972.0,1065.0,2061.0,1.0,6.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,1.0,7.0,87.0,94.0,0.0,0.0,0.0,87.0,891.0,978.0,9.0,35.0,44.0,8.0,0.0,1.0,34.0,0.0,0.0,9.0,34.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Kern,6746.0,2016.0,6433.0,4097.0,5.0,53.0,58.0,1.0,2033.0,2034.0,1.0,972.0,973.0,0.0,1061.0,1061.0,0.0,35.0,35.0,0.0,302.0,302.0,189.0,6242.0,6431.0,127.0,2499.0,2626.0,120.0,2325.0,2445.0,4.0,127.0,131.0,3.0,47.0,50.0,62.0,3743.0,3805.0,9632.0,56397.0,66029.0,9633.0,56399.0,66032.0,-1.0,-2.0,-3.0,436.0,5486.0,5922.0,245.0,1.0,0.0,3798.0,32.0,21.0,246.0,3851.0,4097.0,-38.0,38.0,0.0,14.0,72.0,86.0,68.0,416.0,484.0,146.0,1109.0,1255.0,10068.0,61883.0,71951.0,10005.0,60861.0,70866.0,165160.0,54.0,864.0,62.0,777.0,839.0,311.0,18.0,1.0,245.0,246.0,444.0,5628.0,6072.0,0.0,2.0,2.0,9624.0,56255.0,65879.0,620.0,2571.0,3191.0,616.0,2.0,0.0,2453.0,23.0,11.0,618.0,2487.0,3105.0,2.0,0.0,0.0,81.0,3.0,0.0,2.0,84.0,86.0,0.0,0.0,0.0,
Kings,931.0,143.0,992.0,651.0,1.0,2.0,3.0,0.0,300.0,300.0,0.0,167.0,167.0,0.0,133.0,133.0,0.0,6.0,6.0,0.0,41.0,41.0,45.0,947.0,992.0,24.0,391.0,415.0,24.0,374.0,398.0,0.0,9.0,9.0,0.0,8.0,8.0,21.0,556.0,577.0,1371.0,8675.0,10046.0,1371.0,8675.0,10046.0,0.0,0.0,0.0,80.0,855.0,935.0,47.0,0.0,0.0,593.0,8.0,3.0,47.0,604.0,651.0,0.0,0.0,0.0,0.0,13.0,13.0,9.0,66.0,75.0,24.0,172.0,196.0,1451.0,9530.0,10981.0,1434.0,9395.0,10829.0,24636.0,14.0,116.0,14.0,111.0,125.0,31.0,2.0,3.0,24.0,27.0,53.0,811.0,864.0,0.0,0.0,0.0,1398.0,8719.0,10117.0,105.0,413.0,518.0,104.0,1.0,0.0,405.0,5.0,0.0,105.0,410.0,515.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,
Lake,471.0,74.0,420.0,302.0,1.0,11.0,12.0,0.0,89.0,89.0,0.0,27.0,27.0,0.0,62.0,62.0,0.0,5.0,5.0,0.0,29.0,29.0,16.0,404.0,420.0,11.0,194.0,205.0,9.0,166.0,175.0,0.0,15.0,15.0,2.0,13.0,15.0,5.0,210.0,215.0,577.0,5587.0,6164.0,577.0,5587.0,6164.0,0.0,0.0,0.0,19.0,536.0,555.0,18.0,0.0,0.0,283.0,1.0,0.0,18.0,284.0,302.0,-17.0,17.0,0.0,2.0,16.0,18.0,1.0,9.0,10.0,15.0,210.0,225.0,596.0,6123.0,6719.0,592.0,6089.0,6681.0,12517.0,2.0,29.0,4.0,25.0,29.0,11.0,0.0,0.0,9.0,9.0,41.0,588.0,629.0,0.0,0.0,0.0,555.0,5535.0,6090.0,30.0,290.0,320.0,30.0,0.0,0.0,284.0,4.0,0.0,30.0,288.0,318.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,
Lassen,155.0,26.0,115.0,79.0,1.0,9.0,10.0,0.0,28.0,28.0,0.0,15.0,15.0,0.0,13.0,13.0,0.0,3.0,3.0,0.0,8.0,8.0,4.0,111.0,115.0,1.0,58.0,59.0,1.0,41.0,42.0,0.0,13.0,13.0,0.0,4.0,4.0,3.0,53.0,56.0,202.0,1229.0,1431.0,202.0,1229.0,1431.0,0.0,0.0,0.0,23.0,132.0,155.0,4.0,0.0,0.0,75.0,0.0,0.0,4.0,75.0,79.0,3.0,-3.0,0.0,0.0,3.0,3.0,4.0,25.0,29.0,12.0,32.0,44.0,225.0,1361.0,1586.0,225.0,1358.0,1583.0,3150.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,152.0,168.0,0.0,0.0,0.0,209.0,1209.0,1418.0,15.0,75.0,90.0,15.0,0.0,0.0,75.0,0.0,0.0,15.0,75.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
