Mariposa,,,b. ,Found not entitled to ES…………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………………………………………………………………………………..….,,,,,,,,,,,,,,,38.0,1412.0,39.0,71939.0,40.0,73351.0
Mendocino,,PART C.  CERTIFIED CASELOAD MOVEMENT,,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Merced,,4.,Cases brought forward at the beginning of the month……………………..…………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………..………………………………………………………………………………………...…………………...………………..,,,,,,,,,,,,,,,,41.0,214313.0,42.0,1562597.0,43.0,1776910.0
Modoc,,,a. ,"Item 8 from last month's report, as reported to CDSS………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...………………………………………….……………………………………………………………………………………………………………..………..",,,,,,,,,,,,,,,44.0,215507.0,45.0,1577933.0,46.0,1793440.0
Mono,,,b. ,"Adjustment (Item 4 minus Item 4a, positive or negative number, explain in the Item 4b Adjustment Explanation box)…………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………………………………………………………….",,,,,,,,,,,,,,,47.0,-1194.0,48.0,-15336.0,49.0,-16530.0
Riverside,,5.,"Cases added during the month (Sum of Items 5a through 5e, positive or negative number)………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………………………………………………………………..",,,,,,,,,,,,,,,,50.0,11253.0,51.0,148589.0,52.0,159842.0
Sacramento,,,,,,,PACF,,,,,,NACF,,,,,,,,,,,
San Benito,,,,,,,Federal,,Fed/State,,State,,Federal,,Fed/State,,State,,,,,,,
San Bernardino,,,a.,Applications approved………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..……………………………………………………………………………………………………………………………………………………………...…………..,,,53.0,4732.0,54.0,99.0,55.0,10.0,56.0,82101.7,57.0,932.1,58.0,584.2,59.0,4841.0,60.0,83618.0,61.0,88459.0
San Diego,,,b.,Change in assistance status from PACF or NACF………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..…………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………...…………………………………………………………………………….,,,,,,,,,,,,,,,62.0,-1883.0,63.0,1883.0,64.0,0.0
San Francisco,,,c.  ,Inter-County Transfers ………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..……………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………………………………………………………...……….,,,,,,,,,,,,,,,65.0,586.0,66.0,2398.0,67.0,2984.0
San Joaquin,,,d.,Cases with eligibility reinstated and benefits pro-rated during the month……………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..……………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………………………………………………………………..,,,,,,,,,,,,,,,68.0,1372.0,69.0,17870.0,70.0,19242.0
San Luis Obispo,,,e.,Other approvals……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..………………………………………………………………………………………………………………………………………………………….……………..….,,,,,,,,,,,,,,,71.0,6337.0,72.0,42820.0,73.0,49157.0
San Mateo,,6.  ,Total cases open during the month (Certified eligible to participate during the month),,,,,,,,,,,,,,,,,,,,,
Santa Barbara,,,(Item 4 plus Item 5; also sum of Items 6a through 6c)…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………………………………….………………………………..,,,,,,,,,,,,,,,,74.0,225566.0,75.0,1711186.0,76.0,1936752.0
Santa Clara,,,a.,Pure federal cases………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….…….……………….,,,,,,,,,,,,,,,77.0,220925.0,78.0,1682821.0,79.0,1903746.0
Santa Cruz,,,,1),Federal persons in Item 6a cases,,,,,,,,Federal Persons,,State Persons,,,,,,,,,
Shasta,,,,,plus federal persons in Item 6b cases……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….……,,,,,,,,80.0,3909083.0,Singles,,Families,,,,,,,
Sierra,,,b.,Federal/State combined cases…………………………………………………………………….……………………………………………………………………,,,,,,,,,,,81.0,2375.0,82.0,28332.0,83.0,4405.0,84.0,19060.0,85.0,23465.0
Siskiyou,,,c.,Pure state cases……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...……………………………………………………………………………………………………………………………………………………………………….……..,,,,,,,,,,,86.0,11448.0,87.0,1020.0,88.0,236.0,89.0,9305.0,90.0,9541.0
Solano,,7.  ,Cases discontinued during the month……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….………………………………………………………………………..,,,,,,,,,,,,,,,,91.0,11679.0,92.0,133082.0,93.0,144761.0
Sonoma,,,a.  ,Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only)…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...…..,,,,,,,,,,,,,,,94.0,71.0,95.0,874.0,96.0,945.0
Stanislaus,,8.  ,Cases brought forward at the end of the month (Item 6 minus Item 7)…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………..,,,,,,,,,,,,,,,,97.0,213887.0,98.0,1578104.0,99.0,1791991.0
Sutter,,PART D.  RECERTIFICATIONS,,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Tehama,,9.,Recertifications disposed of during the month (Item 9a plus Item 9b)………………………………………………………………………………………………………………………,,,,,,,,,,,,,,,,100.0,14095.0,101.0,73132.0,102.0,87227.0
Trinity,,,,,,,PACF,,,,,,NACF,,,,,,,,,,,
Tulare,,,,,,,Federal,,Fed/State,,State,,Federal,,Fed/State,,State,,,,,,,
Tuolumne,,,a.,Determined continuing eligible………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….…..,,,103.0,13541.0,104.0,291.0,105.0,17.0,106.0,67794.0,107.0,970.0,108.0,261.0,109.0,13849.0,110.0,69025.0,111.0,82874.0
Ventura,,,b.,Determined ineligible………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………,,,112.0,233.0,113.0,8.0,114.0,5.0,115.0,4008.0,116.0,81.0,117.0,18.0,118.0,246.0,119.0,4107.0,120.0,4353.0
Yolo,,10.,Overdue recertifications (CWD caused) during the month…………………………………………………………………………………………………………………………………………………………………………………………,,,,,,,,,,,,,,,,121.0,15.0,122.0,131.0,123.0,146.0
Yuba,,COMMENTS  a/,,,,,,,,,,,,,,,,,,,,,,
,,"Not reporting:  Alameda 
Data under review:  Lake",,,,,,,,,,,,,,,,,,,,,,
